"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","riiid/krsh","https://github.com/riiid/krsh","riiid","Python","129","mlops","1","1043.57","True","0.5","0","1","0.2489","0.2","1","0.3333","topic:kubeflow language:Python stars:>=50","A declarative KubeFlow Management Tool"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10860","mlops","2","1013.27","True","0.25","0","1","0.7901","1","1","0.3333","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6996","mlops","3","997.83","True","0.2143","0","1","0.8856","1","1","0.3333","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","elyra-ai/elyra","https://github.com/elyra-ai/elyra","elyra-ai","Python","1993","mlops","4","959.82","True","0.125","0","1","0.8418","1","1","0.6667","topic:kubeflow language:Python stars:>=50 | topic:kubeflow-pipelines language:Python stars:>=50","Elyra extends JupyterLab with an AI centric approach."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","great-expectations","Python","11456","mlops","5","948.74","True","0.125","0","1","0.7785","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:mlops stars:>=100","Always know what to expect from your data."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","getindata/kedro-kubeflow","https://github.com/getindata/kedro-kubeflow","getindata","Python","57","mlops","6","937.9","True","0.25","0","1","0.0737","1","1","0.6667","topic:kubeflow language:Python stars:>=50 | topic:kubeflow-pipelines language:Python stars:>=50","Kedro Plugin to support running workflows on Kubeflow Pipelines"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","sbakiu/kubeflow-spark","https://github.com/sbakiu/kubeflow-spark","sbakiu","Python","53","mlops","7","930.18","True","0.3","0","1","0.0582","0.6","1","0.6667","topic:kubeflow language:Python stars:>=50 | topic:kubeflow-pipelines language:Python stars:>=50","Orchestrate Spark Jobs from Kubeflow Pipelines and poll for the status."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","treeverse/dvc","https://github.com/treeverse/dvc","treeverse","Python","15578","mlops","8","924.56","True","0.1667","0","1","0.7118","1","1","0.3333","topic:data-science language:Python stars:>=50","🦉 Data Versioning and ML Experiments"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","mage-ai/mage-ai","https://github.com/mage-ai/mage-ai","mage-ai","Python","8712","mlops","9","919.37","True","0.1364","0","1","0.8379","1","1","0.3333","topic:data-science language:Python stars:>=50","🧙 Build, run, and manage data pipelines for integrating and transforming data."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15425","mlops","10","914.93","True","0.1","0","1","0.7139","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","couler-proj/couler","https://github.com/couler-proj/couler","couler-proj","Python","943","mlops","11","911.01","True","0.1579","0","1","0.6795","1","1","0.3333","topic:kubeflow language:Python stars:>=50","Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","PrefectHQ/prefect","https://github.com/PrefectHQ/prefect","PrefectHQ","Python","22289","mlops","12","905.68","True","0.1053","0","1","0.634","1","1","0.6667","topic:data-science language:Python stars:>=50 | p language:Python stars:>=50","Prefect is a workflow orchestration framework for building resilient data pipelines in Python."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","apache/airflow","https://github.com/apache/airflow","apache","Python","45262","mlops","13","896.53","False","0.125","0","1","0.4802","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:mlops stars:>=100","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19173","mlops","14","838.67","False","0.08","0","1","0.6667","1","1","0.3333","topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","SeldonIO/seldon-core","https://github.com/SeldonIO/seldon-core","SeldonIO","Go","4746","mlops","15","794.72","False","0.25","0","0","0.9698","1","1","0.3333","topic:mlops stars:>=100","An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","pycaret/pycaret","https://github.com/pycaret/pycaret","pycaret","Python","9754","computer-vision","16","759.45","False","0.1579","0","1","0.8134","1","0","0.6667","topic:data-science language:Python stars:>=50 | topic:mlops stars:>=100","Open-source, low-code AutoML platform for Python. PyCaret 4.0: sklearn-native engine + React control plane."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","scikit-learn-contrib/imbalanced-learn","https://github.com/scikit-learn-contrib/imbalanced-learn","scikit-learn-contrib","Python","7103","data-science","17","759.4","False","0.2","0","1","0.8823","1","0","0.3333","machine language:Python stars:>=50"," A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","terrytangyuan/distributed-ml-patterns","https://github.com/terrytangyuan/distributed-ml-patterns","terrytangyuan","Python","501","deep-learning","18","744.91","False","0.25","0","1","0.5423","1","0","0.3333","topic:kubeflow language:Python stars:>=50","Distributed Machine Learning Patterns from Manning Publications by Yuan Tang https://bit.ly/2RKv8Zo"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","PostHog/posthog","https://github.com/PostHog/posthog","PostHog","Python","34252","mlops","19","744.62","False","0","0","1","0.5407","1","1","0.3333","p language:Python stars:>=50","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","rasbt/mlxtend","https://github.com/rasbt/mlxtend","rasbt","Python","5137","data-science","20","741.71","False","0.1667","0","1","0.9526","1","0","0.3333","machine language:Python stars:>=50","A library of extension and helper modules for Python's data analysis and machine learning libraries."
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","tflearn/tflearn","https://github.com/tflearn/tflearn","tflearn","Python","9589","deep-learning","21","731.63","False","0.1818","0","1","0.8171","1","0","0.3333","topic:data-science language:Python stars:>=50","Deep learning library featuring a higher-level API for TensorFlow."
