"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34114","False","False","4/9/2024 10:51:32 AM","5/3/2026 3:17:00 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"Stability-AI/generative-models","https://github.com/Stability-AI/generative-models","Stability-AI","Python","27124","False","False","6/22/2023 12:36:35 AM","5/3/2026 4:01:34 AM","Generative Models by Stability AI","","m language:Python stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42335","False","False","8/17/2023 2:17:10 AM","5/3/2026 4:09:16 AM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"boto/boto3","https://github.com/boto/boto3","boto","Python","9784","False","False","10/3/2014 9:38:03 PM","5/1/2026 7:35:47 PM","Boto3, an AWS SDK for Python","aws;aws-sdk;cloud;cloud-management;python","topic:aws language:Python stars:>=50"
"Textualize/textual","https://github.com/Textualize/textual","Textualize","Python","35687","False","False","4/8/2021 3:24:47 PM","5/3/2026 4:05:19 AM","The lean application framework for Python.  Build sophisticated user interfaces with a simple Python API. Run your apps in the terminal and a web browser.","cli;framework;python;rich;terminal;tui","build language:Python stars:>=50"
"Comfy-Org/ComfyUI","https://github.com/Comfy-Org/ComfyUI","Comfy-Org","Python","111105","False","False","1/17/2023 3:15:56 AM","5/3/2026 4:37:08 AM","The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","ai;comfy;comfyui;python;pytorch;stable-diffusion","topic:ai language:Python stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37950","False","False","3/31/2023 12:12:45 PM","5/2/2026 1:34:33 PM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"FujiwaraChoki/MoneyPrinterV2","https://github.com/FujiwaraChoki/MoneyPrinterV2","FujiwaraChoki","Python","30346","False","False","2/12/2024 11:20:42 AM","5/3/2026 1:44:40 AM","Automate the process of making money online.","automation;cli;json;money;outreach;python;twitter;youtube","m language:Python stars:>=50"
"OlafenwaMoses/ImageAI","https://github.com/OlafenwaMoses/ImageAI","OlafenwaMoses","Python","8866","False","False","3/19/2018 11:12:33 PM","5/2/2026 2:44:16 PM","A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities","ai-practice-recommendations;algorithm;artificial-intelligence;artificial-neural-networks;densenet;detection;gpu;image-prediction;image-recognition;imageai;inceptionv3;machine-learning;object-detection;offline-capable;prediction;python;python3;squeezenet;video","build language:Python stars:>=50"
"livekit/agents","https://github.com/livekit/agents","livekit","Python","10307","False","False","10/19/2023 11:00:55 PM","5/3/2026 3:36:49 AM","A framework for building realtime voice AI agents 🤖🎙️📹 ","agents;ai;openai;real-time;video;voice","topic:agents language:Python stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160189","False","False","10/29/2018 1:56:00 PM","5/3/2026 3:53:58 AM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:llm stars:>=100"
