"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"Netflix/metaflow","https://github.com/Netflix/metaflow","mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","llm","1","1092.64","True","0.2258","0","1","0.7967","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | m language:Python stars:>=50","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data."
"Netflix/metaflow","https://github.com/Netflix/metaflow","langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","langchain-ai","Python","31066","llm","2","1018.56","True","0.1515","0","1","0.7554","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | build language:Python stars:>=50","Build resilient language agents as graphs."
"Netflix/metaflow","https://github.com/Netflix/metaflow","lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","lastmile-ai","Python","8306","llm","3","1017.68","True","0.1667","0","1","0.9582","1","1","0.6667","topic:agents language:Python stars:>=50 | build language:Python stars:>=50","Build effective agents using Model Context Protocol and simple workflow patterns"
"Netflix/metaflow","https://github.com/Netflix/metaflow","rohitg00/ai-engineering-from-scratch","https://github.com/rohitg00/ai-engineering-from-scratch","rohitg00","Python","6185","llm","4","1015.3","True","0.1765","0","1","0.8941","1","1","0.6667","topic:agents language:Python stars:>=50 | build language:Python stars:>=50","Learn it. Build it. Ship it for others."
"Netflix/metaflow","https://github.com/Netflix/metaflow","bentoml/BentoML","https://github.com/bentoml/BentoML","bentoml","Python","8620","llm","5","1005.3","True","0.2069","0","1","0.9662","1","1","0.3333","build language:Python stars:>=50","The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!"
"Netflix/metaflow","https://github.com/Netflix/metaflow","TransformerOptimus/SuperAGI","https://github.com/TransformerOptimus/SuperAGI","TransformerOptimus","Python","17500","llm","6","1004","True","0.1667","0","1","0.88","1","1","0.6667","topic:agents language:Python stars:>=50 | build language:Python stars:>=50","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
"Netflix/metaflow","https://github.com/Netflix/metaflow","openai/openai-agents-python","https://github.com/openai/openai-agents-python","openai","Python","25785","llm","7","1002.91","True","0.1818","0","1","0.7959","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50","A lightweight, powerful framework for multi-agent workflows"
"Netflix/metaflow","https://github.com/Netflix/metaflow","2FastLabs/agent-squad","https://github.com/2FastLabs/agent-squad","2FastLabs","Python","7607","llm","8","992.91","True","0.1429","0","1","0.9391","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:aws language:Python stars:>=50","Flexible and powerful framework for managing multiple AI agents and handling complex conversations"
"Netflix/metaflow","https://github.com/Netflix/metaflow","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50794","llm","9","980.9","True","0.1304","0","1","0.6486","1","1","1","topic:ai language:Python stars:>=50 | m language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"Netflix/metaflow","https://github.com/Netflix/metaflow","mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54618","llm","10","980.76","True","0.1333","0","1","0.6329","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | m language:Python stars:>=50 | topic:llm stars:>=100","Universal memory layer for AI Agents"
"Netflix/metaflow","https://github.com/Netflix/metaflow","langchain-ai/langchain","https://github.com/langchain-ai/langchain","langchain-ai","Python","135651","llm","11","958.54","True","0.1471","0","1","0.4353","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:llm stars:>=100","The agent engineering platform"
"Netflix/metaflow","https://github.com/Netflix/metaflow","PrefectHQ/marvin","https://github.com/PrefectHQ/marvin","PrefectHQ","Python","6145","llm","12","950.23","True","0.16","0","1","0.8927","1","1","0.3333","topic:agents language:Python stars:>=50","an ambient intelligence library"
"Netflix/metaflow","https://github.com/Netflix/metaflow","Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","Significant-Gravitas","Python","183947","llm","13","947.95","True","0.1481","0","1","0.3692","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | build language:Python stars:>=50 | topic:llm stars:>=100","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
