"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"pycaret/pycaret","https://github.com/pycaret/pycaret","sktime/sktime","https://github.com/sktime/sktime","sktime","Python","9752","computer-vision","1","963.45","True","0.1538","0","1","1","1","1","0.3333","topic:anomaly-detection language:Python stars:>=50","A unified framework for machine learning with time series"
"pycaret/pycaret","https://github.com/pycaret/pycaret","datamllab/tods","https://github.com/datamllab/tods","datamllab","Python","1659","computer-vision","2","949.81","True","0.1579","0","1","0.6154","1","1","0.6667","topic:anomaly-detection language:Python stars:>=50 | topic:automl language:Python stars:>=50","TODS: An Automated Time-series Outlier Detection System"
"pycaret/pycaret","https://github.com/pycaret/pycaret","stumpy-dev/stumpy","https://github.com/stumpy-dev/stumpy","stumpy-dev","Python","4086","computer-vision","3","904.44","True","0.125","0","1","0.8111","1","1","0.3333","topic:anomaly-detection language:Python stars:>=50","STUMPY is a powerful and scalable Python library for modern time series analysis"
"pycaret/pycaret","https://github.com/pycaret/pycaret","cleanlab/cleanlab","https://github.com/cleanlab/cleanlab","cleanlab","Python","11449","computer-vision","4","903.29","True","0.0938","0","1","0.9652","1","1","0.3333","topic:anomaly-detection language:Python stars:>=50","Cleanlab's open-source library is the standard data-centric AI package for data quality and machine learning with messy, real-world data and labels."
"pycaret/pycaret","https://github.com/pycaret/pycaret","zillow/luminaire","https://github.com/zillow/luminaire","zillow","Python","803","computer-vision","5","880.15","False","0.1111","0","1","0.458","1","1","0.6667","topic:anomaly-detection language:Python stars:>=50 | topic:automl language:Python stars:>=50","Luminaire is a python package that provides ML driven solutions for monitoring time series data."
"pycaret/pycaret","https://github.com/pycaret/pycaret","salesforce/logai","https://github.com/salesforce/logai","salesforce","Python","790","computer-vision","6","864.53","False","0.15","0","1","0.4545","1","1","0.3333","topic:anomaly-detection language:Python stars:>=50","LogAI - An open-source library for log analytics and intelligence"
"pycaret/pycaret","https://github.com/pycaret/pycaret","pytorch/vision","https://github.com/pytorch/vision","pytorch","Python","17656","computer-vision","7","858.7","False","0.0625","0","1","0.8712","1","1","0.3333","topic:computer-vision stars:>=100","Datasets, Transforms and Models specific to Computer Vision"
"pycaret/pycaret","https://github.com/pycaret/pycaret","roboflow/inference","https://github.com/roboflow/inference","roboflow","Python","2268","computer-vision","8","853.95","False","0.0938","0","1","0.6833","1","1","0.3333","topic:classification language:Python stars:>=50","Turn any computer or edge device into a command center for your computer vision projects."
"pycaret/pycaret","https://github.com/pycaret/pycaret","shankarpandala/lazypredict","https://github.com/shankarpandala/lazypredict","shankarpandala","Python","3319","","9","849.04","False","0.2667","0","1","0.766","1","0","0.6667","topic:automl language:Python stars:>=50 | topic:classification language:Python stars:>=50","Lazy Predict help build a lot of basic models without much code and helps understand which models works better without any parameter tuning"
"pycaret/pycaret","https://github.com/pycaret/pycaret","kLabUM/rrcf","https://github.com/kLabUM/rrcf","kLabUM","Python","522","computer-vision","10","842.38","False","0.1429","0","1","0.3646","1","1","0.3333","topic:anomaly-detection language:Python stars:>=50","🌲 Implementation of the Robust Random Cut Forest algorithm for anomaly detection on streams"
"pycaret/pycaret","https://github.com/pycaret/pycaret","PaddlePaddle/PaddleX","https://github.com/PaddlePaddle/PaddleX","PaddlePaddle","Python","6126","computer-vision","11","841.94","False","0.0385","0","1","0.899","1","1","0.3333","topic:classification language:Python stars:>=50","All-in-One Development Tool based on PaddlePaddle"
"pycaret/pycaret","https://github.com/pycaret/pycaret","alteryx/featuretools","https://github.com/alteryx/featuretools","alteryx","Python","7631","data-science","12","840.67","False","0.2778","0","1","0.9467","1","0","0.3333","topic:automl language:Python stars:>=50","An open source python library for automated feature engineering"
"pycaret/pycaret","https://github.com/pycaret/pycaret","tradytics/surpriver","https://github.com/tradytics/surpriver","tradytics","Python","1864","computer-vision","13","840.39","False","0.087","0","1","0.6407","1","1","0.3333","topic:anomaly-detection language:Python stars:>=50","Find big moving stocks before they move using machine learning and anomaly detection"
"pycaret/pycaret","https://github.com/pycaret/pycaret","ocrmypdf/OCRmyPDF","https://github.com/ocrmypdf/OCRmyPDF","ocrmypdf","Python","33521","computer-vision","14","825.46","False","0.0526","0","1","0.7319","1","1","0.3333","p language:Python stars:>=50","OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched"
"pycaret/pycaret","https://github.com/pycaret/pycaret","MentatInnovations/datastream.io","https://github.com/MentatInnovations/datastream.io","MentatInnovations","Python","915","computer-vision","15","819.48","False","0.0938","0","1","0.4863","1","1","0.3333","topic:anomaly-detection language:Python stars:>=50","An open-source framework for real-time anomaly detection using Python, ElasticSearch and Kibana"
"pycaret/pycaret","https://github.com/pycaret/pycaret","zhulf0804/3D-PointCloud","https://github.com/zhulf0804/3D-PointCloud","zhulf0804","Python","2913","computer-vision","16","815.09","False","0.04","0","1","0.7376","1","1","0.3333","topic:classification language:Python stars:>=50","Papers and Datasets  about Point Cloud."
