"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","False","False","12/27/2018 11:58:12 PM","5/2/2026 9:20:14 AM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:computer-vision stars:>=100"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision stars:>=100"
"comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19165","False","False","5/10/2023 12:57:13 PM","5/3/2026 3:05:49 AM","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","evaluation;hacktoberfest;hacktoberfest2025;langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering","open-source language:Python stars:>=50"
"modelcontextprotocol/python-sdk","https://github.com/modelcontextprotocol/python-sdk","modelcontextprotocol","Python","22859","False","False","9/24/2024 9:01:35 PM","5/3/2026 3:54:08 AM","The official Python SDK for Model Context Protocol servers and clients","","p language:Python stars:>=50"
"PaddlePaddle/PaddleX","https://github.com/PaddlePaddle/PaddleX","PaddlePaddle","Python","6126","False","False","3/11/2020 7:58:44 AM","5/3/2026 2:19:32 AM","All-in-One Development Tool based on PaddlePaddle","ai-pipelines;classification;deployment;formula-recognition;layout-detection;object-detection;ocr;pdf2markdown;pp-chatocr;segmentation;speech-recognition;time-series","topic:classification language:Python stars:>=50"
"frappe/erpnext","https://github.com/frappe/erpnext","frappe","Python","33470","False","False","6/8/2011 8:20:56 AM","5/3/2026 4:36:50 AM","Free and Open Source Enterprise Resource Planning (ERP)","accounting;asset-management;crm;distribution;erp;erpnext;frappe;healthcare;hrms;manufacturing;point-of-sale;procurement;project-management;python;retail;support","open-source language:Python stars:>=50"
"jixinpu/aiopstools","https://github.com/jixinpu/aiopstools","jixinpu","Python","396","False","False","12/4/2018 2:41:34 AM","4/23/2026 8:57:39 AM","The fundamental package for AIops with python.","aiops;anomaly-detection;association-analysis;timeseries-forecasting","topic:anomaly-detection language:Python stars:>=50"
"Pythagora-io/gpt-pilot","https://github.com/Pythagora-io/gpt-pilot","Pythagora-io","Python","33771","False","False","8/16/2023 11:56:07 AM","5/3/2026 3:54:07 AM","The first real AI developer","ai;codegen;coding-assistant;developer-tools;gpt-4;research-project","p language:Python stars:>=50"
"linkedin/luminol","https://github.com/linkedin/luminol","linkedin","Python","1230","False","False","11/18/2015 11:16:33 PM","4/26/2026 3:06:06 PM","Anomaly Detection and Correlation library","anomaly-detection;anomalydetection","topic:anomaly-detection language:Python stars:>=50"
"THUMNLab/AutoGL","https://github.com/THUMNLab/AutoGL","THUMNLab","Python","1136","False","False","11/30/2020 2:26:22 PM","4/30/2026 6:40:38 PM","An autoML framework & toolkit for machine learning on graphs.","automl;deep-learning;graph-neural-networks;hyper-parameter-optimization;machine-learning;neural-architecture-search;pytorch;pytorch-geometric","topic:automl language:Python stars:>=50"
