"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"wandb/wandb","https://github.com/wandb/wandb","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31101","deep-learning","1","1099.93","True","0.2381","0","1","0.7751","1","1","1","topic:ai language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"wandb/wandb","https://github.com/wandb/wandb","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64059","deep-learning","2","1065.33","True","0.2857","0","1","0.6182","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans"
"wandb/wandb","https://github.com/wandb/wandb","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33539","deep-learning","3","995.28","True","0.125","0","1","0.7587","1","1","1","topic:ai language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"wandb/wandb","https://github.com/wandb/wandb","tflearn/tflearn","https://github.com/tflearn/tflearn","tflearn","Python","9589","deep-learning","4","991.07","True","0.1905","0","1","0.9694","1","1","0.3333","topic:data-science language:Python stars:>=50","Deep learning library featuring a higher-level API for TensorFlow."
"wandb/wandb","https://github.com/wandb/wandb","autogluon/autogluon","https://github.com/autogluon/autogluon","autogluon","Python","10276","deep-learning","5","954.63","True","0.1471","0","1","0.9844","1","1","0.3333","topic:data-science language:Python stars:>=50","Fast and Accurate ML in 3 Lines of Code"
"wandb/wandb","https://github.com/wandb/wandb","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31409","deep-learning","6","952.66","True","0.1304","0","1","0.773","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"wandb/wandb","https://github.com/wandb/wandb","babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","deep-learning","7","951.87","True","0.1364","0","1","0.738","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:deep-learning stars:>=100","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"wandb/wandb","https://github.com/wandb/wandb","unit8co/darts","https://github.com/unit8co/darts","unit8co","Python","9356","deep-learning","8","936.1","True","0.1304","0","1","0.9641","1","1","0.3333","topic:data-science language:Python stars:>=50","A python library for user-friendly forecasting and anomaly detection on time series."
"wandb/wandb","https://github.com/wandb/wandb","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44427","deep-learning","9","934.59","True","0.125","0","1","0.6977","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"wandb/wandb","https://github.com/wandb/wandb","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42484","deep-learning","10","913.79","True","0.1","0","1","0.7074","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
"wandb/wandb","https://github.com/wandb/wandb","recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21666","deep-learning","11","911.88","True","0.125","0","1","0.8536","1","1","0.3333","topic:data-science language:Python stars:>=50","Best Practices on Recommendation Systems"
"wandb/wandb","https://github.com/wandb/wandb","AUTOMATIC1111/stable-diffusion-webui","https://github.com/AUTOMATIC1111/stable-diffusion-webui","AUTOMATIC1111","Python","162693","deep-learning","12","907.14","True","0.0938","0","1","0.4158","1","1","1","topic:ai language:Python stars:>=50 | w language:Python stars:>=50 | topic:deep-learning stars:>=100","Stable Diffusion web UI"
"wandb/wandb","https://github.com/wandb/wandb","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","deep-learning","13","905.38","True","0.0909","0","1","0.9918","1","1","0.3333","topic:data-science language:Python stars:>=50","Refine high-quality datasets and visual AI models"
"wandb/wandb","https://github.com/wandb/wandb","yzhao062/pyod","https://github.com/yzhao062/pyod","yzhao062","Python","9836","deep-learning","14","897.76","False","0.0857","0","1","0.9749","1","1","0.3333","topic:data-science language:Python stars:>=50","A Python library for anomaly detection across tabular, time series, graph, text, and image data. 60+ detectors, benchmark-backed ADEngine orchestration, and an agentic workflow for AI agents."
"wandb/wandb","https://github.com/wandb/wandb","Data-Centric-AI-Community/fg-data-profiling","https://github.com/Data-Centric-AI-Community/fg-data-profiling","Data-Centric-AI-Community","Python","13534","deep-learning","15","892.26","False","0.0833","0","1","0.9558","1","1","0.3333","topic:data-science language:Python stars:>=50","1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. "
