"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","False","False","12/27/2018 11:58:12 PM","5/2/2026 9:20:14 AM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:data-science language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38046","False","False","6/24/2015 2:49:52 AM","5/3/2026 1:33:18 AM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"tflearn/tflearn","https://github.com/tflearn/tflearn","tflearn","Python","9589","False","False","3/31/2016 12:05:53 PM","4/24/2026 5:20:50 PM","Deep learning library featuring a higher-level API for TensorFlow.","data-science;deep-learning;machine-learning;neural-network;tensorflow;tflearn","topic:data-science language:Python stars:>=50"
"derv82/wifite2","https://github.com/derv82/wifite2","derv82","Python","7798","False","False","5/30/2015 6:09:52 AM","5/2/2026 5:41:03 PM","Rewrite of the popular wireless network auditor, ""wifite""","wifi-cracker;wifi-password;wifi-security;wifite","w language:Python stars:>=50"
"akfamily/akshare","https://github.com/akfamily/akshare","akfamily","Python","18802","False","False","10/1/2019 7:34:12 AM","5/3/2026 3:34:31 AM","AKShare is an elegant and simple financial data interface library for Python, built for human beings! 开源财经数据接口库","academic;akshare;asset-pricing;bond;currency;data;data-analysis;data-science;datasets;economic-data;economics;finance;finance-api;financial-data;fundamental;futures;option;quant;stock","topic:data-science language:Python stars:>=50"
"Data-Centric-AI-Community/fg-data-profiling","https://github.com/Data-Centric-AI-Community/fg-data-profiling","Data-Centric-AI-Community","Python","13534","False","False","1/9/2016 11:47:55 PM","5/1/2026 5:34:23 PM","1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. ","big-data-analytics;data-analysis;data-exploration;data-profiling;data-quality;data-science;deep-learning;eda;exploration;exploratory-data-analysis;hacktoberfest;html-report;jupyter;jupyter-notebook;machine-learning;pandas;pandas-dataframe;pandas-profiling;python;statistics","topic:data-science language:Python stars:>=50"
"stephengpope/no-code-architects-toolkit","https://github.com/stephengpope/no-code-architects-toolkit","stephengpope","Python","2281","False","False","8/3/2024 10:47:08 PM","5/2/2026 1:38:48 AM","The NCA Toolkit API eliminates monthly subscription fees by consolidating common API functionalities into a single FREE API. Designed for businesses, creators, and developers, it streamlines advanced media processing, including video editing and captioning, image transformations, cloud storage, and Python code execution.","","developer language:Python stars:>=50"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:data-science language:Python stars:>=50"
"sktime/sktime","https://github.com/sktime/sktime","sktime","Python","9752","False","False","11/6/2018 3:08:24 PM","5/2/2026 5:25:03 PM","A unified framework for machine learning with time series","ai;anomaly-detection;changepoint-detection;data-mining;data-science;forecasting;hacktoberfest;machine-learning;scikit-learn;sktime;time-series;time-series-analysis;time-series-classification;time-series-regression;time-series-segmentation","topic:data-science language:Python stars:>=50"
"dwyl/english-words","https://github.com/dwyl/english-words","dwyl","Python","12059","False","False","7/13/2014 10:20:45 PM","5/2/2026 8:15:49 PM",":memo: A text file containing 479k English words for all your dictionary/word-based projects e.g: auto-completion / autosuggestion","","w language:Python stars:>=50"
"OlafenwaMoses/ImageAI","https://github.com/OlafenwaMoses/ImageAI","OlafenwaMoses","Python","8866","False","False","3/19/2018 11:12:33 PM","5/2/2026 2:44:16 PM","A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities","ai-practice-recommendations;algorithm;artificial-intelligence;artificial-neural-networks;densenet;detection;gpu;image-prediction;image-recognition;imageai;inceptionv3;machine-learning;object-detection;offline-capable;prediction;python;python3;squeezenet;video","developer language:Python stars:>=50"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77589","False","False","8/23/2017 4:40:24 AM","5/3/2026 3:52:21 AM","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。","book;chinese;computer-vision;deep-learning;machine-learning;natural-language-processing;notebook;python","topic:deep-learning stars:>=100"
"Azure/azure-sdk-for-python","https://github.com/Azure/azure-sdk-for-python","Azure","Python","5530","False","False","4/24/2012 4:46:12 PM","5/2/2026 3:45:26 PM","This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python. ","azure;azure-sdk;hacktoberfest;python","developer language:Python stars:>=50"
"tensorflow/tensorflow","https://github.com/tensorflow/tensorflow","tensorflow","C++","194975","False","False","11/7/2015 1:19:20 AM","5/3/2026 4:31:11 AM","An Open Source Machine Learning Framework for Everyone","deep-learning;deep-neural-networks;distributed;machine-learning;ml;neural-network;python;tensorflow","topic:deep-learning stars:>=100"
