"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"zenml-io/zenml","https://github.com/zenml-io/zenml","mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","llm","1","1068.86","True","0.2258","0","1","0.6608","1","1","1","topic:agentops language:Python stars:>=50 | topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data."
"zenml-io/zenml","https://github.com/zenml-io/zenml","Netflix/metaflow","https://github.com/Netflix/metaflow","Netflix","Python","10071","llm","2","992.12","True","0.2121","0","1","0.8641","1","1","0.3333","topic:agents language:Python stars:>=50","Build, Manage and Deploy AI/ML Systems"
"zenml-io/zenml","https://github.com/zenml-io/zenml","mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54618","llm","3","956.97","True","0.1333","0","1","0.497","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:llm stars:>=100","Universal memory layer for AI Agents"
"zenml-io/zenml","https://github.com/zenml-io/zenml","strands-agents/sdk-python","https://github.com/strands-agents/sdk-python","strands-agents","Python","5765","llm","4","954.76","True","0.1471","0","1","0.9852","1","1","0.3333","topic:agents language:Python stars:>=50","A model-driven approach to building AI agents in just a few lines of code."
"zenml-io/zenml","https://github.com/zenml-io/zenml","rohitg00/ai-engineering-from-scratch","https://github.com/rohitg00/ai-engineering-from-scratch","rohitg00","Python","6186","llm","5","948.3","True","0.1429","0","1","0.9699","1","1","0.3333","topic:agents language:Python stars:>=50","Learn it. Build it. Ship it for others."
"zenml-io/zenml","https://github.com/zenml-io/zenml","openai/openai-agents-python","https://github.com/openai/openai-agents-python","openai","Python","25785","llm","6","932.88","True","0.1304","0","1","0.6599","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50","A lightweight, powerful framework for multi-agent workflows"
"zenml-io/zenml","https://github.com/zenml-io/zenml","PrefectHQ/marvin","https://github.com/PrefectHQ/marvin","PrefectHQ","Python","6145","llm","7","923.83","True","0.1154","0","1","0.9713","1","1","0.3333","topic:agents language:Python stars:>=50","an ambient intelligence library"
"zenml-io/zenml","https://github.com/zenml-io/zenml","Fosowl/agenticSeek","https://github.com/Fosowl/agenticSeek","Fosowl","Python","26170","llm","8","922.93","True","0.12","0","1","0.6567","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50","Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)"
"zenml-io/zenml","https://github.com/zenml-io/zenml","lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","lastmile-ai","Python","8306","llm","9","916.53","True","0.12","0","1","0.9059","1","1","0.3333","topic:agents language:Python stars:>=50","Build effective agents using Model Context Protocol and simple workflow patterns"
"zenml-io/zenml","https://github.com/zenml-io/zenml","arc53/DocsGPT","https://github.com/arc53/DocsGPT","arc53","Python","17872","llm","10","911.77","True","0.1471","0","1","0.7395","1","1","0.3333","topic:agents language:Python stars:>=50","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents."
