"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 4:42:38 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"Tongyi-MAI/Z-Image","https://github.com/Tongyi-MAI/Z-Image","Tongyi-MAI","Python","11150","False","False","11/26/2025 9:18:10 AM","5/3/2026 2:43:51 AM","","","z language:Python stars:>=50"
"AlessandroZ/LaZagne","https://github.com/AlessandroZ/LaZagne","AlessandroZ","Python","10802","False","False","2/16/2015 2:10:02 PM","5/3/2026 1:54:57 AM","Credentials recovery project","","z language:Python stars:>=50"
"0rpc/zerorpc-python","https://github.com/0rpc/zerorpc-python","0rpc","Python","3236","False","False","2/24/2012 10:15:23 PM","4/23/2026 11:14:42 PM","zerorpc for python","","z language:Python stars:>=50"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34681","False","False","10/2/2024 11:57:54 AM","5/3/2026 4:06:14 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"zvtvz/zvt","https://github.com/zvtvz/zvt","zvtvz","Python","4120","False","False","4/4/2019 8:06:57 AM","5/2/2026 12:53:45 PM","modular quant framework.","algorithmic-trading;backtesting;cryptocurrency;fintech;fundamental-analysis;machine-learning;ml;python;quant;quantitative-finance;quantitative-trading;stock;stock-market;technical-analysis;trading-bot;trading-platform;trading-strategies;zvt","z language:Python stars:>=50"
"Comfy-Org/ComfyUI","https://github.com/Comfy-Org/ComfyUI","Comfy-Org","Python","111105","False","False","1/17/2023 3:15:56 AM","5/3/2026 4:37:08 AM","The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","ai;comfy;comfyui;python;pytorch;stable-diffusion","topic:ai language:Python stars:>=50"
"brightmart/roberta_zh","https://github.com/brightmart/roberta_zh","brightmart","Python","2786","False","False","9/2/2019 5:11:57 PM","4/27/2026 8:32:44 AM","RoBERTa中文预训练模型: RoBERTa for Chinese ","bert;chinese;gpt2;pre-trained;pre-trained-language-models;roberta","z language:Python stars:>=50"
"livekit/agents","https://github.com/livekit/agents","livekit","Python","10307","False","False","10/19/2023 11:00:55 PM","5/3/2026 3:36:49 AM","A framework for building realtime voice AI agents 🤖🎙️📹 ","agents;ai;openai;real-time;video;voice","topic:agents language:Python stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172189","False","False","1/18/2026 12:51:51 AM","5/3/2026 4:48:25 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"langgenius/dify","https://github.com/langgenius/dify","langgenius","TypeScript","139906","False","False","4/12/2023 7:40:24 AM","5/3/2026 4:47:44 AM","Production-ready platform for agentic workflow development.","agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow","topic:llm stars:>=100"
"mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","False","False","6/5/2018 4:05:58 PM","5/3/2026 12:35:41 AM","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","agentops;agents;ai;ai-governance;apache-spark;evaluation;langchain;llm-evaluation;llmops;machine-learning;ml;mlflow;mlops;model-management;observability;open-source;openai;prompt-engineering","topic:agentops language:Python stars:>=50 | topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50"
"PrefectHQ/fastmcp","https://github.com/PrefectHQ/fastmcp","PrefectHQ","Python","24963","False","False","11/30/2024 1:47:40 AM","5/3/2026 3:58:16 AM","🚀 The fast, Pythonic way to build MCP servers and clients.","agents;fastmcp;llms;mcp;mcp-clients;mcp-servers;mcp-tools;model-context-protocol;python","topic:agents language:Python stars:>=50"
