"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","NLPchina","Java","1513","nlp","1","1112.4","True","0.125","0.2","1","0.9709","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","这个项目是一个基本包.封装了大多数nlp项目中常用工具"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","cbilgili/zemberek-nlp-server","https://github.com/cbilgili/zemberek-nlp-server","cbilgili","Java","83","nlp","2","988.67","True","0.1538","0.2","1","0.4012","1","1","0.3333","zemberek language:Java stars:>=50","Zemberek Türkçe NLP Java Kütüphanesi üzerine REST Docker Sunucu"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","jsksxs360/AHANLP","https://github.com/jsksxs360/AHANLP","jsksxs360","Java","311","nlp","3","970.07","True","0.1667","0","1","0.6861","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","啊哈自然语言处理包，提供包括分词、依存句法分析、语义角色标注、自动摘要、语义相似度计算、LDA 主题预测、词云等服务。"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","shibing624/similarity","https://github.com/shibing624/similarity","shibing624","Java","1576","nlp","4","958.35","True","0.1","0","1","0.962","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","similarity: Text similarity calculation Toolkit for Java. 文本相似度计算工具包，java编写，可用于文本相似度计算、情感分析等任务，开箱即用。"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","apache/opennlp","https://github.com/apache/opennlp","apache","Java","1591","nlp","5","958","True","0.1","0","1","0.96","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Apache OpenNLP"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","datumbox","Java","1085","nlp","6","957.47","True","0.1","0","1","0.957","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications."
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","thunlp/THUCTC","https://github.com/thunlp/THUCTC","thunlp","Java","214","nlp","7","955.92","True","0.1667","0","1","0.6053","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","An Efficient Chinese Text Classifier"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","jimichan/mynlp","https://github.com/jimichan/mynlp","jimichan","Java","690","nlp","8","950.29","True","0.1111","0","1","0.8588","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","一个生产级、高性能、模块化、可扩展的中文NLP工具包。（中文分词、平均感知机、fastText、拼音、新词发现、分词纠错、BM25、人名识别、命名实体、自定义词典）"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","NLPchina","Java","6533","nlp","9","926.84","True","0.125","0","1","0.6534","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","dkpro/dkpro-core","https://github.com/dkpro/dkpro-core","dkpro","Java","204","nlp","10","919.11","True","0.1","0.0769","1","0.5949","0.8","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Collection of software components for natural language processing (NLP) based on the Apache UIMA framework."
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","houbb/opencc4j","https://github.com/houbb/opencc4j","houbb","Java","570","nlp","11","912.27","True","0.0769","0","1","0.8174","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","🇨🇳Open Chinese Convert is an opensource project for conversion between Traditional Chinese and Simplified Chinese.(java 中文繁简体转换，支持台湾、香港、中文日文转换。)"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","webanno/webanno","https://github.com/webanno/webanno","webanno","Java","251","nlp","12","901.96","True","0.1","0","1","0.6398","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","🆕 Work continues on INCEpTION 👉 https://github.com/inception-project/inception 👈 -- ⚠️ The official WebAnno repository has reached the end of the line. -- 🚀 To migrate, export your annotation projects from WebAnno, then import them into INCEpTION and just work on."
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","CogComp/cogcomp-nlp","https://github.com/CogComp/cogcomp-nlp","CogComp","Java","480","nlp","13","901.51","True","0.0455","0.037","1","0.7801","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","CogComp's Natural Language Processing Libraries and Demos: Modules include lemmatizer, ner, pos, prep-srl, quantifier, question type, relation-extraction, similarity, temporal normalizer, tokenizer, transliteration, verb-sense, and more."
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","vinhkhuc/JFastText","https://github.com/vinhkhuc/JFastText","vinhkhuc","Java","246","nlp","14","893.01","False","0.0909","0","1","0.6354","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Java interface for fastText"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","shineware/KOMORAN","https://github.com/shineware/KOMORAN","shineware","Java","315","nlp","15","885.56","False","0.1","0","1","0.6889","0.8","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Korean Morphological Analyzer by shineware"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","airyhq/airy","https://github.com/airyhq/airy","airyhq","Java","402","nlp","16","877.17","False","0.0526","0","1","0.7417","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","💬  Open Source App Framework to build streaming apps with real-time data - 💎  Build real-time data pipelines and make real-time data universally accessible - 🤖  Join historical and real-time data in the stream to create smarter ML and AI applications.  - ⚡ Standardize complex data ingestion and stream data to apps with pre-built connectors"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","OpenSextant/SolrTextTagger","https://github.com/OpenSextant/SolrTextTagger","OpenSextant","Java","177","nlp","17","873.75","False","0.1111","0","1","0.5643","0.8","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","A text tagger based on Lucene / Solr, using FST technology"
