"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"YarikSOffice/LanguageTest","https://github.com/YarikSOffice/LanguageTest","YarikSOffice","Java","232","False","False","8/6/2017 11:25:08 AM","2/14/2026 7:22:13 AM","Changing the language on Android","android;android-development;language;localization;translation","topic:language language:Java stars:>=50"
"tangyudi/Ai-Learn","https://github.com/tangyudi/Ai-Learn","tangyudi","","12947","False","False","1/28/2020 1:55:06 AM","5/3/2026 10:42:10 AM","人工智能学习路线图，整理近200个实战案例与项目，免费提供配套教材，零基础入门，就业实战！包括：Python，数学，机器学习，数据分析，深度学习，计算机视觉，自然语言处理，PyTorch tensorflow machine-learning,deep-learning data-analysis data-mining mathematics data-science artificial-intelligence python tensorflow tensorflow2 caffe keras pytorch algorithm numpy pandas matplotlib seaborn nlp cv等热门领域","algorithm;artificial-intelligence;caffe;cv;data-analysis;data-mining;data-science;deep-learning;keras;machine-learning;mathematics;matplotlib;nlp;numpy;pandas;python;pytorch;seaborn;tensorflow;tensorflow2","topic:nlp stars:>=100"
"jsksxs360/AHANLP","https://github.com/jsksxs360/AHANLP","jsksxs360","Java","311","False","False","5/19/2017 5:48:58 AM","5/1/2026 12:56:19 PM","啊哈自然语言处理包，提供包括分词、依存句法分析、语义角色标注、自动摘要、语义相似度计算、LDA 主题预测、词云等服务。","chinese;nlp","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"oracle/tribuo","https://github.com/oracle/tribuo","oracle","Java","1409","False","False","6/16/2020 9:59:48 AM","4/29/2026 8:40:44 PM","Tribuo - A Java machine learning library","classification;clustering;deep-learning;java;machine-learning;ml;nlp;regression","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"AI4Finance-Foundation/FinGPT","https://github.com/AI4Finance-Foundation/FinGPT","AI4Finance-Foundation","Jupyter Notebook","19921","False","False","2/11/2023 8:21:34 PM","5/3/2026 5:04:16 PM","FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.","chatgpt;finance;fingpt;fintech;large-language-models;machine-learning;nlp;prompt-engineering;pytorch;reinforcement-learning;robo-advisor;sentiment-analysis;technical-analysis","topic:nlp stars:>=100"
"dkpro/dkpro-core","https://github.com/dkpro/dkpro-core","dkpro","Java","204","False","False","5/12/2015 8:45:33 PM","3/29/2026 4:40:32 AM","Collection of software components for natural language processing (NLP) based on the Apache UIMA framework.","dkpro;java;natural-language-processing;nlp;uima;uima-components","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"box/mojito","https://github.com/box/mojito","box","Java","381","False","False","6/3/2016 9:50:33 PM","4/2/2026 4:31:16 PM","An automation platform that enables continuous localization.","android;continuous-localization;globalization;i18n;international;internationalization;ios;l10n;language;languages;localization;localization-tool;mojito;po;properties;translation;translation-management;translations;xliff","topic:language language:Java stars:>=50"
"botpress/botpress","https://github.com/botpress/botpress","botpress","TypeScript","14666","False","False","11/16/2016 9:57:59 PM","5/3/2026 1:39:04 PM","The open-source hub to build & deploy GPT/LLM Agents ⚡️","agent;ai;botpress;chatbot;chatgpt;gpt;gpt-4;langchain;llm;nlp;openai;prompt","topic:nlp stars:>=100"
"webanno/webanno","https://github.com/webanno/webanno","webanno","Java","251","False","False","5/13/2015 1:20:49 PM","4/2/2026 8:32:35 AM","🆕 Work continues on INCEpTION 👉 https://github.com/inception-project/inception 👈 -- ⚠️ The official WebAnno repository has reached the end of the line. -- 🚀 To migrate, export your annotation projects from WebAnno, then import them into INCEpTION and just work on.","annotation;annotation-editor;annotation-tool;java;nlp;web-application","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"BotLibre/BotLibre","https://github.com/BotLibre/BotLibre","BotLibre","Java","633","False","False","9/28/2015 1:48:22 AM","4/16/2026 5:52:08 PM","An open platform for artificial intelligence, chat bots, virtual agents, social media automation, and live chat automation.","ai-engine;android;artificial-intelligence;avatars;bot;bots;chat-bots;chatbot;ios;java;javascript;natural-language;natural-language-processing;natural-language-understanding;nlp;nlu;objective-c;sdk;virtual-agents;wordpress","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"jumanji144/Jasm","https://github.com/jumanji144/Jasm","jumanji144","Java","78","False","False","5/5/2022 2:43:46 PM","3/30/2026 3:07:39 AM","Post modern age integration focused jvm bytecode assembler","assembler;ast;bytecode;compiler;java;language;parser","topic:language language:Java stars:>=50"
"openvinotoolkit/openvino","https://github.com/openvinotoolkit/openvino","openvinotoolkit","C++","10169","False","False","10/15/2018 10:54:40 AM","5/3/2026 7:12:08 AM","OpenVINO™ is an open source toolkit for optimizing and deploying AI inference","ai;computer-vision;deep-learning;deploy-ai;diffusion-models;generative-ai;good-first-issue;inference;llm-inference;natural-language-processing;nlp;openvino;optimize-ai;performance-boost;recommendation-system;speech-recognition;stable-diffusion;transformers;yolo","topic:nlp stars:>=100"
"bigscience-workshop/petals","https://github.com/bigscience-workshop/petals","bigscience-workshop","Python","10112","False","False","6/12/2022 12:10:27 AM","5/3/2026 5:15:38 PM","🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","bloom;chatbot;deep-learning;distributed-systems;falcon;gpt;guanaco;language-models;large-language-models;llama;machine-learning;mixtral;neural-networks;nlp;pipeline-parallelism;pretrained-models;pytorch;tensor-parallelism;transformer;volunteer-computing","topic:nlp stars:>=100"
"6thsolution/ApexNLP","https://github.com/6thsolution/ApexNLP","6thsolution","Java","104","False","False","12/7/2016 6:24:48 PM","2/1/2026 4:50:31 AM","A natural language event parser for java and android.","android;event-parser;java;natural-language-processing;nlp","topic:nlp language:Java stars:>=50"
"thunlp/THUCTC","https://github.com/thunlp/THUCTC","thunlp","Java","214","False","False","5/17/2016 4:19:02 AM","4/3/2026 8:26:17 AM","An Efficient Chinese Text Classifier","chinese-nlp;nlp","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"CogComp/cogcomp-nlp","https://github.com/CogComp/cogcomp-nlp","CogComp","Java","480","False","False","10/18/2015 4:11:16 AM","4/6/2026 10:14:21 AM","CogComp's Natural Language Processing Libraries and Demos: Modules include lemmatizer, ner, pos, prep-srl, quantifier, question type, relation-extraction, similarity, temporal normalizer, tokenizer, transliteration, verb-sense, and more.","big-data;cogcomp;data-mining;dependency-parsing;lemmatization;lemmatizer;named-entity-recognition;natural-language-processing;natural-language-understanding;ner;nlp;parts-of-speech-tagging;pos;pos-tagging;relation-extraction;similarity;tokenizer;transliteration","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"shibing624/similarity","https://github.com/shibing624/similarity","shibing624","Java","1576","False","False","11/9/2016 2:02:01 AM","4/24/2026 9:39:51 AM","similarity: Text similarity calculation Toolkit for Java. 文本相似度计算工具包，java编写，可用于文本相似度计算、情感分析等任务，开箱即用。","java;nlp;semantic;sentiment;sim-scores;similarity","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160211","False","False","10/29/2018 1:56:00 PM","5/3/2026 5:50:07 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:nlp stars:>=100"
"haifengl/smile","https://github.com/haifengl/smile","haifengl","Java","6368","False","False","11/20/2014 4:28:12 PM","5/1/2026 6:16:29 PM","Statistical Machine Intelligence & Learning Engine","classification;clustering;computer-algebra-system;computer-vision;data-science;dataframe;deep-learning;genetic-algorithm;interpolation;linear-algebra;llm;machine-learning;manifold-learning;multidimensional-scaling;nearest-neighbor-search;nlp;regression;statistics;visualization;wavelet","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"AnySoftKeyboard/AnySoftKeyboard","https://github.com/AnySoftKeyboard/AnySoftKeyboard","AnySoftKeyboard","Java","3288","False","False","4/18/2012 12:38:01 PM","5/3/2026 1:07:07 AM","Android on screen keyboard for multiple languages and NO internet access","android;anysoftkeyboard;java;language;multiple-languages;screen-keyboard","topic:language language:Java stars:>=50"
"apache/opennlp","https://github.com/apache/opennlp","apache","Java","1591","False","False","11/9/2011 8:00:09 AM","5/2/2026 2:58:49 PM","Apache OpenNLP","apache;compling;languagetechnology;nlp;opennlp;textprocessing","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"hankcs/hanlp-lucene-plugin","https://github.com/hankcs/hanlp-lucene-plugin","hankcs","Java","300","False","False","8/22/2015 2:23:27 PM","4/10/2026 4:22:09 PM","HanLP中文分词Lucene插件，支持包括Solr在内的基于Lucene的系统","chinese-text-segmentation;hanlp;lucene;nlp;solr;traditional-chinese","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"shineware/KOMORAN","https://github.com/shineware/KOMORAN","shineware","Java","315","False","False","5/18/2015 3:53:54 PM","4/1/2026 6:29:17 AM","Korean Morphological Analyzer by shineware","komoran;korean-nlp;korean-text-processing;morphological-analysis;nlp;shineware","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"neuml/txtai","https://github.com/neuml/txtai","neuml","Python","12454","False","False","8/9/2020 7:14:59 PM","5/3/2026 5:36:29 PM","💡 All-in-one AI framework for semantic search, LLM orchestration and language model workflows","agents;ai;ai-agents;embeddings;information-retrieval;language-model;large-language-models;llm;nlp;python;rag;retrieval-augmented-generation;search;search-engine;semantic-search;sentence-embeddings;transformers;txtai;vector-database;vector-search","topic:nlp stars:>=100"
"hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36293","False","False","10/9/2014 6:36:16 AM","5/3/2026 5:27:42 PM","Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification","dependency-parser;hanlp;named-entity-recognition;natural-language-processing;nlp;pos-tagging;semantic-parsing;text-classification","topic:nlp stars:>=100"
"Whiley/WhileyCompiler","https://github.com/Whiley/WhileyCompiler","Whiley","Java","228","False","False","11/21/2010 10:32:44 PM","4/2/2026 8:27:30 AM","The Whiley Compiler (WyC)","compiler;language;verification;whiley","topic:language language:Java stars:>=50"
"lionsoul2014/jcseg","https://github.com/lionsoul2014/jcseg","lionsoul2014","Java","922","False","False","3/31/2014 3:44:32 AM","4/10/2026 6:15:31 AM","Jcseg is a light weight NLP framework developed with Java. Provide CJK and English segmentation based on MMSEG algorithm, With also keywords extraction, key sentence extraction, summary extraction implemented based on TEXTRANK algorithm. Jcseg had a build-in http server and search modules for lucene,solr,elasticsearch,opensearch","chinese-nlp;chinese-text-segmentation;chinese-word-segmentation;elasticsearch-analyzer;elasticsearch-tokenizer;java;jcseg;jcseg-analyzer;keywords-extraction;lucene-analyzer;lucene-tokenizer;mmseg;natural-language-processing;nlp;nlp-keywords-extraction;opensearch-analyzer;opensearch-tokenizer;pos-tagging;solr-plugin","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"allegro/opel","https://github.com/allegro/opel","allegro","Java","73","False","False","8/30/2016 1:49:35 PM","2/4/2026 4:43:30 PM","OPEL - asynchronous expression language","async;expression;hacktoberfest;java;language","topic:language language:Java stars:>=50"
"apachecn/ailearning","https://github.com/apachecn/ailearning","apachecn","Python","42221","False","False","2/25/2017 8:53:02 AM","5/3/2026 1:46:54 PM","AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2","adaboost;apriori;deeplearning;dnn;fp-growth;kmeans;logistic;lstm;mahchine-leaning;naivebayes;nlp;pca;python;recommendedsystem;regression;rnn;scikit-learn;sklearn;svd;svm","topic:nlp stars:>=100"
"AKuznetsov/russianmorphology","https://github.com/AKuznetsov/russianmorphology","AKuznetsov","Java","102","False","False","3/5/2014 6:23:41 AM","3/21/2026 8:06:45 AM","Russian Morphology for Lucene","java;lucene;morphology;russian-morphology;solr","topic:morphology language:Java stars:>=50"
"microsoft/AI-For-Beginners","https://github.com/microsoft/AI-For-Beginners","microsoft","Jupyter Notebook","47148","False","False","3/3/2021 4:27:36 PM","5/3/2026 5:46:05 PM","12 Weeks, 24 Lessons, AI for All!","ai;artificial-intelligence;cnn;computer-vision;deep-learning;gan;machine-learning;microsoft-for-beginners;nlp;rnn","topic:nlp stars:>=100"
"iamjazzar/rosetta","https://github.com/iamjazzar/rosetta","iamjazzar","Java","67","False","False","1/18/2016 6:05:23 PM","4/19/2026 4:52:33 AM","(Help wanted) Android library for multi-language support","android;android-library;i18n;l10n;language;languages;rosetta-stone","topic:language language:Java stars:>=50"
"khitk9738/EyeVis","https://github.com/khitk9738/EyeVis","khitk9738","Java","76","False","False","1/27/2018 1:06:09 AM","4/27/2026 6:52:51 AM","Android based Vocal Vision for Visually Impaired. Object Detection, Voice Assistance, Optical Character Reader, Read Aloud, Face Recognition, Landmark Recognition, Image Labelling etc.","anaconda3;android-application;blind;cnn;detection;google-tensorflow;google-translator;language;neural-network;ocr;optical-character-recognition;python;spyder;translation;vision","topic:language language:Java stars:>=50"
"jimichan/mynlp","https://github.com/jimichan/mynlp","jimichan","Java","690","False","False","12/10/2017 5:35:01 AM","4/24/2026 7:04:52 AM","一个生产级、高性能、模块化、可扩展的中文NLP工具包。（中文分词、平均感知机、fastText、拼音、新词发现、分词纠错、BM25、人名识别、命名实体、自定义词典）","fasttext;nlp;pinyin;segment;starspace","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"haven-jeon/KoNLP","https://github.com/haven-jeon/KoNLP","haven-jeon","Java","161","False","False","11/24/2011 3:13:37 PM","3/26/2026 2:45:13 PM","R package for Korean NLP","korean-nlp;r","nlp language:Java stars:>=50"
"google/langextract","https://github.com/google/langextract","google","Python","36361","False","False","7/8/2025 8:46:06 PM","5/3/2026 5:17:38 PM","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization.","gemini;gemini-ai;gemini-api;gemini-flash;gemini-pro;information-extration;large-language-models;llm;nlp;python;structured-data","topic:nlp stars:>=100"
"dair-ai/AI-Papers-of-the-Week","https://github.com/dair-ai/AI-Papers-of-the-Week","dair-ai","","12377","False","False","1/8/2023 7:26:35 PM","5/3/2026 4:50:52 PM","🔥Highlighting the top ML papers every week.","ai;data-science;deeplearning;machine-learning;nlp","topic:nlp stars:>=100"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","NLPchina","Java","6533","False","False","9/5/2012 5:56:24 AM","4/29/2026 9:40:27 AM","ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典","ansj;chinese;java;nlp","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"ogrisel/pignlproc","https://github.com/ogrisel/pignlproc","ogrisel","Java","162","False","False","12/20/2010 1:53:53 PM","4/22/2026 3:28:22 AM","Apache Pig utilities to build training corpora for machine learning / NLP out of public Wikipedia and DBpedia dumps.","","nlp language:Java stars:>=50"
"ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code","https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code","ashishpatel26","","33411","False","False","1/2/2021 12:08:37 PM","5/3/2026 5:55:00 PM","500 AI Machine learning Deep learning Computer vision NLP Projects with code","artificial-intelligence;artificial-intelligence-projects;awesome;computer-vision;computer-vision-project;data-science;deep-learning;deep-learning-project;machine-learning;machine-learning-projects;nlp;nlp-projects;python","topic:nlp stars:>=100"
"zoho/hawking","https://github.com/zoho/hawking","zoho","Java","248","False","False","12/9/2020 9:24:26 AM","4/21/2026 9:40:13 AM","A Natural Language Date Time Parser that Extract date and time from text with context and parse to the required format ","configurations-hawking;corenlp;date-parser;dateformat;datetime;datetimepicker;machinelearning;nlp;nlp-libary;parse-dates;timeparser;timezones","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"
"WuLC/KeywordExtraction","https://github.com/WuLC/KeywordExtraction","WuLC","Java","106","False","False","4/26/2016 3:16:53 PM","4/1/2026 10:22:46 AM","Implementation of  algorithm in keyword extraction,including TextRank,TF-IDF and the combination of both","extract-keywords;java;keyword-extraction;nlp;textrank;tf-idf","topic:nlp language:Java stars:>=50"
"tkrajina/10000sentences","https://github.com/tkrajina/10000sentences","tkrajina","Java","194","False","False","12/2/2016 8:14:32 AM","5/2/2026 2:37:05 PM","10,000 sentences: an Android app to help you learn new words in foreign languages","foreign-language;language;language-learning;sentence","topic:language language:Java stars:>=50"
"NLP-LOVE/ML-NLP","https://github.com/NLP-LOVE/ML-NLP","NLP-LOVE","Jupyter Notebook","17650","False","False","7/5/2019 12:49:53 PM","5/3/2026 1:53:40 AM","此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、NLP面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。","deep-learning;machine-learning;nlp","topic:nlp stars:>=100"
"ymcui/Chinese-LLaMA-Alpaca","https://github.com/ymcui/Chinese-LLaMA-Alpaca","ymcui","Python","18944","False","False","3/15/2023 11:09:39 AM","5/3/2026 3:11:47 PM","中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)","alpaca;alpaca-2;large-language-models;llama;llama-2;llm;lora;nlp;plm;pre-trained-language-models;quantization","topic:nlp stars:>=100"
"schibsted/jslt","https://github.com/schibsted/jslt","schibsted","Java","691","False","False","6/11/2018 1:11:37 PM","4/10/2026 4:07:05 PM","JSON query and transformation language","jackson;java;json;language;query;transform","topic:language language:Java stars:>=50"
"virgili0/Virgilio","https://github.com/virgili0/Virgilio","virgili0","Jupyter Notebook","14328","False","False","3/12/2019 6:45:36 PM","5/2/2026 9:15:26 AM","Your new Mentor for Data Science E-Learning.","business-intelligence;computer-vision;data-science;datascience;guide;guidelines;hacktoberfest;learning;learning-python;machine-learning;machine-vision;nlp;path;python;scikit-learn;statistics;study;studypath;tensorflow;virgilio","topic:nlp stars:>=100"
"HongZhaoHua/jstarcraft-nlp","https://github.com/HongZhaoHua/jstarcraft-nlp","HongZhaoHua","Java","120","False","False","7/19/2019 3:12:56 AM","3/21/2026 3:41:13 AM","专注于解决自然语言处理领域的几个核心问题:词法分析,句法分析,语义分析,语种检测,信息抽取,文本聚类和文本分类.  为相关领域的研发人员提供完整的通用设计与参考实现.  涵盖了多种自然语言处理算法,适配了多个自然语言处理框架. 兼容Lucene/Solr/ElasticSearch插件.","ansj;corenlp;elasticsearch;hanlp;ik;java;jcseg;jieba;language-detection;lucene;mmseg;mynlp;nlp;solr;thulac;word","topic:nlp language:Java stars:>=50"
"realdanvanth/compiler","https://github.com/realdanvanth/compiler","realdanvanth","Java","56","False","False","5/23/2025 4:32:04 PM","3/30/2026 12:10:46 PM","x86_64 compiler written in java ","compiler;java;language","topic:language language:Java stars:>=50"
