"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"stanford-oval/storm","https://github.com/stanford-oval/storm","stanford-oval","Python","28156","False","False","3/24/2024 4:23:39 PM","5/3/2026 10:07:20 AM","An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.","agentic-rag;deep-research;emnlp2024;knowledge-curation;large-language-models;naacl;nlp;report-generation;retrieval-augmented-generation","topic:nlp stars:>=100"
"LibrePDF/OpenPDF","https://github.com/LibrePDF/OpenPDF","LibrePDF","Java","4261","False","False","7/11/2016 3:50:34 PM","5/3/2026 1:22:40 PM","OpenPDF is an open-source Java library for creating, editing, rendering, and encrypting PDF documents, as well as generating PDFs from HTML. It is licensed under the LGPL and MPL.","flyingsaucer;itext;java;kotlin;openpdf;pdf;pdf-generation","o language:Java stars:>=50"
"nielsbasjes/logparser","https://github.com/nielsbasjes/logparser","nielsbasjes","Java","165","False","False","9/6/2013 7:48:43 PM","5/2/2026 8:26:11 AM","Easy parsing of Apache HTTPD and NGINX access logs with Java, Hadoop, Hive, Flink, Beam, Storm, Drill, ...","apache;beam;drill;flink;hadoop;hive;httpd;java;logformat;nginx;parse;parser","topic:apache language:Java stars:>=50"
"AI4Finance-Foundation/FinGPT","https://github.com/AI4Finance-Foundation/FinGPT","AI4Finance-Foundation","Jupyter Notebook","19921","False","False","2/11/2023 8:21:34 PM","5/3/2026 5:04:16 PM","FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.","chatgpt;finance;fingpt;fintech;large-language-models;machine-learning;nlp;prompt-engineering;pytorch;reinforcement-learning;robo-advisor;sentiment-analysis;technical-analysis","topic:nlp stars:>=100"
"springdoc/springdoc-openapi","https://github.com/springdoc/springdoc-openapi","springdoc","Java","3703","False","False","7/11/2019 11:08:20 PM","5/3/2026 1:27:20 PM","Library for OpenAPI 3 with spring-boot","java;json-format;kotlin;oauth2;openapi;openapi-spec;openapi-specification;openapi3;rest-api;spring;spring-boot;spring-data-rest;spring-hateoas;spring-security;spring-webflux;springdoc-openapi;swagger;swagger-documentation;swagger-ui;yaml-format","o language:Java stars:>=50"
"orientechnologies/orientdb","https://github.com/orientechnologies/orientdb","orientechnologies","Java","4951","False","False","12/9/2012 8:33:47 PM","5/3/2026 1:45:31 PM","OrientDB is the most versatile DBMS supporting Graph, Document, Reactive, Full-Text and Geospatial models in one Multi-Model product. OrientDB can run distributed (Multi-Master), supports SQL, ACID Transactions, Full-Text indexing and Reactive Queries.","database;dbms;document-database;fast;graph-database;graph-store;multi-master;multi-model-dbms;nosql;orientdb;performance;sql","o language:Java stars:>=50"
"oshi/oshi","https://github.com/oshi/oshi","oshi","Java","5207","False","False","2/10/2012 12:46:48 PM","5/3/2026 1:26:57 AM","Native Operating System and Hardware Information","cpu-usage;disk-utilization;hacktoberfest;hardware-information;java;jna;memory-usage;operating-system;process-list;processor;serialnumbers;system-monitoring;usb-devices","o language:Java stars:>=50"
"botpress/botpress","https://github.com/botpress/botpress","botpress","TypeScript","14666","False","False","11/16/2016 9:57:59 PM","5/3/2026 1:39:04 PM","The open-source hub to build & deploy GPT/LLM Agents ⚡️","agent;ai;botpress;chatbot;chatgpt;gpt;gpt-4;langchain;llm;nlp;openai;prompt","topic:nlp stars:>=100"
"suceser/android-open-source-project-analysis","https://github.com/suceser/android-open-source-project-analysis","suceser","Java","2792","False","False","2/24/2017 2:10:48 AM","5/2/2026 10:00:32 AM","Android open source project analysis. Note: The project has been moved to https://github.com/BeesAndroid/BeesAndroid.","","o language:Java stars:>=50"
"tchiotludo/akhq","https://github.com/tchiotludo/akhq","tchiotludo","Java","3797","False","False","9/9/2018 7:35:39 PM","4/30/2026 1:06:27 PM","Kafka GUI for Apache Kafka to manage topics, topics data, consumers group, schema registry, connect and more...","gui;java;kafka;kafka-tools;kafka-ui;kafka-utils;kafkahq","apache language:Java stars:>=50"
