"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"apache/opennlp","https://github.com/apache/opennlp","google/j2objc","https://github.com/google/j2objc","google","Java","6039","nlp","1","774.33","False","0","0","1","0.7105","1","1","0.3333","o language:Java stars:>=50","A Java to iOS Objective-C translation tool and runtime."
"apache/opennlp","https://github.com/apache/opennlp","fishercoder1534/Leetcode","https://github.com/fishercoder1534/Leetcode","fishercoder1534","Java","3982","","2","668.09","False","0.0588","0","1","0.8009","1","0","0.6667","topic:apache language:Java stars:>=50 | apache language:Java stars:>=50","Solutions to LeetCode problems; updated daily. Subscribe to my YouTube channel for more."
"apache/opennlp","https://github.com/apache/opennlp","stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","stanfordnlp","Java","10070","computer-vision","3","619.9","False","0.1","0","1","0.5994","1","0","0.3333","topic:nlp stars:>=100","CoreNLP: A Java suite of core NLP tools for tokenization, sentence segmentation, NER, parsing, coreference, sentiment analysis, etc."
"apache/opennlp","https://github.com/apache/opennlp","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","4","610.48","False","0.125","0","0","0.5599","1","1","0.3333","topic:nlp stars:>=100","modest natural-language processing"
"apache/opennlp","https://github.com/apache/opennlp","strimzi/strimzi-kafka-operator","https://github.com/strimzi/strimzi-kafka-operator","strimzi","Java","5789","","5","600.94","False","0","0","1","0.7196","1","0","0.6667","apache language:Java stars:>=50 | o language:Java stars:>=50","Apache Kafka® running on Kubernetes"
"apache/opennlp","https://github.com/apache/opennlp","oslabs-beta/Kafka-Sprout","https://github.com/oslabs-beta/Kafka-Sprout","oslabs-beta","Java","430","","6","600.35","False","0.0833","0","1","0.7163","0.8","0","0.3333","topic:apache language:Java stars:>=50",":rocket: Web GUI for Kafka Cluster Management"
"apache/opennlp","https://github.com/apache/opennlp","Azure/azure-event-hubs-for-kafka","https://github.com/Azure/azure-event-hubs-for-kafka","Azure","Java","246","","7","598.42","False","0.0769","0","1","0.5954","1","0","0.3333","topic:apache language:Java stars:>=50","Azure Event Hubs for Apache Kafka Ecosystems"
"apache/opennlp","https://github.com/apache/opennlp","ozlerhakan/poiji","https://github.com/ozlerhakan/poiji","ozlerhakan","Java","526","","8","593.99","False","0.04","0","1","0.7599","1","0","0.3333","topic:apache language:Java stars:>=50",":candy: A library converting XLS and XLSX files to a list of Java objects based on Apache POI"
"apache/opennlp","https://github.com/apache/opennlp","dair-ai/AI-Papers-of-the-Week","https://github.com/dair-ai/AI-Papers-of-the-Week","dair-ai","","12377","nlp","9","587.06","False","0.1","0","0","0.5546","1","1","0.3333","topic:nlp stars:>=100","🔥Highlighting the top ML papers every week."
"apache/opennlp","https://github.com/apache/opennlp","opentripplanner/OpenTripPlanner","https://github.com/opentripplanner/OpenTripPlanner","opentripplanner","Java","2623","","10","581.01","False","0","0","1","0.8915","1","0","0.3333","o language:Java stars:>=50","An open source multi-modal trip planner"
"apache/opennlp","https://github.com/apache/opennlp","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","nlp","11","580.78","False","0.1","0","0","0.5187","1","1","0.3333","topic:nlp stars:>=100","NLTK Source"
"apache/opennlp","https://github.com/apache/opennlp","openboard-team/openboard","https://github.com/openboard-team/openboard","openboard-team","Java","2720","","12","579.63","False","0","0","1","0.8836","1","0","0.3333","o language:Java stars:>=50",""
"apache/opennlp","https://github.com/apache/opennlp","gzu-liyujiang/Android_CN_OAID","https://github.com/gzu-liyujiang/Android_CN_OAID","gzu-liyujiang","Java","2785","editor","13","578.73","False","0","0","1","0.8785","1","0","0.3333","o language:Java stars:>=50","安卓设备唯一标识解决方案，可替代移动安全联盟（MSA）统一 SDK 闭源方案。包括国内手机厂商的开放匿名标识（OAID）、海外手机平台的安卓广告标识（AAID），另外也提供了 IMEI/MEID、AndroidID、WidevineID、PseudoID、GUID 等常见的设备标识的获取方法。"
"apache/opennlp","https://github.com/apache/opennlp","suceser/android-open-source-project-analysis","https://github.com/suceser/android-open-source-project-analysis","suceser","Java","2792","data-science","14","578.64","False","0","0","1","0.8779","1","0","0.3333","o language:Java stars:>=50","Android open source project analysis. Note: The project has been moved to https://github.com/BeesAndroid/BeesAndroid."
"apache/opennlp","https://github.com/apache/opennlp","openrocket/openrocket","https://github.com/openrocket/openrocket","openrocket","Java","2796","","15","578.58","False","0","0","1","0.8776","1","0","0.3333","o language:Java stars:>=50","Model-rocketry aerodynamics and trajectory simulation software"
"apache/opennlp","https://github.com/apache/opennlp","jOOQ/jOOR","https://github.com/jOOQ/jOOR","jOOQ","Java","2833","","16","578.09","False","0","0","1","0.8748","1","0","0.3333","o language:Java stars:>=50"," jOOR - Fluent Reflection in Java jOOR is a very simple fluent API that gives access to your Java Class structures in a more intuitive way. The JDK's reflection APIs are hard and verbose to use. Other languages have much simpler constructs to access type meta information at runtime. Let us make Java reflection better."
"apache/opennlp","https://github.com/apache/opennlp","EverythingMe/overscroll-decor","https://github.com/EverythingMe/overscroll-decor","EverythingMe","Java","2901","","17","577.18","False","0","0","1","0.8696","1","0","0.3333","o language:Java stars:>=50","Android: iOS-like over-scrolling effect applicable over almost all scrollable Android views."
"apache/opennlp","https://github.com/apache/opennlp","igniterealtime/Openfire","https://github.com/igniterealtime/Openfire","igniterealtime","Java","3023","","18","575.62","False","0","0","1","0.8607","1","0","0.3333","o language:Java stars:>=50","An XMPP server licensed under the Open Source Apache License."
"apache/opennlp","https://github.com/apache/opennlp","AnyListen/tools-ocr","https://github.com/AnyListen/tools-ocr","AnyListen","Java","3066","computer-vision","19","575.08","False","0","0","1","0.8576","1","0","0.3333","o language:Java stars:>=50","树洞 OCR 文字识别（一款跨平台的 OCR 小工具）"
"apache/opennlp","https://github.com/apache/opennlp","florent37/ShapeOfView","https://github.com/florent37/ShapeOfView","florent37","Java","3219","","20","573.23","False","0","0","1","0.847","1","0","0.3333","o language:Java stars:>=50","Give a custom shape to any android view, Material Design 2 ready"
