"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","CogComp/cogcomp-nlp","https://github.com/CogComp/cogcomp-nlp","CogComp","Java","480","nlp","1","875.87","False","0.0909","0","1","0.8232","1","1","0.3333","topic:big-data language:Java stars:>=50","CogComp's Natural Language Processing Libraries and Demos: Modules include lemmatizer, ner, pos, prep-srl, quantifier, question type, relation-extraction, similarity, temporal normalizer, tokenizer, transliteration, verb-sense, and more."
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","apache/flink-kubernetes-operator","https://github.com/apache/flink-kubernetes-operator","apache","Java","1007","","2","854.31","False","0.2857","0","1","0.9838","1","0","0.3333","topic:big-data language:Java stars:>=50","Apache Flink Kubernetes Operator"
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","yahoo/egads","https://github.com/yahoo/egads","yahoo","Java","1193","computer-vision","3","821.4","False","0.25","0","1","0.9794","1","0","0.3333","topic:big-data language:Java stars:>=50","A Java package to automatically detect anomalies in large scale time-series data"
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","dair-ai/AI-Papers-of-the-Week","https://github.com/dair-ai/AI-Papers-of-the-Week","dair-ai","","12377","nlp","4","820.03","False","0.375","0","0","0.4716","1","1","0.3333","topic:nlp stars:>=100","🔥Highlighting the top ML papers every week."
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","yahoo/mysql_perf_analyzer","https://github.com/yahoo/mysql_perf_analyzer","yahoo","Java","1436","data-science","5","814.36","False","0.25","0","1","0.9392","1","0","0.3333","topic:big-data language:Java stars:>=50","MySQL performance monitoring and analysis."
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","apache/helix","https://github.com/apache/helix","apache","Java","496","","6","795.3","False","0.25","0","1","0.8303","1","0","0.3333","topic:big-data language:Java stars:>=50","Mirror of Apache Helix"
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","vinary-tree/liblevenshtein-java","https://github.com/vinary-tree/liblevenshtein-java","vinary-tree","Java","60","nlp","7","790.58","False","0.0833","0","1","0.3748","1","1","0.3333","topic:data-science language:Java stars:>=50","Various utilities regarding Levenshtein transducers. (Java)"
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","apache/orc","https://github.com/apache/orc","apache","Java","766","llm","8","786.78","False","0.2222","0","1","0.9245","1","0","0.3333","topic:big-data language:Java stars:>=50","Apache ORC - the smallest, fastest columnar storage for Hadoop workloads"
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","yahoo/HaloDB","https://github.com/yahoo/HaloDB","yahoo","Java","530","llm","9","772.81","False","0.2222","0","1","0.8446","1","0","0.3333","topic:big-data language:Java stars:>=50","A fast, log structured key-value store."
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","apache/tez","https://github.com/apache/tez","apache","Java","513","","10","771.57","False","0.2222","0","1","0.8376","1","0","0.3333","topic:big-data language:Java stars:>=50","Apache Tez"
