"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","hooj0/sensitive-words-filter","https://github.com/hooj0/sensitive-words-filter","hooj0","Java","262","editor","1","707.21","False","0.1","0.1304","1","0.3282","1","0","0.6667","topic:dfa language:Java stars:>=50 | sensitive language:Java stars:>=50",":page_facing_up:Sensitive word filtering items provide TTMP, DFA, DAT, hash bucket, and Tire algorithm support filtering. Supports text highlighting, filtering, verdicts, and alternative interface support.敏感词过滤项目，提供TTMP、DFA、DAT、hash bucket、Tire算法支持过滤。可以支持文本的高亮、过滤、判词、替换的接口支持。"
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","Krupen/FabulousFilter","https://github.com/Krupen/FabulousFilter","Krupen","Java","2651","","2","642.24","False","0.08","0","1","0.83","1","0","0.3333","topic:filter language:Java stars:>=50","Android library to animate Floating Action Button to Bottom Sheet Dialog and vice-versa"
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","Doikki/DKVideoPlayer","https://github.com/Doikki/DKVideoPlayer","Doikki","Java","5309","editor","3","634.13","False","0.0417","0","1","0.9807","1","0","0.3333","topic:filter language:Java stars:>=50","Android Video Player. 安卓视频播放器，封装MediaPlayer、ExoPlayer、IjkPlayer。模仿抖音并实现预加载，列表播放，悬浮播放，广告播放，弹幕，视频水印，视频滤镜"
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","stanfordnlp","Java","10070","computer-vision","4","631.99","False","0.0588","0","1","0.8803","1","0","0.3333","topic:nlp stars:>=100","CoreNLP: A Java suite of core NLP tools for tokenization, sentence segmentation, NER, parsing, coreference, sentiment analysis, etc."
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","turkraft/springfilter","https://github.com/turkraft/springfilter","turkraft","Java","279","","5","626.91","False","0.1579","0","1","0.3418","1","0","0.3333","topic:filter language:Java stars:>=50","Dynamically filter JPA entities, Mongo collections, and Java in-memory objects with a user-friendly query syntax. Seamless integration with Spring APIs. Star to support the project! ❤️"
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","elvishew/xLog","https://github.com/elvishew/xLog","elvishew","Java","3335","","6","614.96","False","0.04","0","1","0.8798","1","0","0.3333","topic:filter language:Java stars:>=50","Android logger, pretty, powerful and flexible, log to everywhere, save to file, all you want is here."
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","i2p/i2p.i2p","https://github.com/i2p/i2p.i2p","i2p","Java","2525","editor","7","613.39","False","0.05","0","1","0.8194","1","0","0.3333","sensitive language:Java stars:>=50","I2P is an anonymizing network, offering a simple layer that identity-sensitive applications can use to securely communicate. All data is wrapped with several layers of encryption, and the network is both distributed and dynamic, with no trusted parties. "
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","8","607.13","False","0.0667","0","0","0.8407","1","1","0.3333","topic:nlp stars:>=100","modest natural-language processing"
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","dair-ai/AI-Papers-of-the-Week","https://github.com/dair-ai/AI-Papers-of-the-Week","dair-ai","","12377","nlp","9","599.15","False","0.0588","0","0","0.8355","1","1","0.3333","topic:nlp stars:>=100","🔥Highlighting the top ML papers every week."
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","nlp","10","592.87","False","0.0588","0","0","0.7996","1","1","0.3333","topic:nlp stars:>=100","NLTK Source"
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","imgly/pesdk-android-demo","https://github.com/imgly/pesdk-android-demo","imgly","Java","643","computer-vision","11","580.74","False","0.0714","0","1","0.5226","1","0","0.3333","topic:filter language:Java stars:>=50","PhotoEditor SDK: A fully customizable photo editor for your app."
"houbb/sensitive-word","https://github.com/houbb/sensitive-word","eugener/oxbow","https://github.com/eugener/oxbow","eugener","Java","171","","12","578.79","False","0.125","0","1","0.2359","1","0","0.3333","topic:filter language:Java stars:>=50","Swing UI Enhacements"
