"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","jsksxs360/AHANLP","https://github.com/jsksxs360/AHANLP","jsksxs360","Java","311","nlp","1","1159.41","True","0.5","0","1","0.3395","1","1","0.3333","topic:chinese language:Java stars:>=50","啊哈自然语言处理包，提供包括分词、依存句法分析、语义角色标注、自动摘要、语义相似度计算、LDA 主题预测、词云等服务。"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","houbb/opencc4j","https://github.com/houbb/opencc4j","houbb","Java","570","nlp","2","1002.38","True","0.3","0","1","0.4707","1","1","0.3333","topic:chinese language:Java stars:>=50","🇨🇳Open Chinese Convert is an opensource project for conversion between Traditional Chinese and Simplified Chinese.(java 中文繁简体转换，支持台湾、香港、中文日文转换。)"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","LMAX-Exchange/disruptor","https://github.com/LMAX-Exchange/disruptor","LMAX-Exchange","Java","18323","","3","710.81","False","0.1667","0","1","0.7761","1","0","0.3333","topic:java language:Java stars:>=50","High Performance Inter-Thread Messaging Library"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","houbb/nlp-hanzi-similar","https://github.com/houbb/nlp-hanzi-similar","houbb","Java","296","computer-vision","4","707.54","False","0.25","0","1","0.3288","1","0","0.3333","topic:chinese language:Java stars:>=50","The hanzi similar tool.(汉字相似度计算工具，中文形近字算法。可用于手写汉字识别纠正，文本混淆等。)"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","mybatis/mybatis-3","https://github.com/mybatis/mybatis-3","mybatis","Java","20417","","5","706.7","False","0.1667","0","1","0.7526","1","0","0.3333","topic:java language:Java stars:>=50","MyBatis SQL mapper framework for Java"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","openjdk/jdk","https://github.com/openjdk/jdk","openjdk","Java","22844","","6","702.43","False","0.1667","0","1","0.7282","1","0","0.3333","topic:java language:Java stars:>=50","JDK main-line development https://openjdk.org/projects/jdk"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","7","701.63","False","0.1667","0","0","0.8665","1","1","0.3333","topic:nlp stars:>=100","modest natural-language processing"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","google/guava","https://github.com/google/guava","google","Java","51497","","8","701.55","False","0.2","0","1","0.5517","1","0","0.3333","topic:java language:Java stars:>=50","Google core libraries for Java"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","ChHsiching/GitHub-Chinese-Top-Charts","https://github.com/ChHsiching/GitHub-Chinese-Top-Charts","ChHsiching","Java","1762","","9","700.22","False","0.1667","0","1","0.7155","1","0","0.3333","topic:chinese language:Java stars:>=50","🇨🇳 GitHub中文排行榜，帮助你发现高分优秀中文项目。"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","stanfordnlp","Java","10070","computer-vision","10","696.06","False","0.125","0","1","0.9061","1","0","0.3333","topic:nlp stars:>=100","CoreNLP: A Java suite of core NLP tools for tokenization, sentence segmentation, NER, parsing, coreference, sentiment analysis, etc."
