"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"zxing/zxing","https://github.com/zxing/zxing","zxing","Java","33927","False","False","10/12/2011 2:07:27 PM","5/3/2026 1:37:02 AM","ZXing (""Zebra Crossing"") barcode scanning library for Java, Android","android;barcode;barcode-scanner;datamatrix;java;qr-code;upc;zxing","topic:java language:Java stars:>=50"
"wuwei-crg/AutoLXB","https://github.com/wuwei-crg/AutoLXB","wuwei-crg","Java","198","False","False","1/1/2026 4:40:12 AM","5/3/2026 12:35:36 PM","基于常驻守护进程的 Android 自动化框架，支持多任务定时执行。| Android automation framework with persistent daemon and scheduled tasks.","android-application;android-automation;chinese","topic:chinese language:Java stars:>=50"
"jsksxs360/AHANLP","https://github.com/jsksxs360/AHANLP","jsksxs360","Java","311","False","False","5/19/2017 5:48:58 AM","5/1/2026 12:56:19 PM","啊哈自然语言处理包，提供包括分词、依存句法分析、语义角色标注、自动摘要、语义相似度计算、LDA 主题预测、词云等服务。","chinese;nlp","topic:chinese language:Java stars:>=50"
"xuxueli/xxl-job","https://github.com/xuxueli/xxl-job","xuxueli","Java","30120","False","False","11/28/2015 12:59:34 PM","5/3/2026 3:53:51 AM","A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）","cron;distributed;glue;java;job;quartz;restful;schedule;scheduler;task;xxl-job","topic:java language:Java stars:>=50"
"AI4Finance-Foundation/FinGPT","https://github.com/AI4Finance-Foundation/FinGPT","AI4Finance-Foundation","Jupyter Notebook","19921","False","False","2/11/2023 8:21:34 PM","5/3/2026 5:04:16 PM","FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.","chatgpt;finance;fingpt;fintech;large-language-models;machine-learning;nlp;prompt-engineering;pytorch;reinforcement-learning;robo-advisor;sentiment-analysis;technical-analysis","topic:nlp stars:>=100"
"yeecode/MyBatisCN","https://github.com/yeecode/MyBatisCN","yeecode","Java","450","False","False","10/30/2019 11:55:10 AM","4/30/2026 8:28:52 AM","MyBatis中文详尽注释版。书籍《通用源码阅读指导书——MyBatis源码详解》配套注释版源码。","chinese;comment;mybatis","topic:chinese language:Java stars:>=50"
"explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","False","False","7/3/2014 3:15:40 PM","5/3/2026 11:00:34 AM","💫 Industrial-strength Natural Language Processing (NLP) in Python","ai;artificial-intelligence;cython;data-science;deep-learning;entity-linking;machine-learning;named-entity-recognition;natural-language-processing;neural-network;neural-networks;nlp;nlp-library;python;spacy;text-classification;tokenization","topic:nlp stars:>=100"
"botpress/botpress","https://github.com/botpress/botpress","botpress","TypeScript","14666","False","False","11/16/2016 9:57:59 PM","5/3/2026 1:39:04 PM","The open-source hub to build & deploy GPT/LLM Agents ⚡️","agent;ai;botpress;chatbot;chatgpt;gpt;gpt-4;langchain;llm;nlp;openai;prompt","topic:nlp stars:>=100"
"nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","False","False","9/7/2009 10:53:58 AM","5/3/2026 11:03:07 AM","NLTK Source","machine-learning;natural-language-processing;nlp;nltk;python","topic:nlp stars:>=100"
"openjdk/jdk","https://github.com/openjdk/jdk","openjdk","Java","22844","False","False","9/17/2018 12:29:20 PM","5/3/2026 3:37:38 PM","JDK main-line development https://openjdk.org/projects/jdk","java;jvm;openjdk","topic:java language:Java stars:>=50"
"alibaba/Sentinel","https://github.com/alibaba/Sentinel","alibaba","Java","23101","False","False","4/4/2018 6:37:33 AM","5/3/2026 2:44:58 PM","A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)","alibaba;circuit-breaker;cloud-native;java;microservice;microservices;rate-limiting;reliability;resiliency","topic:java language:Java stars:>=50"
"dromara/Sa-Token","https://github.com/dromara/Sa-Token","dromara","Java","18778","False","False","2/3/2020 10:34:29 AM","5/3/2026 3:54:00 AM","✨ 开源、免费、一站式 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式 Session 会话、微服务网关鉴权、SSO 单点登录、OAuth2.0 统一认证、jwt 集成、API Key 秘钥授权、API 参数签名","aouth2;authorization;java;springcloud;sso;token","topic:java language:Java stars:>=50"
"openvinotoolkit/openvino","https://github.com/openvinotoolkit/openvino","openvinotoolkit","C++","10169","False","False","10/15/2018 10:54:40 AM","5/3/2026 7:12:08 AM","OpenVINO™ is an open source toolkit for optimizing and deploying AI inference","ai;computer-vision;deep-learning;deploy-ai;diffusion-models;generative-ai;good-first-issue;inference;llm-inference;natural-language-processing;nlp;openvino;optimize-ai;performance-boost;recommendation-system;speech-recognition;stable-diffusion;transformers;yolo","topic:nlp stars:>=100"
"chinabugotech/hutool","https://github.com/chinabugotech/hutool","chinabugotech","Java","30298","False","False","4/13/2014 7:23:51 AM","5/3/2026 2:34:01 PM","🍬A set of tools that keep Java sweet.","http;hutool;java;json;orm;tool;util","topic:java language:Java stars:>=50"
