"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","ahmetaa","Java","1323","nlp","1","1112.4","True","0.125","0.2","1","0.9709","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","NLP tools for Turkish."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","shibing624/similarity","https://github.com/shibing624/similarity","shibing624","Java","1576","nlp","2","1098.45","True","0.25","0","1","0.9911","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","similarity: Text similarity calculation Toolkit for Java. 文本相似度计算工具包，java编写，可用于文本相似度计算、情感分析等任务，开箱即用。"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","datumbox","Java","1085","nlp","3","1087.37","True","0.25","0","1","0.9279","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","dkpro/dkpro-core","https://github.com/dkpro/dkpro-core","dkpro","Java","204","nlp","4","1083.11","True","0.25","0.0909","1","0.5658","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Collection of software components for natural language processing (NLP) based on the Apache UIMA framework."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","webanno/webanno","https://github.com/webanno/webanno","webanno","Java","251","nlp","5","1031.86","True","0.25","0","1","0.6106","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","🆕 Work continues on INCEpTION 👉 https://github.com/inception-project/inception 👈 -- ⚠️ The official WebAnno repository has reached the end of the line. -- 🚀 To migrate, export your annotation projects from WebAnno, then import them into INCEpTION and just work on."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","vinhkhuc/JFastText","https://github.com/vinhkhuc/JFastText","vinhkhuc","Java","246","nlp","6","1006.1","True","0.2222","0","1","0.6063","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Java interface for fastText"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","houbb/opencc4j","https://github.com/houbb/opencc4j","houbb","Java","570","nlp","7","1001.58","True","0.1818","0","1","0.7883","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","🇨🇳Open Chinese Convert is an opensource project for conversion between Traditional Chinese and Simplified Chinese.(java 中文繁简体转换，支持台湾、香港、中文日文转换。)"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","jsksxs360/AHANLP","https://github.com/jsksxs360/AHANLP","jsksxs360","Java","311","nlp","8","994.98","True","0.2","0","1","0.657","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","啊哈自然语言处理包，提供包括分词、依存句法分析、语义角色标注、自动摘要、语义相似度计算、LDA 主题预测、词云等服务。"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","houbb/word-checker","https://github.com/houbb/word-checker","houbb","Java","267","nlp","9","989.2","True","0.2","0","1","0.624","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","🇨🇳🇬🇧Chinese and English word spelling corrector.(中文易错别字检测，中文拼写检测纠正。英文单词拼写校验工具)"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","thunlp/THUCTC","https://github.com/thunlp/THUCTC","thunlp","Java","214","nlp","10","980.83","True","0.2","0","1","0.5762","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","An Efficient Chinese Text Classifier"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","apache/opennlp","https://github.com/apache/opennlp","apache","Java","1591","nlp","11","973.09","True","0.1111","0","1","0.9891","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Apache OpenNLP"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","jimichan/mynlp","https://github.com/jimichan/mynlp","jimichan","Java","690","nlp","12","957.69","True","0.125","0","1","0.8297","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","一个生产级、高性能、模块化、可扩展的中文NLP工具包。（中文分词、平均感知机、fastText、拼音、新词发现、分词纠错、BM25、人名识别、命名实体、自定义词典）"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","6thsolution/ApexNLP","https://github.com/6thsolution/ApexNLP","6thsolution","Java","104","nlp","13","955.74","True","0.2857","0","1","0.4205","0.8","1","0.3333","topic:nlp language:Java stars:>=50","A natural language event parser for java and android."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","WuLC/KeywordExtraction","https://github.com/WuLC/KeywordExtraction","WuLC","Java","106","nlp","14","949.31","True","0.25","0","1","0.4246","1","1","0.3333","topic:nlp language:Java stars:>=50","Implementation of  algorithm in keyword extraction,including TextRank,TF-IDF and the combination of both"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","houbb/sensitive-word","https://github.com/houbb/sensitive-word","houbb","Java","5802","nlp","15","943.94","True","0.1333","0","1","0.7082","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50"," 👮‍♂️The sensitive word tool for java.(敏感词/违禁词/违法词/脏词。基于 DFA 算法实现的高性能 java 敏感词过滤工具框架。内置支持单词标签分类分级。请勿发布涉及政治、广告、营销、翻墙、违反国家法律法规等内容。高性能敏感词检测过滤组件，附带繁体简体互换，支持全角半角互换，汉字转拼音，模糊搜索等功能。)"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","xkzhangsan/xk-time","https://github.com/xkzhangsan/xk-time","xkzhangsan","Java","340","nlp","16","930.85","True","0.125","0","1","0.6763","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","xk-time 是时间转换，时间计算，时间格式化，时间解析，日历，时间cron表达式和时间NLP等的工具，使用Java8（JSR-310），线程安全，简单易用，多达70几种常用日期格式化模板，支持Java8时间类和Date，轻量级，无第三方依赖。"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","kavgan/ROUGE-2.0","https://github.com/kavgan/ROUGE-2.0","kavgan","Java","221","nlp","17","930.62","True","0.1429","0","1","0.5831","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","ROUGE automatic summarization evaluation toolkit. Support for ROUGE-[N, L, S, SU], stemming and stopwords in different languages, unicode text evaluation, CSV output."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","shineware/KOMORAN","https://github.com/shineware/KOMORAN","shineware","Java","315","nlp","18","915.46","True","0.1111","0","1","0.6598","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","Korean Morphological Analyzer by shineware"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","microg/UnifiedNlp","https://github.com/microg/UnifiedNlp","microg","Java","1043","nlp","19","910.88","True","0.1111","0","1","0.9193","1","1","0.3333","nlp language:Java stars:>=50","Alternative network location provider for Android, with plugin interface to easily integrate third-party location providers."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","OpenSextant/SolrTextTagger","https://github.com/OpenSextant/SolrTextTagger","OpenSextant","Java","177","nlp","20","906.15","True","0.125","0","1","0.5351","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","A text tagger based on Lucene / Solr, using FST technology"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","CogComp/cogcomp-nlp","https://github.com/CogComp/cogcomp-nlp","CogComp","Java","480","nlp","21","900.28","True","0.0476","0.04","1","0.751","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","CogComp's Natural Language Processing Libraries and Demos: Modules include lemmatizer, ner, pos, prep-srl, quantifier, question type, relation-extraction, similarity, temporal normalizer, tokenizer, transliteration, verb-sense, and more."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","shasankp000/AI-Player","https://github.com/shasankp000/AI-Player","shasankp000","Java","120","nlp","22","878.98","False","0.1667","0","1","0.4513","1","1","0.3333","topic:nlp language:Java stars:>=50","A minecraft mod which aims to add a ""second player"" into the game which will actually be intelligent."
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","airyhq/airy","https://github.com/airyhq/airy","airyhq","Java","402","nlp","23","874.7","False","0.0556","0","1","0.7126","1","1","0.6667","topic:nlp language:Java stars:>=50 | nlp language:Java stars:>=50","💬  Open Source App Framework to build streaming apps with real-time data - 💎  Build real-time data pipelines and make real-time data universally accessible - 🤖  Join historical and real-time data in the stream to create smarter ML and AI applications.  - ⚡ Standardize complex data ingestion and stream data to apps with pre-built connectors"
"NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","NNLP-IL/Hebrew-Resources","https://github.com/NNLP-IL/Hebrew-Resources","NNLP-IL","Java","289","nlp","24","870.53","False","0","0.1667","1","0.6411","1","1","0.3333","nlp language:Java stars:>=50","A comprehensive list of Hebrew NLP resources."
