"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"dromara/Sa-Token","https://github.com/dromara/Sa-Token","dromara","Java","18778","False","False","2/3/2020 10:34:29 AM","5/3/2026 3:54:00 AM","✨ 开源、免费、一站式 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式 Session 会话、微服务网关鉴权、SSO 单点登录、OAuth2.0 统一认证、jwt 集成、API Key 秘钥授权、API 参数签名","aouth2;authorization;java;springcloud;sso;token","t language:Java stars:>=50"
"ChrisRM/material-theme-jetbrains","https://github.com/ChrisRM/material-theme-jetbrains","ChrisRM","Java","7759","False","False","9/23/2015 7:15:04 AM","4/26/2026 10:40:04 AM","JetBrains theme of Material Theme","","t language:Java stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38045","False","False","6/24/2015 2:49:52 AM","5/3/2026 3:53:58 PM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"tahaemara/yolo-custom-object-detector","https://github.com/tahaemara/yolo-custom-object-detector","tahaemara","Java","95","False","False","7/18/2018 1:16:04 PM","2/11/2026 7:40:13 AM","Making custom object detector using Yolo (Java and Python)","darknet;deep-learning;deeplearning4j;object-detection;python;yolo","topic:deep-learning language:Java stars:>=50"
"elki-project/elki","https://github.com/elki-project/elki","elki-project","Java","831","False","False","3/4/2015 2:45:49 PM","4/9/2026 3:49:10 PM","ELKI Data Mining Toolkit ","anomalydetection;cluster-analysis;clustering;data-analysis;data-mining;data-mining-algorithms;data-science;distance-functions;index;indexing;java;machine-learning;outlier-detection;outliers;time-series;visualization","topic:clustering language:Java stars:>=50"
"CertifaiAI/classifai","https://github.com/CertifaiAI/classifai","CertifaiAI","Java","125","False","False","6/4/2020 3:52:10 PM","4/13/2026 6:10:27 AM",":fire: One of the most comprehensive open-source data annotation platform.","annotation;annotation-tool;big-data;computervision;data-annotation;data-collection;data-science;deep-learning;labelling;machine-learning","topic:deep-learning language:Java stars:>=50"
"kinhong/OpenLabeler","https://github.com/kinhong/OpenLabeler","kinhong","Java","127","False","False","2/18/2019 7:23:00 PM","3/22/2026 10:59:00 AM","OpenLabeler is an open source desktop application for annotating objects for AI appplications","annotations;cross-platform;deep-learning;desktop-application;detection;docker;labeling-tool;nueral-networks;recognition;tensorflow","topic:deep-learning language:Java stars:>=50"
"IHTSDO/snomed-owl-toolkit","https://github.com/IHTSDO/snomed-owl-toolkit","IHTSDO","Java","107","False","False","2/6/2018 2:30:22 PM","4/27/2026 9:54:45 AM","The official SNOMED CT OWL Toolkit. OWL conversion, classification and authoring support.","classification;java;owl-ontology;snomed-ct","topic:classification language:Java stars:>=50"
"huangyanbin/smartTable","https://github.com/huangyanbin/smartTable","huangyanbin","Java","5224","False","False","11/8/2017 1:11:14 AM","5/3/2026 4:45:50 AM","一款android自动生成表格框架---An Android automatically generated table framework","android;android-library;android-table;android-view;annotation;table;table-lib;table-library","t language:Java stars:>=50"
"omimo/TFDroid","https://github.com/omimo/TFDroid","omimo","Java","90","False","False","2/1/2017 4:01:04 AM","4/21/2026 2:37:39 AM","A simple demo for using Tensorflow models in Android apps","andriod;android-apps;deep-learning;demo;machine-learning;tensorflow","topic:deep-learning language:Java stars:>=50"
