"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"oracle/tribuo","https://github.com/oracle/tribuo","deepjavalibrary/djl","https://github.com/deepjavalibrary/djl","deepjavalibrary","Java","4806","deep-learning","1","990.16","True","0.2353","0","1","0.7337","1","1","0.3333","topic:deep-learning language:Java stars:>=50","An Engine-Agnostic Deep Learning Framework in Java"
"oracle/tribuo","https://github.com/oracle/tribuo","tony-framework/TonY","https://github.com/tony-framework/TonY","tony-framework","Java","710","deep-learning","2","948.98","True","0.1667","0","1","0.8513","1","1","0.3333","topic:deep-learning language:Java stars:>=50","TonY is a framework to natively run deep learning frameworks on Apache Hadoop."
"oracle/tribuo","https://github.com/oracle/tribuo","Daniel-Liu-c0deb0t/Java-Machine-Learning","https://github.com/Daniel-Liu-c0deb0t/Java-Machine-Learning","Daniel-Liu-c0deb0t","Java","134","deep-learning","3","935.85","True","0.25","0","1","0.4906","0.8","1","0.3333","topic:deep-learning language:Java stars:>=50","Deep learning library for Java, with fully connected, convolutional, and recurrent layers. Also features many gradient descent optimization algorithms."
"oracle/tribuo","https://github.com/oracle/tribuo","HMS-Core/hms-ml-demo","https://github.com/HMS-Core/hms-ml-demo","HMS-Core","Java","371","deep-learning","4","932.37","True","0.12","0","1","0.7107","1","1","0.6667","topic:classification language:Java stars:>=50 | topic:deep-learning language:Java stars:>=50","HMS ML Demo provides an example of integrating Huawei ML Kit service into applications. This example demonstrates how to integrate services provided by ML Kit, such as face detection, text recognition, image segmentation, asr, and tts. "
"oracle/tribuo","https://github.com/oracle/tribuo","SeldonIO/seldon-server","https://github.com/SeldonIO/seldon-server","SeldonIO","Java","1479","deep-learning","5","931.16","True","0.12","0","1","0.9895","1","1","0.3333","topic:deep-learning language:Java stars:>=50","Machine Learning Platform and Recommendation Engine built on Kubernetes"
"oracle/tribuo","https://github.com/oracle/tribuo","amitshekhariitbhu/AndroidTensorFlowMachineLearningExample","https://github.com/amitshekhariitbhu/AndroidTensorFlowMachineLearningExample","amitshekhariitbhu","Java","1442","deep-learning","6","930","True","0.1176","0","1","0.995","1","1","0.3333","topic:deep-learning language:Java stars:>=50","Android TensorFlow MachineLearning Example (Building TensorFlow for Android)"
"oracle/tribuo","https://github.com/oracle/tribuo","kaiwaehner/ksql-udf-deep-learning-mqtt-iot","https://github.com/kaiwaehner/ksql-udf-deep-learning-mqtt-iot","kaiwaehner","Java","306","deep-learning","7","917.07","True","0.1667","0","1","0.669","1","1","0.3333","topic:deep-learning language:Java stars:>=50","Deep Learning UDF for KSQL for Streaming Anomaly Detection of MQTT IoT Sensor Data"
"oracle/tribuo","https://github.com/oracle/tribuo","amitshekhariitbhu/Android-TensorFlow-Lite-Example","https://github.com/amitshekhariitbhu/Android-TensorFlow-Lite-Example","amitshekhariitbhu","Java","772","deep-learning","8","914.66","True","0.125","0","1","0.8695","1","1","0.3333","topic:deep-learning language:Java stars:>=50","Android TensorFlow Lite Machine Learning Example"
"oracle/tribuo","https://github.com/oracle/tribuo","yusugomori/DeepLearning","https://github.com/yusugomori/DeepLearning","yusugomori","Java","3162","deep-learning","9","906.8","True","0.125","0","1","0.8246","1","1","0.3333","topic:deep-learning language:Java stars:>=50","Deep Learning (Python, C, C++, Java, Scala, Go)"
"oracle/tribuo","https://github.com/oracle/tribuo","GustikS/NeuraLogic","https://github.com/GustikS/NeuraLogic","GustikS","Java","115","deep-learning","10","893.72","False","0.1818","0","1","0.4576","1","1","0.3333","topic:deep-learning language:Java stars:>=50","Deep relational learning through differentiable logic programming."
