"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"bigscience-workshop/petals","https://github.com/bigscience-workshop/petals","bigscience-workshop","Python","10112","False","False","6/12/2022 12:10:27 AM","5/3/2026 5:15:38 PM","🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","bloom;chatbot;deep-learning;distributed-systems;falcon;gpt;guanaco;language-models;large-language-models;llama;machine-learning;mixtral;neural-networks;nlp;pipeline-parallelism;pretrained-models;pytorch;tensor-parallelism;transformer;volunteer-computing","topic:nlp stars:>=100"
"dromara/Sa-Token","https://github.com/dromara/Sa-Token","dromara","Java","18778","False","False","2/3/2020 10:34:29 AM","5/3/2026 3:54:00 AM","✨ 开源、免费、一站式 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式 Session 会话、微服务网关鉴权、SSO 单点登录、OAuth2.0 统一认证、jwt 集成、API Key 秘钥授权、API 参数签名","aouth2;authorization;java;springcloud;sso;token","topic:java language:Java stars:>=50 | s language:Java stars:>=50"
"infinilabs/analysis-ik","https://github.com/infinilabs/analysis-ik","infinilabs","Java","17449","False","False","12/16/2011 9:01:45 AM","5/3/2026 9:04:06 AM","🚌 The IK Analysis plugin integrates Lucene IK analyzer into Elasticsearch and OpenSearch, support customized dictionary.","analyzer;easysearch;elasticsearch;ik-analysis;java;opensearch","topic:java language:Java stars:>=50"
"shasankp000/AI-Player","https://github.com/shasankp000/AI-Player","shasankp000","Java","120","False","False","7/6/2024 7:44:15 AM","5/1/2026 10:36:25 AM","A minecraft mod which aims to add a ""second player"" into the game which will actually be intelligent.","artificial-intelligence;game-modding;java;minecraft;minecraft-mod;natual-language-processing;nlp;q-learning;reinforcement-learning;reinforcement-learning-agent","topic:nlp language:Java stars:>=50"
"tdebatty/java-string-similarity","https://github.com/tdebatty/java-string-similarity","tdebatty","Java","2743","False","False","4/17/2014 12:10:57 PM","5/2/2026 11:16:52 PM","Implementation of various string similarity and distance algorithms: Levenshtein, Jaro-winkler, n-Gram, Q-Gram, Jaccard index, Longest Common Subsequence edit distance, cosine similarity ...","algorithm;cosine-similarity;damerau-levenshtein;distance;distance-measure;jaro-winkler;java;levenshtein-distance;shingles;similarity-measures;string-distance","similarity language:Java stars:>=50"
"android-async-http/android-async-http","https://github.com/android-async-http/android-async-http","android-async-http","Java","10595","False","False","2/20/2011 3:25:07 AM","5/2/2026 9:59:08 AM","An asynchronous, callback-based Http client for Android built on top of Apache's HttpClient libraries.","android;java","s language:Java stars:>=50"
"android10/Android-CleanArchitecture","https://github.com/android10/Android-CleanArchitecture","android10","Java","15548","False","False","8/19/2014 2:09:26 PM","5/2/2026 9:59:37 AM","This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.","android;android-application;android-architecture;android-cleanarchitecture;android-development;architectural;java","s language:Java stars:>=50"
"supertokens/supertokens-core","https://github.com/supertokens/supertokens-core","supertokens","Java","15028","False","False","1/5/2020 1:30:52 PM","5/2/2026 6:11:01 PM","Open source alternative to Auth0 / Firebase Auth / AWS Cognito ","auth0;authentication;aws-cognito;email-password;email-password-login;firebase-auth;hacktoberfest;java;keycloak;login;oauth;password;passwordless;passwordless-authentication;passwordless-login;session-management;signin;social-login;supertokens","s language:Java stars:>=50"
"memvid/memvid","https://github.com/memvid/memvid","memvid","Rust","15339","False","False","5/27/2025 4:01:08 PM","5/3/2026 3:27:07 PM","Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.","ai;context;embedded;faiss;knowledge-base;knowledge-graph;llm;machine-learning;memory;memvid;mv2;nlp;offline-first;opencv;python;rag;retrieval-augmented-generation;semantic-search;vector-database;video-processing","topic:nlp stars:>=100"
"p-v/DateTimeSeer","https://github.com/p-v/DateTimeSeer","p-v","Java","154","False","False","9/30/2016 5:40:57 PM","10/28/2025 10:45:59 PM","A painless way to pick future time.","android;datetime;nlp","topic:nlp language:Java stars:>=50"
