"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"shibing624/similarity","https://github.com/shibing624/similarity","NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","NLPchina","Java","1513","nlp","1","1048.45","True","0.25","0","1","0.9911","1","1","0.3333","topic:nlp language:Java stars:>=50","这个项目是一个基本包.封装了大多数nlp项目中常用工具"
"shibing624/similarity","https://github.com/shibing624/similarity","NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","NLPchina","Java","6533","nlp","2","995.98","True","0.25","0","1","0.6913","1","1","0.3333","topic:nlp language:Java stars:>=50","ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典"
"shibing624/similarity","https://github.com/shibing624/similarity","datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","datumbox","Java","1085","nlp","3","990.82","True","0.2","0","1","0.919","1","1","0.3333","topic:nlp language:Java stars:>=50","Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications."
"shibing624/similarity","https://github.com/shibing624/similarity","webanno/webanno","https://github.com/webanno/webanno","webanno","Java","251","nlp","4","935.31","True","0.2","0","1","0.6018","1","1","0.3333","topic:nlp language:Java stars:>=50","🆕 Work continues on INCEpTION 👉 https://github.com/inception-project/inception 👈 -- ⚠️ The official WebAnno repository has reached the end of the line. -- 🚀 To migrate, export your annotation projects from WebAnno, then import them into INCEpTION and just work on."
"shibing624/similarity","https://github.com/shibing624/similarity","dkpro/dkpro-core","https://github.com/dkpro/dkpro-core","dkpro","Java","204","nlp","5","927.47","True","0.2","0","1","0.557","1","1","0.3333","topic:nlp language:Java stars:>=50","Collection of software components for natural language processing (NLP) based on the Apache UIMA framework."
"shibing624/similarity","https://github.com/shibing624/similarity","houbb/opencc4j","https://github.com/houbb/opencc4j","houbb","Java","570","nlp","6","924.86","True","0.1538","0","1","0.7794","1","1","0.3333","topic:nlp language:Java stars:>=50","🇨🇳Open Chinese Convert is an opensource project for conversion between Traditional Chinese and Simplified Chinese.(java 中文繁简体转换，支持台湾、香港、中文日文转换。)"
"shibing624/similarity","https://github.com/shibing624/similarity","vinhkhuc/JFastText","https://github.com/vinhkhuc/JFastText","vinhkhuc","Java","246","nlp","7","918.19","True","0.1818","0","1","0.5974","1","1","0.3333","topic:nlp language:Java stars:>=50","Java interface for fastText"
"shibing624/similarity","https://github.com/shibing624/similarity","CogComp/cogcomp-nlp","https://github.com/CogComp/cogcomp-nlp","CogComp","Java","480","nlp","8","911.7","True","0.0909","0","1","0.7422","1","1","0.6667","topic:nlp language:Java stars:>=50 | similarity language:Java stars:>=50","CogComp's Natural Language Processing Libraries and Demos: Modules include lemmatizer, ner, pos, prep-srl, quantifier, question type, relation-extraction, similarity, temporal normalizer, tokenizer, transliteration, verb-sense, and more."
"shibing624/similarity","https://github.com/shibing624/similarity","ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","ahmetaa","Java","1323","nlp","9","908.35","True","0.1","0","1","0.962","1","1","0.3333","topic:nlp language:Java stars:>=50","NLP tools for Turkish."
"shibing624/similarity","https://github.com/shibing624/similarity","houbb/word-checker","https://github.com/houbb/word-checker","houbb","Java","267","nlp","10","907.65","True","0.1667","0","1","0.6152","1","1","0.3333","topic:nlp language:Java stars:>=50","🇨🇳🇬🇧Chinese and English word spelling corrector.(中文易错别字检测，中文拼写检测纠正。英文单词拼写校验工具)"
"shibing624/similarity","https://github.com/shibing624/similarity","apache/opennlp","https://github.com/apache/opennlp","apache","Java","1591","nlp","11","906.46","True","0.0909","0","1","0.9979","1","1","0.3333","topic:nlp language:Java stars:>=50","Apache OpenNLP"
"shibing624/similarity","https://github.com/shibing624/similarity","WuLC/KeywordExtraction","https://github.com/WuLC/KeywordExtraction","WuLC","Java","106","nlp","12","902.76","True","0.2","0","1","0.4158","1","1","0.3333","topic:nlp language:Java stars:>=50","Implementation of  algorithm in keyword extraction,including TextRank,TF-IDF and the combination of both"
"shibing624/similarity","https://github.com/shibing624/similarity","6thsolution/ApexNLP","https://github.com/6thsolution/ApexNLP","6thsolution","Java","104","nlp","13","897.04","False","0.2222","0","1","0.4117","0.8","1","0.3333","topic:nlp language:Java stars:>=50","A natural language event parser for java and android."
"shibing624/similarity","https://github.com/shibing624/similarity","jsksxs360/AHANLP","https://github.com/jsksxs360/AHANLP","jsksxs360","Java","311","nlp","14","892","False","0.1429","0","1","0.6482","1","1","0.3333","topic:nlp language:Java stars:>=50","啊哈自然语言处理包，提供包括分词、依存句法分析、语义角色标注、自动摘要、语义相似度计算、LDA 主题预测、词云等服务。"
"shibing624/similarity","https://github.com/shibing624/similarity","jimichan/mynlp","https://github.com/jimichan/mynlp","jimichan","Java","690","nlp","15","883.64","False","0.1","0","1","0.8208","1","1","0.3333","topic:nlp language:Java stars:>=50","一个生产级、高性能、模块化、可扩展的中文NLP工具包。（中文分词、平均感知机、fastText、拼音、新词发现、分词纠错、BM25、人名识别、命名实体、自定义词典）"
