"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","vncorenlp/VnCoreNLP","https://github.com/vncorenlp/VnCoreNLP","vncorenlp","Java","665","computer-vision","1","950.36","True","0.1429","0","1","0.4102","1","1","1","topic:named-entity-recognition language:Java stars:>=50 | topic:natural-language-processing language:Java stars:>=50 | topic:nlp language:Java stars:>=50","A Vietnamese natural language processing toolkit (NAACL 2018)"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","lionsoul2014/jcseg","https://github.com/lionsoul2014/jcseg","lionsoul2014","Java","922","computer-vision","2","866","False","0.0909","0","1","0.4811","1","1","0.6667","topic:natural-language-processing language:Java stars:>=50 | topic:nlp language:Java stars:>=50","Jcseg is a light weight NLP framework developed with Java. Provide CJK and English segmentation based on MMSEG algorithm, With also keywords extraction, key sentence extraction, summary extraction implemented based on TEXTRANK algorithm. Jcseg had a build-in http server and search modules for lucene,solr,elasticsearch,opensearch"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","Yalantis/uCrop","https://github.com/Yalantis/uCrop","Yalantis","Java","12091","computer-vision","3","818.05","False","0","0","1","0.9603","1","1","0.3333","c language:Java stars:>=50","Image Cropping Library for Android"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","exadel-inc/CompreFace","https://github.com/exadel-inc/CompreFace","exadel-inc","Java","7906","computer-vision","4","815.81","False","0","0","1","0.9475","1","1","0.3333","c language:Java stars:>=50","Leading free and open-source face recognition system"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","dependency-check/DependencyCheck","https://github.com/dependency-check/DependencyCheck","dependency-check","Java","7528","computer-vision","5","813.95","False","0","0","1","0.9368","1","1","0.3333","c language:Java stars:>=50","OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","hdodenhof/CircleImageView","https://github.com/hdodenhof/CircleImageView","hdodenhof","Java","14520","computer-vision","6","811.09","False","0","0","1","0.9205","1","1","0.3333","c language:Java stars:>=50","A circular ImageView for Android"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","ArthurHub/Android-Image-Cropper","https://github.com/ArthurHub/Android-Image-Cropper","ArthurHub","Java","6425","computer-vision","7","807.93","False","0","0","1","0.9024","1","1","0.3333","c language:Java stars:>=50","Image Cropping Library for Android, optimized for Camera / Gallery."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","hankcs/hanlp-lucene-plugin","https://github.com/hankcs/hanlp-lucene-plugin","hankcs","Java","300","computer-vision","8","781.61","False","0.1","0","1","0.2377","1","1","0.3333","topic:nlp language:Java stars:>=50","HanLP中文分词Lucene插件，支持包括Solr在内的基于Lucene的系统"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","houbb/nlp-hanzi-similar","https://github.com/houbb/nlp-hanzi-similar","houbb","Java","296","computer-vision","9","781.1","False","0.1","0","1","0.2348","1","1","0.3333","topic:nlp language:Java stars:>=50","The hanzi similar tool.(汉字相似度计算工具，中文形近字算法。可用于手写汉字识别纠正，文本混淆等。)"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","houbb/pinyin","https://github.com/houbb/pinyin","houbb","Java","299","computer-vision","10","747.73","False","0.0625","0","1","0.237","1","1","0.3333","topic:nlp language:Java stars:>=50","The high performance pinyin tool for java.(java 高性能中文转拼音工具。支持同音字。) "
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","yaoguangluo/Deta_Parser","https://github.com/yaoguangluo/Deta_Parser","yaoguangluo","Java","479","computer-vision","11","746.84","False","0.0417","0","1","0.3391","1","1","0.3333","topic:nlp language:Java stars:>=50","快速中文分词分析word segmentation"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","KBNLresearch/europeananp-ner","https://github.com/KBNLresearch/europeananp-ner","KBNLresearch","Java","62","nlp","12","732.14","False","0.2857","0","1","0","1","0","0.6667","topic:named-entity-recognition language:Java stars:>=50 | topic:natural-language-processing language:Java stars:>=50","Named Entities Recognition Annotator Tool for Europeana Newspapers"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","HongZhaoHua/jstarcraft-nlp","https://github.com/HongZhaoHua/jstarcraft-nlp","HongZhaoHua","Java","120","computer-vision","13","726.97","False","0.05","0","1","0.0399","0.8","1","0.6667","topic:nlp language:Java stars:>=50 | corenlp language:Java stars:>=50","专注于解决自然语言处理领域的几个核心问题:词法分析,句法分析,语义分析,语种检测,信息抽取,文本聚类和文本分类.  为相关领域的研发人员提供完整的通用设计与参考实现.  涵盖了多种自然语言处理算法,适配了多个自然语言处理框架. 兼容Lucene/Solr/ElasticSearch插件."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","houbb/segment","https://github.com/houbb/segment","houbb","Java","157","computer-vision","14","720.05","False","0.0588","0","1","0.0978","1","1","0.3333","topic:nlp language:Java stars:>=50","The jieba-analysis tool for java.（基于结巴分词词库实现的更加灵活优雅易用，高性能的 java 分词实现。支持词性标注。）"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","CogComp/cogcomp-nlp","https://github.com/CogComp/cogcomp-nlp","CogComp","Java","480","nlp","15","719.42","False","0.15","0","1","0.3395","1","0","1","topic:named-entity-recognition language:Java stars:>=50 | topic:natural-language-processing language:Java stars:>=50 | topic:nlp language:Java stars:>=50","CogComp's Natural Language Processing Libraries and Demos: Modules include lemmatizer, ner, pos, prep-srl, quantifier, question type, relation-extraction, similarity, temporal normalizer, tokenizer, transliteration, verb-sense, and more."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","phongnt570/UETsegmenter","https://github.com/phongnt570/UETsegmenter","phongnt570","Java","74","computer-vision","16","712.5","False","0.125","0","1","0","0.6","1","0.3333","topic:natural-language-processing language:Java stars:>=50","A toolkit for Vietnamese word segmentation"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","OpenSextant/SolrTextTagger","https://github.com/OpenSextant/SolrTextTagger","OpenSextant","Java","177","nlp","17","696.64","False","0.25","0","1","0.1237","0.8","0","0.6667","topic:named-entity-recognition language:Java stars:>=50 | topic:nlp language:Java stars:>=50","A text tagger based on Lucene / Solr, using FST technology"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","NLPchina","Java","6533","nlp","18","696.06","False","0.125","0","1","0.9061","1","0","0.3333","topic:nlp language:Java stars:>=50","ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","dkpro/dkpro-core","https://github.com/dkpro/dkpro-core","dkpro","Java","204","nlp","19","677.01","False","0.2222","0","1","0.1543","0.8","0","0.6667","topic:natural-language-processing language:Java stars:>=50 | topic:nlp language:Java stars:>=50","Collection of software components for natural language processing (NLP) based on the Apache UIMA framework."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","6thsolution/ApexNLP","https://github.com/6thsolution/ApexNLP","6thsolution","Java","104","nlp","20","676.59","False","0.25","0","1","0.0091","0.8","0","0.6667","topic:natural-language-processing language:Java stars:>=50 | topic:nlp language:Java stars:>=50","A natural language event parser for java and android."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","languagetool-org/languagetool","https://github.com/languagetool-org/languagetool","languagetool-org","Java","14430","nlp","21","676.33","False","0.1","0","1","0.9219","1","0","0.3333","topic:natural-language-processing language:Java stars:>=50","Style and Grammar Checker for 25+ Languages"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","NLPchina","Java","1513","nlp","22","640.49","False","0.125","0","1","0.5885","1","0","0.3333","topic:nlp language:Java stars:>=50","这个项目是一个基本包.封装了大多数nlp项目中常用工具"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","houbb/sensitive-word","https://github.com/houbb/sensitive-word","houbb","Java","5802","nlp","23","631.99","False","0.0588","0","1","0.8803","1","0","0.3333","topic:nlp language:Java stars:>=50"," 👮‍♂️The sensitive word tool for java.(敏感词/违禁词/违法词/脏词。基于 DFA 算法实现的高性能 java 敏感词过滤工具框架。内置支持单词标签分类分级。请勿发布涉及政治、广告、营销、翻墙、违反国家法律法规等内容。高性能敏感词检测过滤组件，附带繁体简体互换，支持全角半角互换，汉字转拼音，模糊搜索等功能。)"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","airyhq/airy","https://github.com/airyhq/airy","airyhq","Java","402","nlp","24","627.7","False","0.1111","0","1","0.3011","1","0","0.6667","topic:natural-language-processing language:Java stars:>=50 | topic:nlp language:Java stars:>=50","💬  Open Source App Framework to build streaming apps with real-time data - 💎  Build real-time data pipelines and make real-time data universally accessible - 🤖  Join historical and real-time data in the stream to create smarter ML and AI applications.  - ⚡ Standardize complex data ingestion and stream data to apps with pre-built connectors"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","BotLibre/BotLibre","https://github.com/BotLibre/BotLibre","BotLibre","Java","633","llm","25","623.17","False","0.087","0","1","0.3995","1","0","0.6667","topic:natural-language-processing language:Java stars:>=50 | topic:nlp language:Java stars:>=50","An open platform for artificial intelligence, chat bots, virtual agents, social media automation, and live chat automation."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","ahmetaa","Java","1323","nlp","26","622.9","False","0.1111","0","1","0.5594","1","0","0.3333","topic:nlp language:Java stars:>=50","NLP tools for Turkish."
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","haifengl/smile","https://github.com/haifengl/smile","haifengl","Java","6368","llm","27","620.09","False","0.0417","0","1","0.9005","1","0","0.3333","topic:nlp language:Java stars:>=50","Statistical Machine Intelligence & Learning Engine"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","apache/opennlp","https://github.com/apache/opennlp","apache","Java","1591","nlp","28","619.9","False","0.1","0","1","0.5994","1","0","0.3333","topic:nlp language:Java stars:>=50","Apache OpenNLP"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","shibing624/similarity","https://github.com/shibing624/similarity","shibing624","Java","1576","nlp","29","619.54","False","0.1","0","1","0.5974","1","0","0.3333","topic:nlp language:Java stars:>=50","similarity: Text similarity calculation Toolkit for Java. 文本相似度计算工具包，java编写，可用于文本相似度计算、情感分析等任务，开箱即用。"
