"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11683","False","False","12/27/2018 11:58:12 PM","5/3/2026 1:57:14 PM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:computer-vision stars:>=100"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision stars:>=100"
"shasankp000/AI-Player","https://github.com/shasankp000/AI-Player","shasankp000","Java","120","False","False","7/6/2024 7:44:15 AM","5/1/2026 10:36:25 AM","A minecraft mod which aims to add a ""second player"" into the game which will actually be intelligent.","artificial-intelligence;game-modding;java;minecraft;minecraft-mod;natual-language-processing;nlp;q-learning;reinforcement-learning;reinforcement-learning-agent","topic:nlp language:Java stars:>=50"
"yuanguangxin/LeetCode","https://github.com/yuanguangxin/LeetCode","yuanguangxin","Java","7484","False","False","1/11/2020 1:02:02 AM","5/3/2026 1:47:21 PM","LeetCode刷题记录与面试整理","leetcode;leetcode-classification;leetcode-java;leetcode-solutions","c language:Java stars:>=50"
"android10/Android-CleanArchitecture","https://github.com/android10/Android-CleanArchitecture","android10","Java","15548","False","False","8/19/2014 2:09:26 PM","5/2/2026 9:59:37 AM","This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.","android;android-application;android-architecture;android-cleanarchitecture;android-development;architectural;java","c language:Java stars:>=50"
"supertokens/supertokens-core","https://github.com/supertokens/supertokens-core","supertokens","Java","15028","False","False","1/5/2020 1:30:52 PM","5/2/2026 6:11:01 PM","Open source alternative to Auth0 / Firebase Auth / AWS Cognito ","auth0;authentication;aws-cognito;email-password;email-password-login;firebase-auth;hacktoberfest;java;keycloak;login;oauth;password;passwordless;passwordless-authentication;passwordless-login;session-management;signin;social-login;supertokens","c language:Java stars:>=50"
"p-v/DateTimeSeer","https://github.com/p-v/DateTimeSeer","p-v","Java","154","False","False","9/30/2016 5:40:57 PM","10/28/2025 10:45:59 PM","A painless way to pick future time.","android;datetime;nlp","topic:nlp language:Java stars:>=50"
"brendano/stanford_corenlp_pywrapper","https://github.com/brendano/stanford_corenlp_pywrapper","brendano","Java","151","False","False","6/11/2014 7:32:02 PM","2/16/2024 2:12:21 AM","","","corenlp language:Java stars:>=50"
"ArthurHub/Android-Image-Cropper","https://github.com/ArthurHub/Android-Image-Cropper","ArthurHub","Java","6425","False","False","1/15/2015 10:49:37 AM","4/22/2026 2:45:23 PM","Image Cropping Library for Android, optimized for Camera / Gallery.","android;android-image-cropper;cropper","c language:Java stars:>=50"
"LHNCBC/metamaplite","https://github.com/LHNCBC/metamaplite","LHNCBC","Java","65","False","False","2/8/2018 7:17:44 PM","3/24/2026 10:18:48 AM","A near real-time named-entity recognizer ","metamap;named-entity-recognition;umls","topic:named-entity-recognition language:Java stars:>=50"
