"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","johanmodin/clifs","https://github.com/johanmodin/clifs","johanmodin","JavaScript","486","computer-vision","1","891.46","False","0.1818","0","1","0.4447","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Contrastive Language-Image Forensic Search allows free text searching through videos using OpenAI's machine learning model CLIP "
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","axa-group/Parsr","https://github.com/axa-group/Parsr","axa-group","JavaScript","6174","computer-vision","2","884.34","False","0.0667","0","1","0.9962","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Transforms PDF, Documents and Images into Enriched Structured Data"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","LakshmanTurlapati/Review-Gate","https://github.com/LakshmanTurlapati/Review-Gate","LakshmanTurlapati","JavaScript","1536","computer-vision","3","883.99","False","0.125","0","1","0.6943","1","1","0.3333","topic:ai language:JavaScript stars:>=50","Review-Gate V2 is a powerful rule for the Cursor IDE that helps you get up to 5x more value from your monthly requests. It creates an interactive loop where the AI waits for your follow-up commands—via text, voice, or image upload—allowing you to perform deep, iterative work all within a single request."
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","wooorm/franc","https://github.com/wooorm/franc","wooorm","JavaScript","4392","computer-vision","4","875.69","False","0.0714","0","1","0.9223","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Natural language detection"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","varunshenoy/opendream","https://github.com/varunshenoy/opendream","varunshenoy","JavaScript","1672","computer-vision","5","874.72","False","0.1111","0","1","0.7127","1","1","0.3333","topic:ai language:JavaScript stars:>=50","An extensible, easy-to-use, and portable diffusion web UI 👨‍🎨"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","ivanseidel/Is-Now-Illegal","https://github.com/ivanseidel/Is-Now-Illegal","ivanseidel","JavaScript","1360","computer-vision","6","866.87","False","0.1111","0","1","0.6678","1","1","0.3333","topic:opencv language:JavaScript stars:>=50","🚫 A NERD protest against Trump's Immigration ban"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","zy445566/node-digital-watermarking","https://github.com/zy445566/node-digital-watermarking","zy445566","JavaScript","342","computer-vision","7","843.07","False","0.1429","0","1","0.3686","1","1","0.3333","topic:opencv language:JavaScript stars:>=50","A digital watermark is a kind of marker covertly embedded in a noise-tolerant signal such as an audio, video or image data. It is typically used to identify ownership of the copyright of such signal. ""Watermarking"" is the process of hiding digital information in a carrier signal; the hidden information should, but does not need to, contain a relation to the carrier signal. Digital watermarks may be used to verify the authenticity or integrity of the carrier signal or to show the identity of its owners. It is prominently used for tracing copyright infringements and for banknote authentication."
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","ozgrozer/ai-renamer","https://github.com/ozgrozer/ai-renamer","ozgrozer","JavaScript","2074","computer-vision","8","835.84","False","0.0588","0","1","0.7594","1","1","0.3333","topic:ai language:JavaScript stars:>=50","A Node.js CLI that uses Ollama and LM Studio models (Llava, Gemma, Llama etc.) to intelligently rename files by their contents"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","linonetwo/segmentit","https://github.com/linonetwo/segmentit","linonetwo","JavaScript","313","computer-vision","9","823.64","False","0.125","0","1","0.3494","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","任何 JS 环境可用的中文分词包，fork from leizongmin/node-segment"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","shifu-group/inpaint_wechat","https://github.com/shifu-group/inpaint_wechat","shifu-group","JavaScript","415","computer-vision","10","821.83","False","0.1111","0","1","0.4105","1","1","0.3333","topic:opencv language:JavaScript stars:>=50","《照片修复小小助手》是一款基于微信AI能力的微信小程序，实现了图片选定区域的消除修复功能，纯客户端实现，无服务端。Inpaint_wechat is a WeChat mini-program based on the WeChat AI capabilities, implementing the functionality of inpainting and repairing selected areas in images, which is purely implemented by the client and has no server. "
