"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"grab/cursor-talk-to-figma-mcp","https://github.com/grab/cursor-talk-to-figma-mcp","grab","JavaScript","6722","False","False","3/16/2025 4:45:37 PM","5/3/2026 6:53:08 AM","TalkToFigma: MCP integration between AI Agent (Cursor, Claude Code) and Figma, allowing Agentic AI to communicate with Figma for reading designs and modifying them programmatically.","agent;agentic;agentic-ai;ai;ai-agents;automation;cursor;design;figma;generative-ai;llm;llms;mcp;model-context-protocol","topic:ai language:JavaScript stars:>=50"
"KudoAI/duckduckgpt","https://github.com/KudoAI/duckduckgpt","KudoAI","JavaScript","270","False","False","3/1/2023 3:35:55 PM","4/30/2026 8:42:55 AM","🐤 AI chat & search summaries in DuckDuckGo, powered by the latest LLMs","ai;artificial-intelligence;bot;chatbot;chatgpt;duckduckgo;gpt;gpt-5;greasemonkey;javascript;kudoai;machine-learning;nlp;openai;search;userscripts;web","topic:nlp language:JavaScript stars:>=50"
"kmario23/deep-learning-drizzle","https://github.com/kmario23/deep-learning-drizzle","kmario23","HTML","12807","False","False","11/26/2018 1:17:36 AM","5/3/2026 12:45:29 AM","Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!","artificial-intelligence-algorithms;artificial-neural-networks;bayesian-statistics;computer-vision;deep-learning;deep-neural-networks;deep-reinforcement-learning;explainable-ai;geometric-deep-learning;graph-neural-networks;machine-learning;medical-imaging;natural-language-processing;optimization;pattern-recognition;probabilistic-graphical-models;probability;reinforcement-learning;speech-recognition;visual-recognition","topic:computer-vision stars:>=100"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision stars:>=100"
"tsayen/dom-to-image","https://github.com/tsayen/dom-to-image","tsayen","JavaScript","10774","False","False","4/17/2015 7:47:01 PM","5/3/2026 3:08:51 PM","Generates an image from a DOM node using HTML5 canvas","canvas;css;dom;html;image;javascript;raster;render;svg;vector","t language:JavaScript stars:>=50"
"jsdelivr/jsdelivr","https://github.com/jsdelivr/jsdelivr","jsdelivr","JavaScript","6235","False","False","7/13/2012 5:25:24 PM","5/3/2026 3:34:17 AM","A free, fast, and reliable Open Source CDN for npm, GitHub, Javascript, and ESM","cdn;cdn-providers;distribution;esm;esmodules;http;infrastructure;javascript;jsdelivr;npm;npm-cdn;traffic","free language:JavaScript stars:>=50"
"OpenNewsLabs/guri-vr","https://github.com/OpenNewsLabs/guri-vr","OpenNewsLabs","JavaScript","195","False","False","7/8/2016 3:03:50 PM","8/27/2025 12:09:45 PM","https://gurivr.com","nlp;virtual-reality;vr;webvr","topic:nlp language:JavaScript stars:>=50"
"lihongxun945/gobang","https://github.com/lihongxun945/gobang","lihongxun945","JavaScript","1799","False","False","1/28/2016 1:15:14 PM","5/2/2026 7:10:54 AM","javascript gobang AI，JS五子棋AI，源码+教程，基于Alpha-Beta剪枝算法（不是神经网络）","ai;gobang;gomoku;javascript","topic:ai language:JavaScript stars:>=50"
"LakshmanTurlapati/Review-Gate","https://github.com/LakshmanTurlapati/Review-Gate","LakshmanTurlapati","JavaScript","1536","False","False","5/7/2025 11:23:17 AM","5/1/2026 8:59:44 AM","Review-Gate V2 is a powerful rule for the Cursor IDE that helps you get up to 5x more value from your monthly requests. It creates an interactive loop where the AI waits for your follow-up commands—via text, voice, or image upload—allowing you to perform deep, iterative work all within a single request.","ai;claude;cursor;ide","topic:ai language:JavaScript stars:>=50"
"drawdb-io/drawdb","https://github.com/drawdb-io/drawdb","drawdb-io","JavaScript","37142","False","False","7/16/2023 5:09:20 PM","5/3/2026 5:18:48 PM","Free, simple, and intuitive online database diagram editor and SQL generator.","database-schema;diagram-editor;editor;erd;erdiagram;indexeddb;javascript;mariadb;oracle-database;oracle-db;postgresql;react;sql;sql-server;sqlite;svg;tailwindcss","free language:JavaScript stars:>=50"
"SharpAI/DeepCamera","https://github.com/SharpAI/DeepCamera","SharpAI","JavaScript","2720","False","False","3/5/2019 2:29:23 PM","5/3/2026 2:31:47 PM","Open-Source AI Camera Skills Platform, AI NVR & CCTV Surveillance. Local VLM video analysis with Qwen, DeepSeek, SmolVLM, LLaVA, YOLO26. LLM-powered agentic security camera agent — watches, understands, remembers & guards your home via Telegram, Discord or Slack. Pluggable AI skills. OpenAI, Google, Anthropic or local AI. Runs on Mac Mini & AI PC.","ai;ai-camera;ai-nvr;camera;cctv;computer-vision;deep-learning;face-recognition;home-assistant;home-security;llama-cpp;llm;local-ai;machine-learning;object-detection;python;raspberry-pi;security-camera;video-surveillance;vlm","topic:ai language:JavaScript stars:>=50"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:computer-vision stars:>=100"
"clusterzx/paperless-ai","https://github.com/clusterzx/paperless-ai","clusterzx","JavaScript","5631","False","False","12/1/2024 4:41:07 PM","5/3/2026 2:54:47 PM","An automated document analyzer for Paperless-ngx using OpenAI API, Ollama, Deepseek-r1, Azure and all OpenAI API compatible Services to automatically analyze and tag your documents.","ai;automation;gemma;llama;mistral;ollama;paperless;paperless-ngx;phi","topic:ai language:JavaScript stars:>=50"
"listen1/listen1_chrome_extension","https://github.com/listen1/listen1_chrome_extension","listen1","JavaScript","12050","False","False","4/30/2016 6:40:37 AM","5/3/2026 4:18:50 AM","one for all free music in china (chrome extension, also works for firefox)","chrome-extension;music-player","free language:JavaScript stars:>=50"
"ryanhanwu/How-To-Ask-Questions-The-Smart-Way","https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way","ryanhanwu","JavaScript","35030","False","False","3/28/2015 4:52:40 PM","5/3/2026 3:40:45 PM","本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。","rtfm;stfw;translation","t language:JavaScript stars:>=50"
