"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 7:32:26 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"tmijs/tmi.js","https://github.com/tmijs/tmi.js","tmijs","JavaScript","1591","False","False","6/7/2015 10:42:32 PM","4/21/2026 10:42:42 AM","💬 Javascript library for the Twitch Messaging Interface. (Twitch.tv)","chat;chatbot;javascript;nodejs;tmi;tmijs;twitch;twitchdev","topic:chatbot language:JavaScript stars:>=50"
"nylas/nylas-mail","https://github.com/nylas/nylas-mail","nylas","JavaScript","24762","False","False","10/16/2014 6:29:12 PM","5/2/2026 9:59:40 AM",":love_letter: An extensible desktop mail app built on the modern web.  Forks welcome!","babel;electron;email;flux;javascript;linux;macos;nylas-mail;productivity;react;windows","n language:JavaScript stars:>=50"
"inulute/simplexity-ai-app","https://github.com/inulute/simplexity-ai-app","inulute","JavaScript","622","False","False","7/28/2023 10:37:46 AM","4/30/2026 2:22:34 PM","Community-driven P-lexity AI desktop app powered by Electron, bringing powerful AI language intelligence straight to your desktop.","ai;chatbot;electron;electron-app;javascript;meta;perplexity;perplexity-ai","topic:chatbot language:JavaScript stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42339","False","False","8/17/2023 2:17:10 AM","5/3/2026 7:32:55 AM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34683","False","False","10/2/2024 11:57:54 AM","5/3/2026 8:45:54 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"LucasBassetti/react-simple-chatbot","https://github.com/LucasBassetti/react-simple-chatbot","LucasBassetti","JavaScript","1757","False","False","4/14/2017 1:53:10 AM","4/3/2026 10:47:32 PM",":speech_balloon: Easy way to create conversation chats","chat;chatbot;conversational-ui;react","topic:chatbot language:JavaScript stars:>=50"
"slackapi/slack-github-action","https://github.com/slackapi/slack-github-action","slackapi","JavaScript","1314","False","False","10/22/2020 7:31:13 PM","5/1/2026 9:48:47 PM","Send data into Slack using this GitHub Action!","bot;github-actions;slack","topic:bot language:JavaScript stars:>=50"
"6eer/uniswap-sushiswap-arbitrage-bot","https://github.com/6eer/uniswap-sushiswap-arbitrage-bot","6eer","JavaScript","612","False","False","5/5/2021 3:00:05 PM","5/3/2026 5:14:11 AM","Two bots written in JS that uses flashswaps and normal swaps to arbitrage Uniswap. Includes an automated demostration.","arbitrage;arbitrage-bot;bot;ethereum;flashloan;flashswap;sushiswap;swap;uniswap","topic:bot language:JavaScript stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:53:36 AM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
