"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","jackdh/RasaTalk","https://github.com/jackdh/RasaTalk","jackdh","JavaScript","303","llm","1","1083.25","True","0.3333","0","1","0.3329","0.8","1","1","topic:bots language:JavaScript stars:>=50 | topic:chatbot language:JavaScript stars:>=50 | nlp language:JavaScript stars:>=50","A chatbot framework for Rasa NLU"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","KudoAI","JavaScript","2030","llm","2","1047.09","True","0.1852","0","1","0.7453","1","1","1","topic:bot language:JavaScript stars:>=50 | topic:chatbot language:JavaScript stars:>=50 | nlp language:JavaScript stars:>=50","🤖 A powerful, open source JavaScript library for ChatGPT"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","yagop/node-telegram-bot-api","https://github.com/yagop/node-telegram-bot-api","yagop","JavaScript","9137","llm","3","1031.17","True","0.1875","0","1","0.9281","1","1","0.6667","topic:bot language:JavaScript stars:>=50 | topic:chatbot language:JavaScript stars:>=50","Telegram Bot API for NodeJS"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","dmitrizzle/chat-bubble","https://github.com/dmitrizzle/chat-bubble","dmitrizzle","JavaScript","600","llm","4","1020.92","True","0.2353","0","1","0.4809","0.8","1","1","topic:bot language:JavaScript stars:>=50 | topic:chatbot language:JavaScript stars:>=50 | nlp language:JavaScript stars:>=50","Simple chatbot UI for the Web with JSON scripting 👋🤖🤙"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","samtecspg/articulate","https://github.com/samtecspg/articulate","samtecspg","JavaScript","592","llm","5","976.5","True","0.2143","0","1","0.478","1","1","0.6667","topic:chatbot language:JavaScript stars:>=50 | nlp language:JavaScript stars:>=50","A platform for building conversational interfaces with intelligent agents (chatbots)"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","winkjs","JavaScript","1371","llm","6","976.24","True","0.1786","0","1","0.6601","1","1","0.6667","topic:chatbot language:JavaScript stars:>=50 | nlp language:JavaScript stars:>=50","Developer friendly Natural Language Processing ✨"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","tmijs/tmi.js","https://github.com/tmijs/tmi.js","tmijs","JavaScript","1591","llm","7","921.17","True","0.1667","0","1","0.6924","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","💬 Javascript library for the Twitch Messaging Interface. (Twitch.tv)"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","danielcardeenas/sulla","https://github.com/danielcardeenas/sulla","danielcardeenas","JavaScript","1304","llm","8","919.5","True","0.1176","0","1","0.6493","1","1","0.6667","topic:bot language:JavaScript stars:>=50 | topic:chatbot language:JavaScript stars:>=50","👩🏻‍🔬 Javascript Whatsapp api library for chatbots"
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","intelligo-mn/neuro","https://github.com/intelligo-mn/neuro","intelligo-mn","JavaScript","202","llm","9","892.91","False","0.2778","0","1","0.2452","0.6","1","0.3333","nlp language:JavaScript stars:>=50","🔮 Neuro.js is machine learning library for building AI assistants and chat-bots."
"axa-group/nlp.js","https://github.com/axa-group/nlp.js","KudoAI/duckduckgpt","https://github.com/KudoAI/duckduckgpt","KudoAI","JavaScript","270","llm","10","892.35","False","0.1538","0","1","0.3079","1","1","0.6667","topic:chatbot language:JavaScript stars:>=50 | nlp language:JavaScript stars:>=50","🐤 AI chat & search summaries in DuckDuckGo, powered by the latest LLMs"
