"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"wq/wq.app","https://github.com/wq/wq.app","wq","JavaScript","121","False","False","8/20/2012 9:14:25 PM","4/8/2026 4:38:06 PM","💻📱 wq's app library: a JavaScript framework powering offline-first web & native apps for geospatial data collection, mobile surveys, and citizen science.  Powered by Redux, React, Material UI and Maplibre GL.","citizen-science;data-collection;geospatial;gis;mobile;mobile-app;offline;offline-first;survey;wq-framework","topic:offline-first language:JavaScript stars:>=50"
"KudoAI/duckduckgpt","https://github.com/KudoAI/duckduckgpt","KudoAI","JavaScript","270","False","False","3/1/2023 3:35:55 PM","4/30/2026 8:42:55 AM","🐤 AI chat & search summaries in DuckDuckGo, powered by the latest LLMs","ai;artificial-intelligence;bot;chatbot;chatgpt;duckduckgo;gpt;gpt-5;greasemonkey;javascript;kudoai;machine-learning;nlp;openai;search;userscripts;web","topic:nlp language:JavaScript stars:>=50"
"nextapps-de/flexsearch","https://github.com/nextapps-de/flexsearch","nextapps-de","JavaScript","13686","False","False","2/25/2018 12:40:24 PM","5/3/2026 5:42:01 PM","Next-generation full-text search library for Browser and Node.js","elasticsearch;full-text-search;fulltext-search;fuzzy;fuzzy-search;javascript;javascript-library;nodejs;open-source;search;search-algorithm;search-engine;search-in-text;searching;searching-algorithms;web;web-worker","topic:search language:JavaScript stars:>=50 | search language:JavaScript stars:>=50"
"leeoniya/uFuzzy","https://github.com/leeoniya/uFuzzy","leeoniya","JavaScript","2997","False","False","9/16/2022 4:24:29 AM","4/27/2026 5:06:16 AM","A tiny, efficient fuzzy search that doesn't suck","autocomplete;filter-list;fuzzy-matching;fuzzy-search;ranking-algorithm;search;typeahead;typeahead-search","topic:search language:JavaScript stars:>=50 | search language:JavaScript stars:>=50"
"dessant/search-by-image","https://github.com/dessant/search-by-image","dessant","JavaScript","3303","False","False","6/17/2017 2:48:41 PM","5/3/2026 9:28:05 AM","Browser extension for reverse image search, available for Chrome, Edge and Safari","browser-extension;chrome-extension;firefox-extension;google;image;image-search;reverse-image-search;safari-extension;search;yandex","topic:search language:JavaScript stars:>=50 | search language:JavaScript stars:>=50"
"iondrimba/react-calculator","https://github.com/iondrimba/react-calculator","iondrimba","JavaScript","69","False","False","12/17/2016 9:56:21 PM","10/17/2024 4:16:49 AM",":triangular_ruler: PWA React + Redux Calculator","calculator;es6;javascript;jsx;offline-first;pwa;pwa-apps;pwa-example;pwa-react;react-redux;reactjs;service-worker;tools","topic:offline-first language:JavaScript stars:>=50"
"OpenNewsLabs/guri-vr","https://github.com/OpenNewsLabs/guri-vr","OpenNewsLabs","JavaScript","195","False","False","7/8/2016 3:03:50 PM","8/27/2025 12:09:45 PM","https://gurivr.com","nlp;virtual-reality;vr;webvr","topic:nlp language:JavaScript stars:>=50"
"amitmerchant1990/notepad","https://github.com/amitmerchant1990/notepad","amitmerchant1990","JavaScript","359","False","False","7/22/2016 1:41:33 PM","5/2/2026 1:15:32 PM",":ledger: An offline capable Notepad PWA","hacktoberfest;installable;javascript;js;notepad;offline-capable;offline-first;pomodoro;progressive-web-app;pwa;pwa-apps;rich-text-editor;service-worker;webapp","topic:offline-first language:JavaScript stars:>=50"
"bujue3709/chatgpt-Long-conversation-optimization","https://github.com/bujue3709/chatgpt-Long-conversation-optimization","bujue3709","JavaScript","810","False","False","1/26/2026 3:45:29 AM","5/1/2026 12:04:30 PM","A useful plugin for the ChatGPT web platform, focusing on long conversation browsing, exporting, searching, prompt management, and timeline navigation. 🚀||优化ChatGPT长会话卡顿，聊天记录一键导出，消息搜索跳转，会话管理，prompt管理和时间线导航","browser-extension;chatgpt;chatgpt-extension;chrome-extension;conversation;export;firefox-addon;javascript;long-conversation;microsoft-edge;openai;performance;prompt-management;search;timeline;toolkit;web-extension","topic:search language:JavaScript stars:>=50"
"danilop/LambdAuth","https://github.com/danilop/LambdAuth","danilop","JavaScript","1371","False","False","5/17/2015 1:46:51 PM","4/13/2026 6:14:41 PM","A sample authentication service implemented with a server-less architecture, using AWS Lambda to host and execute the code and Amazon DynamoDB as persistent storage. This provides a cost-efficient solution that is scalable and highly available and can be used with Amazon Cognito for Developer Authenticated Identities.","aws;aws-dynamodb;aws-lambda;serverless","persistent language:JavaScript stars:>=50"
"memvid/memvid","https://github.com/memvid/memvid","memvid","Rust","15339","False","False","5/27/2025 4:01:08 PM","5/3/2026 3:27:07 PM","Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.","ai;context;embedded;faiss;knowledge-base;knowledge-graph;llm;machine-learning;memory;memvid;mv2;nlp;offline-first;opencv;python;rag;retrieval-augmented-generation;semantic-search;vector-database;video-processing","topic:nlp stars:>=100"
"easy-mock/easy-mock","https://github.com/easy-mock/easy-mock","easy-mock","JavaScript","8992","False","False","8/27/2017 1:59:29 PM","5/3/2026 4:45:20 AM","A persistent service that generates mock data quickly and provids visualization view.","data-generator;easy-mock;javascript;mock;swagger;vue","persistent language:JavaScript stars:>=50"
"yoshiko-pg/o3-search-mcp","https://github.com/yoshiko-pg/o3-search-mcp","yoshiko-pg","JavaScript","286","False","False","6/27/2025 12:29:51 PM","2/8/2026 12:54:05 PM","MCP server for OpenAI o3 web search","ai;claude;llm;o3;search","topic:search language:JavaScript stars:>=50"
"NekR/offline-plugin-pwa","https://github.com/NekR/offline-plugin-pwa","NekR","JavaScript","85","False","False","2/16/2017 11:46:10 AM","1/27/2026 5:32:41 AM","PWA for offline-plugin made with offline-plugin","application;offline;offline-first;progressive-web-app;service-worker;service-workers","topic:offline-first language:JavaScript stars:>=50"
