"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","neuml/txtai.js","https://github.com/neuml/txtai.js","neuml","JavaScript","157","nlp","1","1041.42","True","0.3333","0","1","0.5224","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","JavaScript client for txtai"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","2","973.77","True","0.2","0","1","0.5358","1","1","0.6667","topic:nlp language:JavaScript stars:>=50 | topic:nlp stars:>=100","modest natural-language processing"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","YeYzheng","JavaScript","1270","nlp","3","949.23","True","0.1429","0","1","0.9752","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","基于医药知识图谱的智能问答系统"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","kengz/aiva","https://github.com/kengz/aiva","kengz","JavaScript","845","nlp","4","917.69","True","0.125","0","1","0.8868","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers."
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","thunlp/WantWords","https://github.com/thunlp/WantWords","thunlp","JavaScript","7112","nlp","5","913.9","True","0.1667","0","1","0.6509","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","An open-source online reverse dictionary."
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","thisandagain/sentiment","https://github.com/thisandagain/sentiment","thisandagain","JavaScript","2676","nlp","6","913.54","True","0.125","0","1","0.8631","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AFINN-based sentiment analysis for Node.js."
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","paschmann/rasa-ui","https://github.com/paschmann/rasa-ui","paschmann","JavaScript","965","nlp","7","892.04","False","0.0909","0","1","0.9156","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Rasa UI is a frontend for the Rasa Framework"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","LingDong-/cope","https://github.com/LingDong-/cope","LingDong-","JavaScript","475","nlp","8","873.33","False","0.1","0","1","0.7619","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A modern IDE for writing classical Chinese poetry 格律诗编辑程序"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","polyrabbit/WeCron","https://github.com/polyrabbit/WeCron","polyrabbit","JavaScript","690","nlp","9","872.5","False","0.0833","0","1","0.8428","1","1","0.3333","topic:nlp language:JavaScript stars:>=50",":heavy_check_mark: 微信上的定时提醒 - Cron on WeChat"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","AIGODLIKE/AIGODLIKE-ComfyUI-Translation","https://github.com/AIGODLIKE/AIGODLIKE-ComfyUI-Translation","AIGODLIKE","JavaScript","2441","nlp","10","866.44","False","0","0.0952","1","0.883","1","1","0.3333","search language:JavaScript stars:>=50","A plugin for multilingual translation of ComfyUI，This plugin implements translation of resident menu bar/search bar/right-click context menu/node, etc"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","ines/spacy-js","https://github.com/ines/spacy-js","ines","JavaScript","201","nlp","11","863.26","False","0.125","0","1","0.5758","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","🎀 JavaScript API for spaCy with Python REST API"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","Mihaiii/semantic-autocomplete","https://github.com/Mihaiii/semantic-autocomplete","Mihaiii","JavaScript","229","nlp","12","860.72","False","0.0909","0.0357","1","0.604","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A blazing-fast semantic search React component. Match by meaning, not just by letters. Search as you type without waiting (no debounce needed). Rank by cosine similarity."
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","stanford-oval/genie-server","https://github.com/stanford-oval/genie-server","stanford-oval","JavaScript","271","nlp","13","837.07","False","0.1667","0","1","0.6404","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","The home server version of Almond"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","bvaughn/redux-search","https://github.com/bvaughn/redux-search","bvaughn","JavaScript","1396","editor","14","831.98","False","0.1429","0.0833","1","0.9957","1","0","0.6667","topic:search language:JavaScript stars:>=50 | search language:JavaScript stars:>=50","Redux bindings for client-side search"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","robotroutine/scriptum","https://github.com/robotroutine/scriptum","robotroutine","JavaScript","381","nlp","15","831.22","False","0.0625","0","1","0.7141","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","No-Frills Functional Programming Lib Augmenting Javascript/Node.js"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","ishantchauhan710/WriterAI","https://github.com/ishantchauhan710/WriterAI","ishantchauhan710","JavaScript","154","nlp","16","830.7","False","0.1","0","1","0.5183","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","WriterAI is an AI based content writing tool that helps users easily write high quality emails, blogs, letters, thesis and other stuff. One can also share their project with others and work as a team."
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","OpenNewsLabs/guri-vr","https://github.com/OpenNewsLabs/guri-vr","OpenNewsLabs","JavaScript","195","nlp","17","824.61","False","0.1667","0","1","0.5692","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","https://gurivr.com"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","primaryobjects/lda","https://github.com/primaryobjects/lda","primaryobjects","JavaScript","294","nlp","18","821.4","False","0.0625","0","1","0.658","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","LDA topic modeling for node.js"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","Algolisted-Org/AlgoListed","https://github.com/Algolisted-Org/AlgoListed","Algolisted-Org","JavaScript","169","nlp","19","813.44","False","0.0769","0","1","0.5383","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Algolisted is an AI-powered platform dedicated to assisting computer science students in preparing for placements and internships. Our services include tracking and analytics across various platforms and topics."
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","johanmodin/clifs","https://github.com/johanmodin/clifs","johanmodin","JavaScript","486","computer-vision","20","809.2","False","0.2222","0","1","0.7669","1","0","0.6667","topic:nlp language:JavaScript stars:>=50 | topic:search language:JavaScript stars:>=50","Contrastive Language-Image Forensic Search allows free text searching through videos using OpenAI's machine learning model CLIP "
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","bvaughn/js-search","https://github.com/bvaughn/js-search","bvaughn","JavaScript","2225","editor","21","783.05","False","0.1667","0","1","0.9031","1","0","0.6667","topic:search language:JavaScript stars:>=50 | search language:JavaScript stars:>=50","JS Search is an efficient, client-side search library for JavaScript and JSON objects"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","dessant/search-by-image","https://github.com/dessant/search-by-image","dessant","JavaScript","3303","computer-vision","22","774.29","False","0.0833","0.125","1","0.8174","1","0","0.6667","topic:search language:JavaScript stars:>=50 | search language:JavaScript stars:>=50","Browser extension for reverse image search, available for Chrome, Edge and Safari"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","yjs/y-indexeddb","https://github.com/yjs/y-indexeddb","yjs","JavaScript","270","","23","761.93","False","0.25","0","1","0.6396","1","0","0.3333","topic:offline-first language:JavaScript stars:>=50","IndexedDB database adapter for Yjs"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","cmfcmf/docusaurus-search-local","https://github.com/cmfcmf/docusaurus-search-local","cmfcmf","JavaScript","497","","24","756.48","False","0.1667","0.0714","1","0.7717","1","0","0.3333","topic:search language:JavaScript stars:>=50","Offline / Local Search for Docusaurus v3. Try it live at:"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","wzpan/hexo-generator-search","https://github.com/wzpan/hexo-generator-search","wzpan","JavaScript","493","","25","756.17","False","0.1667","0.0714","1","0.77","1","0","0.3333","topic:search language:JavaScript stars:>=50","A plugin to generate search data for Hexo."
