"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"grab/cursor-talk-to-figma-mcp","https://github.com/grab/cursor-talk-to-figma-mcp","grab","JavaScript","6722","False","False","3/16/2025 4:45:37 PM","5/3/2026 6:53:08 AM","TalkToFigma: MCP integration between AI Agent (Cursor, Claude Code) and Figma, allowing Agentic AI to communicate with Figma for reading designs and modifying them programmatically.","agent;agentic;agentic-ai;ai;ai-agents;automation;cursor;design;figma;generative-ai;llm;llms;mcp;model-context-protocol","topic:ai language:JavaScript stars:>=50"
"jesse-ai/jesse","https://github.com/jesse-ai/jesse","jesse-ai","JavaScript","7838","False","False","11/9/2018 10:38:44 AM","5/3/2026 7:35:37 AM","An advanced crypto trading bot written in Python","algo-trading;algorithmic-trading;bitcoin;bot;crypto;crypto-bot;crypto-bot-trading;cryptocurrency;framework;jesse;python;quantitative-finance;quantitative-trading;trade;trading;trading-algorithms;trading-bot;trading-strategies","topic:bot language:JavaScript stars:>=50"
"tameemsafi/typewriterjs","https://github.com/tameemsafi/typewriterjs","tameemsafi","JavaScript","2676","False","False","2/15/2017 6:37:40 PM","4/29/2026 10:26:03 PM","A simple yet powerful native javascript plugin for a cool typewriter effect.","javascript;native-javascript-plugin;typewriter;typewriterjs","powerful language:JavaScript stars:>=50"
"playcanvas/engine","https://github.com/playcanvas/engine","playcanvas","JavaScript","14846","False","False","5/12/2014 11:24:30 AM","5/3/2026 8:22:08 AM","Powerful web graphics runtime built on WebGL, WebGPU, WebXR and glTF","3d-gaussian-splatting;game-development;game-engine;gamedev;gaussian-splatting;gltf;hacktoberfest;javascript;nodejs;playcanvas;typescript;virtual-reality;webgl;webgl2;webgpu;webxr","powerful language:JavaScript stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42339","False","False","8/17/2023 2:17:10 AM","5/3/2026 7:32:55 AM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34683","False","False","10/2/2024 11:57:54 AM","5/3/2026 8:45:54 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"vanjs-org/van","https://github.com/vanjs-org/van","vanjs-org","JavaScript","4367","False","False","5/8/2023 5:45:31 AM","4/30/2026 5:05:21 AM","🍦 VanJS: World's smallest reactive UI framework. Incredibly Powerful, Insanely Small - Everyone can build a useful UI app in an hour.","data-binding;dom;dom-manipulation;grab-n-go;lightweight;lightweight-framework;lightweight-javascript-library;minimalist;no-dependencies;no-setup;reactive;reactive-ui;ui-framework;ultra-light;ultra-thin;vanilla-dom-manipulation;vanilla-javascript;vanilla-js;vannilajs","powerful language:JavaScript stars:>=50"
"lihongxun945/gobang","https://github.com/lihongxun945/gobang","lihongxun945","JavaScript","1799","False","False","1/28/2016 1:15:14 PM","5/2/2026 7:10:54 AM","javascript gobang AI，JS五子棋AI，源码+教程，基于Alpha-Beta剪枝算法（不是神经网络）","ai;gobang;gomoku;javascript","topic:ai language:JavaScript stars:>=50"
"CreateJS/TweenJS","https://github.com/CreateJS/TweenJS","CreateJS","JavaScript","3553","False","False","3/19/2011 9:00:37 PM","4/30/2026 6:06:42 AM","A simple but powerful tweening / animation library for Javascript. Part of the CreateJS suite of libraries.","","powerful language:JavaScript stars:>=50"
"LakshmanTurlapati/Review-Gate","https://github.com/LakshmanTurlapati/Review-Gate","LakshmanTurlapati","JavaScript","1536","False","False","5/7/2025 11:23:17 AM","5/1/2026 8:59:44 AM","Review-Gate V2 is a powerful rule for the Cursor IDE that helps you get up to 5x more value from your monthly requests. It creates an interactive loop where the AI waits for your follow-up commands—via text, voice, or image upload—allowing you to perform deep, iterative work all within a single request.","ai;claude;cursor;ide","topic:ai language:JavaScript stars:>=50"
"architect/architect","https://github.com/architect/architect","architect","JavaScript","2616","False","False","7/20/2017 12:36:24 AM","4/30/2026 3:19:10 PM","The simplest, most powerful way to build a functional web app (fwa)","arc;aws;aws-apigateway;aws-dynamodb;aws-lambda;fwa;infrastructure-as-code;serverless","powerful language:JavaScript stars:>=50"
"SharpAI/DeepCamera","https://github.com/SharpAI/DeepCamera","SharpAI","JavaScript","2718","False","False","3/5/2019 2:29:23 PM","5/3/2026 6:36:31 AM","Open-Source AI Camera Skills Platform, AI NVR & CCTV Surveillance. Local VLM video analysis with Qwen, DeepSeek, SmolVLM, LLaVA, YOLO26. LLM-powered agentic security camera agent — watches, understands, remembers & guards your home via Telegram, Discord or Slack. Pluggable AI skills. OpenAI, Google, Anthropic or local AI. Runs on Mac Mini & AI PC.","ai;ai-camera;ai-nvr;camera;cctv;computer-vision;deep-learning;face-recognition;home-assistant;home-security;llama-cpp;llm;local-ai;machine-learning;object-detection;python;raspberry-pi;security-camera;video-surveillance;vlm","topic:ai language:JavaScript stars:>=50"
"symfony/webpack-encore","https://github.com/symfony/webpack-encore","symfony","JavaScript","2232","False","False","6/12/2017 5:02:00 PM","4/28/2026 3:54:43 AM","A simple but powerful API for processing & compiling assets built around Webpack","babel;less;postcss;react;sass;symfony;webpack","powerful language:JavaScript stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:53:36 AM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"js-cookie/js-cookie","https://github.com/js-cookie/js-cookie","js-cookie","JavaScript","22612","False","False","3/19/2015 3:57:47 PM","5/2/2026 1:56:52 AM","A simple, lightweight JavaScript API for handling cookies, client-side.","cookie;javascript","c language:JavaScript stars:>=50"
"ssusnic/Machine-Learning-Flappy-Bird","https://github.com/ssusnic/Machine-Learning-Flappy-Bird","ssusnic","JavaScript","1840","False","False","8/10/2017 3:14:19 PM","3/31/2026 3:25:30 AM","Machine Learning for Flappy Bird using Neural Network and Genetic Algorithm","ai;ai-tutorial;artificial-evolution;artificial-intelligence;flappy-bird;flappybird;game-programming;genetic-algorithm;genetic-algorithms;html5;javascript;machine-intelligence;machine-learning;machine-learning-algorithm;machinelearning;neural-network;neural-networks;neuroevolution;phaser;phaser-tutorial","topic:ai language:JavaScript stars:>=50 | topic:artificial-intelligence language:JavaScript stars:>=50"
"textAngular/textAngular","https://github.com/textAngular/textAngular","textAngular","JavaScript","3955","False","False","10/9/2013 12:26:02 AM","4/22/2026 2:49:55 PM","A radically powerful Text-Editor/Wysiwyg editor for Angular.js! Create multiple editor instances, two-way-bind HTML content, watch editors for changes and more!","","powerful language:JavaScript stars:>=50"
"SillyTavern/SillyTavern","https://github.com/SillyTavern/SillyTavern","SillyTavern","JavaScript","26830","False","False","2/9/2023 10:19:24 AM","5/3/2026 8:56:31 AM","LLM Frontend for Power Users.","ai;chat;llm","topic:ai language:JavaScript stars:>=50"
