"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","adamlui/chatgpt-widescreen","https://github.com/adamlui/chatgpt-widescreen","adamlui","JavaScript","199","llm","1","1117.68","True","0.4231","0","1","0.4967","1","1","0.3333","topic:artificial-intelligence language:JavaScript stars:>=50","🖥️ Award-winning extension to enhance ChatGPT with wide/full/tall-screen + spamblock modes. Also works on poe.com!"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","adamlui/chatgpt-auto-refresh","https://github.com/adamlui/chatgpt-auto-refresh","adamlui","JavaScript","208","llm","2","1105.25","True","0.4074","0","1","0.5062","1","1","0.3333","topic:artificial-intelligence language:JavaScript stars:>=50","↻ Keeps ChatGPT sessions fresh, eliminating chat time limits + network errors + Cloudflare checks"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","pashpashpash/vault-ai","https://github.com/pashpashpash/vault-ai","pashpashpash","JavaScript","3397","llm","3","996.07","True","0.1562","0","1","0.8882","1","1","0.6667","topic:ai language:JavaScript stars:>=50 | topic:artificial-intelligence language:JavaScript stars:>=50","OP Vault ChatGPT: Give ChatGPT long-term memory using the OP Stack (OpenAI + Pinecone Vector Database). Upload your own custom knowledge base files (PDF, txt, epub, etc) using a simple React frontend."
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","di-sukharev/opencommit","https://github.com/di-sukharev/opencommit","di-sukharev","JavaScript","7282","llm","4","982.99","True","0.1739","0","1","0.7227","1","1","0.6667","topic:ai language:JavaScript stars:>=50 | topic:artificial-intelligence language:JavaScript stars:>=50","top #1 and most feature rich GPT wrapper for git — generate commit messages with an LLM in 1 sec — works with Claude, GPT and every other provider, supports local Ollama models too"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","papersgpt/papersgpt-for-zotero","https://github.com/papersgpt/papersgpt-for-zotero","papersgpt","JavaScript","2324","llm","5","972.72","True","0.1143","0","1","0.9706","1","1","0.6667","topic:ai language:JavaScript stars:>=50 | powerful language:JavaScript stars:>=50","A powerful Zotero AI and MCP plugin with ChatGPT, Gemini 3.1, Claude, DeepSeek V4, Grok, OpenRouter, Kimi 2.5, GLM 5, SiliconFlow, GPT-oss, Gemma 4, Qwen 3.5"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","liyupi/ai-guide","https://github.com/liyupi/ai-guide","liyupi","JavaScript","12961","llm","6","936.92","True","0.1471","0","1","0.5975","1","1","0.6667","topic:ai language:JavaScript stars:>=50 | topic:artificial-intelligence language:JavaScript stars:>=50","程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cursor / Claude Code / TRAE / Codex / Copilot）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档，已升级为鱼皮 AI 导航网站"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","dmitrizzle/chat-bubble","https://github.com/dmitrizzle/chat-bubble","dmitrizzle","JavaScript","600","llm","7","935.25","True","0.1739","0","1","0.7356","1","1","0.3333","topic:bot language:JavaScript stars:>=50","Simple chatbot UI for the Web with JSON scripting 👋🤖🤙"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","xcanwin/KeepChatGPT","https://github.com/xcanwin/KeepChatGPT","xcanwin","JavaScript","14900","llm","8","927.84","True","0.1429","0","1","0.5672","1","1","0.6667","topic:ai language:JavaScript stars:>=50 | c language:JavaScript stars:>=50","这是一款提高ChatGPT的数据安全能力和效率的插件。并且免费共享大量创新功能，如：自动刷新、保持活跃、数据安全、取消审计、克隆对话、言无不尽、净化页面、展示大屏、拦截跟踪、日新月异、明察秋毫等。让我们的AI体验无比安全、顺畅、丝滑、高效、简洁。"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","xxxily/hello-ai","https://github.com/xxxily/hello-ai","xxxily","JavaScript","1338","llm","9","913.01","True","0.1154","0","1","0.9095","1","1","0.3333","topic:ai language:JavaScript stars:>=50","It's not AI that takes away your job, but the people who master the use of AI tools. The most deadly attack is a dimension-reducing strike: destroying you has nothing to do with you - from ""The Three-Body Problem"".         中文说明： 抢走你工作的不是AI，而是掌握使用AI工具的人。 降维打击最为致命：毁灭你，与你何干《三体》"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","adrianhajdin/project_openai_codex","https://github.com/adrianhajdin/project_openai_codex","adrianhajdin","JavaScript","1395","llm","10","905.49","True","0.1053","0","1","0.9186","1","1","0.3333","topic:ai language:JavaScript stars:>=50","Build and Deploy Your Own ChatGPT AI Application That Will Help You Code"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","danielcardeenas/sulla","https://github.com/danielcardeenas/sulla","danielcardeenas","JavaScript","1304","llm","11","886.45","False","0.087","0","1","0.904","1","1","0.3333","topic:bot language:JavaScript stars:>=50","👩🏻‍🔬 Javascript Whatsapp api library for chatbots"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","aichaos/rivescript-js","https://github.com/aichaos/rivescript-js","aichaos","JavaScript","384","llm","12","884.53","False","0.1364","0","1","0.6389","1","1","0.3333","topic:artificial-intelligence language:JavaScript stars:>=50"," A RiveScript interpreter for JavaScript. RiveScript is a scripting language for chatterbots."
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","ikechan8370/chatgpt-plugin","https://github.com/ikechan8370/chatgpt-plugin","ikechan8370","JavaScript","1077","llm","13","882.75","False","0.0909","0","1","0.8625","1","1","0.3333","topic:bot language:JavaScript stars:>=50","云崽系机器人的智能聊天插件"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","hexdocom/lemonai","https://github.com/hexdocom/lemonai","hexdocom","JavaScript","1511","llm","14","878.07","False","0.0714","0","1","0.9359","1","1","0.3333","topic:ai language:JavaScript stars:>=50","Lemon AI is the first Full-stack Open-source Self-Evolving General AI Agent, offering a fully local alternative to Agentic platforms like Manus & Genspark AI.🔔 Official updates   X(twitter) @LemonAI_cc"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","lxe/llavavision","https://github.com/lxe/llavavision","lxe","JavaScript","495","llm","15","875.28","False","0.1154","0","1","0.6939","1","1","0.3333","topic:artificial-intelligence language:JavaScript stars:>=50","A simple ""Be My Eyes"" web app with a llama.cpp/llava backend"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","vava-nessa/free-coding-models","https://github.com/vava-nessa/free-coding-models","vava-nessa","JavaScript","1655","llm","16","873.49","False","0.0625","0","1","0.9557","1","1","0.3333","topic:ai language:JavaScript stars:>=50","Find, benchmark and install in CLI 200+ FREE coding LLM models across 20+ providers in real time"
"KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","OpenBMB/AgentVerse","https://github.com/OpenBMB/AgentVerse","OpenBMB","JavaScript","5028","llm","17","872.36","False","0.0909","0","1","0.8031","1","1","0.3333","topic:ai language:JavaScript stars:>=50","🤖 AgentVerse 🪐 is designed to facilitate the deployment of multiple LLM-based agents in various applications, which primarily provides two frameworks: task-solving and simulation"
