"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","thisandagain/sentiment","https://github.com/thisandagain/sentiment","thisandagain","JavaScript","2676","10/8/2012 3:45:22 AM","4/26/2026 2:49:19 PM","afinn;analysis;javascript;nlp;sentiment;sentiment-analysis","nlp","1940.6","1","1","1","0.6855","1","1","0.9167","1","0","False","topic:nlp language:javascript stars:>=1000","AFINN-based sentiment analysis for Node.js."
"2","axa-group/nlp.js","https://github.com/axa-group/nlp.js","axa-group","JavaScript","6563","7/30/2018 5:46:04 PM","5/3/2026 4:54:24 PM","bot;bots;chatbot;classifier;conversational-ai;entity-extraction;hacktoberfest;javascript;natural-language-processing;nlp;nlu;nodejs;sentiment-analysis","llm","1939.94","1","1","1","0.7634","1","0.8","1","1","0","False","topic:nlp language:javascript stars:>=1000","An NLP library for building bots, with entity extraction, sentiment analysis, automatic language identify, and so more"
"3","axa-group/Parsr","https://github.com/axa-group/Parsr","axa-group","JavaScript","6174","8/5/2019 12:43:53 PM","5/1/2026 3:40:34 PM","data;document;extraction;hacktoberfest;images;nlp;ocr;parsr;pdf;python;typescript","computer-vision","1938.49","1","1","1","0.7581","1","0.8","1","1","0","False","topic:nlp language:javascript stars:>=1000","Transforms PDF, Documents and Images into Enriched Structured Data"
"4","winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","winkjs","JavaScript","1371","12/15/2018 2:02:08 AM","4/28/2026 6:12:01 PM","bm25;chatbot;custom-entity-detection;hacktoberfest;named-entity-extraction;natural-language-processing;negation-handling;ner;nlp;pattern-matching;pos-tagging;sbd;sentence-boundary-detection;sentiment-analysis;tokenize;vectorizer;visualization;wink;wink-nlp;word-vectors","llm","1902.55","1","1","1","0.6275","1","0.8","1","1","0","False","topic:nlp language:javascript stars:>=1000","Developer friendly Natural Language Processing ✨"
"5","KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","KudoAI","JavaScript","2030","3/15/2023 7:53:55 AM","5/1/2026 3:08:33 PM","ai;artificial-intelligence;bot;chat;chatbot;chatgpt;clientside;conversational-ai;conversational-bots;frontend;gpt;gpt-5;javascript;kudoai;library;machine-learning;ml;nlp;openai","llm","1866.92","1","1","1","0.6615","1","0.6","1","1","0","False","topic:nlp language:javascript stars:>=1000","🤖 A powerful, open source JavaScript library for ChatGPT"
"6","wooorm/franc","https://github.com/wooorm/franc","wooorm","JavaScript","4392","7/19/2014 2:50:53 PM","5/3/2026 5:25:26 PM","classification;classify;detect;detection;javascript;language;language-detection;natural;natural-language;nlp","computer-vision","1845.35","1","0.6","1","0.7286","1","1","1","1","0","False","topic:nlp language:javascript stars:>=1000","Natural language detection"
"7","fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","fergiemcdowall","JavaScript","1424","7/4/2013 7:56:35 AM","4/30/2026 6:54:45 AM","nlp;offline-first;search","nlp","1723.46","0.5","1","1","0.6308","1","1","1","1","0","False","topic:nlp language:javascript stars:>=1000","A persistent, network resilient, full text search library for the browser and Node.js"
"8","thunlp/WantWords","https://github.com/thunlp/WantWords","thunlp","JavaScript","7112","10/5/2020 1:39:54 PM","5/2/2026 12:42:42 AM","natural-language-processing;nlp;reverse-dictionary;word","nlp","1723.11","0.6667","1","1","0.7704","1","0.8","0.75","1","0","False","topic:nlp language:javascript stars:>=1000","An open-source online reverse dictionary."
"9","aisingapore/TagUI","https://github.com/aisingapore/TagUI","aisingapore","JavaScript","6282","12/6/2016 4:30:34 AM","5/1/2026 4:34:52 AM","ai;nlp;opencv;rpa;tesseract","computer-vision","1665.15","0.8333","0.6","1","0.7596","1","0.8","0.75","1","0","False","topic:nlp language:javascript stars:>=1000","Free RPA tool by AI Singapore"
"10","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","7/5/2011 9:04:38 AM","5/2/2026 7:28:55 PM","named-entity-recognition;nlp;part-of-speech","nlp","1659.94","0.5","1","1","0.8164","1","1","0.5833","1","0","False","topic:nlp language:javascript stars:>=1000","modest natural-language processing"
"11","YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","YeYzheng","JavaScript","1270","3/22/2018 12:57:39 AM","5/1/2026 1:01:22 PM","kgqa;nlp;python3;qa;rdf","nlp","1581.14","0.8333","0.6","1","0.6208","1","0.8","0.5833","1","0","False","topic:nlp language:javascript stars:>=1000","基于医药知识图谱的智能问答系统"
