"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"spencermountain/compromise","https://github.com/spencermountain/compromise","thunlp/WantWords","https://github.com/thunlp/WantWords","thunlp","JavaScript","7112","nlp","1","954.86","True","0.1667","0","1","0.8849","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","An open-source online reverse dictionary."
"spencermountain/compromise","https://github.com/spencermountain/compromise","fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","fergiemcdowall","JavaScript","1424","nlp","2","923.77","True","0.2","0","1","0.5358","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A persistent, network resilient, full text search library for the browser and Node.js"
"spencermountain/compromise","https://github.com/spencermountain/compromise","winkjs/wink-pos-tagger","https://github.com/winkjs/wink-pos-tagger","winkjs","JavaScript","70","nlp","3","900","True","0.3333","0","1","0","0.6","1","0.3333","topic:part-of-speech language:JavaScript stars:>=50","English Part-of-speech (POS) tagger"
"spencermountain/compromise","https://github.com/spencermountain/compromise","thisandagain/sentiment","https://github.com/thisandagain/sentiment","thisandagain","JavaScript","2676","nlp","4","880.23","False","0.125","0","1","0.6727","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AFINN-based sentiment analysis for Node.js."
"spencermountain/compromise","https://github.com/spencermountain/compromise","YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","YeYzheng","JavaScript","1270","nlp","5","867.99","False","0.1429","0","1","0.511","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","基于医药知识图谱的智能问答系统"
"spencermountain/compromise","https://github.com/spencermountain/compromise","kengz/aiva","https://github.com/kengz/aiva","kengz","JavaScript","845","nlp","6","836.45","False","0.125","0","1","0.4226","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers."
"spencermountain/compromise","https://github.com/spencermountain/compromise","paschmann/rasa-ui","https://github.com/paschmann/rasa-ui","paschmann","JavaScript","965","nlp","7","810.81","False","0.0909","0","1","0.4514","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Rasa UI is a frontend for the Rasa Framework"
"spencermountain/compromise","https://github.com/spencermountain/compromise","maboloshi/github-chinese","https://github.com/maboloshi/github-chinese","maboloshi","JavaScript","24525","nlp","8","798.1","False","0","0","1","0.8463","1","1","0.3333","c language:JavaScript stars:>=50","GitHub 汉化插件，GitHub 中文化界面。 (GitHub Translation To Chinese)"
"spencermountain/compromise","https://github.com/spencermountain/compromise","LingDong-/cope","https://github.com/LingDong-/cope","LingDong-","JavaScript","475","nlp","9","792.1","False","0.1","0","1","0.2977","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A modern IDE for writing classical Chinese poetry 格律诗编辑程序"
"spencermountain/compromise","https://github.com/spencermountain/compromise","polyrabbit/WeCron","https://github.com/polyrabbit/WeCron","polyrabbit","JavaScript","690","nlp","10","791.26","False","0.0833","0","1","0.3786","1","1","0.3333","topic:nlp language:JavaScript stars:>=50",":heavy_check_mark: 微信上的定时提醒 - Cron on WeChat"
