"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","1","880.23","False","0.125","0","1","0.6727","1","1","0.3333","topic:nlp stars:>=100","modest natural-language processing"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","patrickhulce/third-party-web","https://github.com/patrickhulce/third-party-web","patrickhulce","JavaScript","1096","data-science","2","766.1","False","0.2222","0","1","0.8063","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","Data on third party entities and their impact on the web."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","htmlhint/HTMLHint","https://github.com/htmlhint/HTMLHint","htmlhint","JavaScript","3283","data-science","3","755.87","False","0.1818","0","1","0.9556","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","⚙️ The static code analysis tool you need for your HTML"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","ryanhanwu/How-To-Ask-Questions-The-Smart-Way","https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way","ryanhanwu","JavaScript","35027","nlp","4","727.28","False","0","0","1","0.4416","1","1","0.3333","s language:JavaScript stars:>=50","本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","cytoscape/cytoscape.js","https://github.com/cytoscape/cytoscape.js","cytoscape","JavaScript","10960","data-science","5","710.07","False","0.1818","0","1","0.6939","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","Graph theory (network) library for visualisation and analysis"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","Merricx/qrazybox","https://github.com/Merricx/qrazybox","Merricx","JavaScript","517","data-science","6","701.22","False","0.1818","0","1","0.6433","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","QR Code Analysis and Recovery Toolkit"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","qeeqbox/social-analyzer","https://github.com/qeeqbox/social-analyzer","qeeqbox","JavaScript","22737","data-science","7","646.96","False","0.087","0","1","0.5354","1","0","0.6667","topic:analysis language:JavaScript stars:>=50 | s language:JavaScript stars:>=50","API, CLI, and Web App for analyzing and finding a person's profile in 1000 social media \ websites"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","pod4g/hiper","https://github.com/pod4g/hiper","pod4g","JavaScript","2747","data-science","8","641.86","False","0.0476","0","1","0.9943","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","🚀 A statistical analysis tool for performance testing "
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","MultiQC/MultiQC","https://github.com/MultiQC/MultiQC","MultiQC","JavaScript","1447","data-science","9","632.9","False","0.0625","0","1","0.8666","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","Aggregate results from bioinformatics analyses across many samples into a single report."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","zenorocha/clipboard.js","https://github.com/zenorocha/clipboard.js","zenorocha","JavaScript","34160","","10","631.81","False","0.1429","0","1","0.4471","1","0","0.3333","topic:javascript language:JavaScript stars:>=50",":scissors: Modern copy to clipboard. No Flash. Just 3kb gzipped :clipboard:"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","dimsemenov/PhotoSwipe","https://github.com/dimsemenov/PhotoSwipe","dimsemenov","JavaScript","25137","computer-vision","11","614.89","False","0.1111","0","1","0.5137","1","0","0.3333","s language:JavaScript stars:>=50","JavaScript image gallery for mobile and desktop, modular, framework independent"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","select2/select2","https://github.com/select2/select2","select2","JavaScript","25946","","12","613.69","False","0.1111","0","1","0.5068","1","0","0.3333","s language:JavaScript stars:>=50","Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","FrenchYeti/dexcalibur","https://github.com/FrenchYeti/dexcalibur","FrenchYeti","JavaScript","1125","llm","13","609.95","False","0.0476","0","1","0.8119","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","[Official] Android reverse engineering tool focused on dynamic instrumentation automation leveraging Frida. It disassembles dex, analyzes it statically, generates hooks, discovers reflected methods, stores intercepted data and does new things from it. Its aim is to be an all-in-one Android reverse engineering platform."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","dair-ai/AI-Papers-of-the-Week","https://github.com/dair-ai/AI-Papers-of-the-Week","dair-ai","","12373","nlp","14","606.82","False","0.1","0","0","0.6676","1","1","0.3333","topic:nlp stars:>=100","🔥Highlighting the top ML papers every week."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","Leaflet/Leaflet","https://github.com/Leaflet/Leaflet","Leaflet","JavaScript","44954","","15","605.3","False","0.125","0","1","0.3874","1","0","0.3333","topic:javascript language:JavaScript stars:>=50","🍃 JavaScript library for mobile-friendly interactive maps 🇺🇦"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","words/polarity","https://github.com/words/polarity","words","JavaScript","54","","16","602.36","False","0.2222","0","1","0.1564","0.6","0","0.3333","topic:afinn language:JavaScript stars:>=50","Detect the polarity (sentiment) of text"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","TheAlgorithms/JavaScript","https://github.com/TheAlgorithms/JavaScript","TheAlgorithms","JavaScript","34143","","17","600.62","False","0.0526","0","1","0.4472","1","0","0.6667","topic:javascript language:JavaScript stars:>=50 | s language:JavaScript stars:>=50","Algorithms and Data Structures implemented in JavaScript for beginners, following best practices."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14602","nlp","18","600.53","False","0.1","0","0","0.6316","1","1","0.3333","topic:nlp stars:>=100","NLTK Source"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","seccubus/seccubus","https://github.com/seccubus/seccubus","seccubus","JavaScript","710","computer-vision","19","599.62","False","0.0556","0","1","0.7121","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","Easy automated vulnerability scanning, reporting and analysis"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","sampotts/plyr","https://github.com/sampotts/plyr","sampotts","JavaScript","29754","editor","20","598.48","False","0.1","0","1","0.477","1","0","0.3333","topic:javascript language:JavaScript stars:>=50","A simple HTML5, YouTube and Vimeo player"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","lovell/sharp","https://github.com/lovell/sharp","lovell","JavaScript","32191","computer-vision","21","596.4","False","0.0455","0","1","0.46","1","0","0.6667","topic:javascript language:JavaScript stars:>=50 | s language:JavaScript stars:>=50","High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","Modernizr/Modernizr","https://github.com/Modernizr/Modernizr","Modernizr","JavaScript","25660","computer-vision","22","595.93","False","0.0909","0","1","0.5092","1","0","0.3333","s language:JavaScript stars:>=50","Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the user’s browser."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","yarnpkg/yarn","https://github.com/yarnpkg/yarn","yarnpkg","JavaScript","41511","","23","595.83","False","0.1111","0","1","0.4047","1","0","0.3333","topic:javascript language:JavaScript stars:>=50","The 1.x line is frozen - features and bugfixes now happen on https://github.com/yarnpkg/berry"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","svg/svgo","https://github.com/svg/svgo","svg","JavaScript","22462","","24","594.17","False","0.0833","0","1","0.5381","1","0","0.3333","s language:JavaScript stars:>=50","⚙️ Node.js tool for optimizing SVG files"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","usebruno/bruno","https://github.com/usebruno/bruno","usebruno","JavaScript","43445","editor","25","591.47","False","0.0526","0","1","0.3948","1","0","0.6667","topic:javascript language:JavaScript stars:>=50 | s language:JavaScript stars:>=50","Opensource IDE For Exploring and Testing API's (lightweight alternative to Postman/Insomnia)"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","elsewhencode/project-guidelines","https://github.com/elsewhencode/project-guidelines","elsewhencode","JavaScript","29482","editor","26","590.65","False","0.0909","0","1","0.479","1","0","0.3333","topic:javascript language:JavaScript stars:>=50","A set of best practices for JavaScript projects"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38045","deep-learning","27","589.14","False","0.1","0","1","0.4237","1","0","0.3333","topic:javascript language:JavaScript stars:>=50","Pure Javascript OCR for more than 100 Languages 📖🎉🖥"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","jlmakes/scrollreveal","https://github.com/jlmakes/scrollreveal","jlmakes","JavaScript","22503","","28","588.33","False","0.0769","0","1","0.5377","1","0","0.3333","s language:JavaScript stars:>=50","Animate elements as they scroll into view."
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","Madrapps/jacoco-report","https://github.com/Madrapps/jacoco-report","Madrapps","JavaScript","197","llm","29","582.86","False","0.0909","0","1","0.4345","1","0","0.3333","topic:analysis language:JavaScript stars:>=50","Github action that publishes the JaCoCo report as a comment in the Pull Request"
"thisandagain/sentiment","https://github.com/thisandagain/sentiment","layui/layui","https://github.com/layui/layui","layui","JavaScript","30523","","30","582.51","False","0.0833","0","1","0.4715","1","0","0.3333","topic:javascript language:JavaScript stars:>=50","一套遵循浏览器原生态开发模式的 Web UI 组件库。"
