"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"openvinotoolkit/openvino","https://github.com/openvinotoolkit/openvino","openvinotoolkit","C++","10169","False","False","10/15/2018 10:54:40 AM","5/3/2026 7:12:08 AM","OpenVINO™ is an open source toolkit for optimizing and deploying AI inference","ai;computer-vision;deep-learning;deploy-ai;diffusion-models;generative-ai;good-first-issue;inference;llm-inference;natural-language-processing;nlp;openvino;optimize-ai;performance-boost;recommendation-system;speech-recognition;stable-diffusion;transformers;yolo","topic:nlp stars:>=100"
"philc/vimium","https://github.com/philc/vimium","philc","JavaScript","26456","False","False","9/20/2009 7:08:19 AM","5/3/2026 5:25:56 AM","The hacker's browser.","","s language:JavaScript stars:>=50"
"memvid/memvid","https://github.com/memvid/memvid","memvid","Rust","15335","False","False","5/27/2025 4:01:08 PM","5/3/2026 8:19:22 AM","Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.","ai;context;embedded;faiss;knowledge-base;knowledge-graph;llm;machine-learning;memory;memvid;mv2;nlp;offline-first;opencv;python;rag;retrieval-augmented-generation;semantic-search;vector-database;video-processing","topic:nlp stars:>=100"
"blackmatrix7/ios_rule_script","https://github.com/blackmatrix7/ios_rule_script","blackmatrix7","JavaScript","25893","False","False","6/30/2020 5:40:53 AM","5/3/2026 7:05:27 AM","分流规则、重写写规则及脚本。","","s language:JavaScript stars:>=50"
"MobSF/Mobile-Security-Framework-MobSF","https://github.com/MobSF/Mobile-Security-Framework-MobSF","MobSF","JavaScript","20918","False","False","1/31/2015 4:36:01 AM","5/3/2026 5:35:40 AM","Mobile Security Framework (MobSF) is an automated, all-in-one mobile application (Android/iOS/Windows) pen-testing, malware analysis and security assessment framework capable of performing static and dynamic analysis.","android-security;api-testing;apk;cwe;devsecops;dynamic-analysis;ios-security;malware-analysis;mastg;masvs;mobile-security;mobsf;mstg;owasp;rest;runtime-security;static-analysis;web-security;windows-mobile-security","s language:JavaScript stars:>=50"
"ryanhanwu/How-To-Ask-Questions-The-Smart-Way","https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way","ryanhanwu","JavaScript","35027","False","False","3/28/2015 4:52:40 PM","5/3/2026 7:18:47 AM","本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。","rtfm;stfw;translation","s language:JavaScript stars:>=50"
"gorhill/uBlock","https://github.com/gorhill/uBlock","gorhill","JavaScript","64315","False","False","4/1/2015 5:51:11 PM","5/3/2026 8:05:36 AM","uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.","blocker;browser-extension;chromium;firefox;javascript;ublock;ublock-origin","topic:javascript language:JavaScript stars:>=50"
"hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36289","False","False","10/9/2014 6:36:16 AM","5/3/2026 7:17:47 AM","中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理","dependency-parser;hanlp;named-entity-recognition;natural-language-processing;nlp;pos-tagging;semantic-parsing;text-classification","topic:nlp stars:>=100"
"SillyTavern/SillyTavern","https://github.com/SillyTavern/SillyTavern","SillyTavern","JavaScript","26829","False","False","2/9/2023 10:19:24 AM","5/3/2026 8:36:36 AM","LLM Frontend for Power Users.","ai;chat;llm","s language:JavaScript stars:>=50"
"microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22114","False","False","7/23/2019 4:15:28 AM","5/3/2026 2:16:58 AM","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","topic:nlp stars:>=100"
