"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"thunlp/WantWords","https://github.com/thunlp/WantWords","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","1","1004.86","True","0.1667","0","1","0.8849","1","1","0.6667","topic:nlp language:JavaScript stars:>=50 | topic:nlp stars:>=100","modest natural-language processing"
"thunlp/WantWords","https://github.com/thunlp/WantWords","ines/spacy-js","https://github.com/ines/spacy-js","ines","JavaScript","201","nlp","2","964.66","True","0.25","0","1","0.2266","1","1","0.6667","topic:natural-language-processing language:JavaScript stars:>=50 | topic:nlp language:JavaScript stars:>=50","🎀 JavaScript API for spaCy with Python REST API"
"thunlp/WantWords","https://github.com/thunlp/WantWords","fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","fergiemcdowall","JavaScript","1424","nlp","3","913.9","True","0.1667","0","1","0.6509","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A persistent, network resilient, full text search library for the browser and Node.js"
"thunlp/WantWords","https://github.com/thunlp/WantWords","OHNLP/MedTator","https://github.com/OHNLP/MedTator","OHNLP","JavaScript","60","nlp","4","907.14","True","0.2857","0","1","0","1","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","A Serverless Text Annotation Tool for Corpus Development"
"thunlp/WantWords","https://github.com/thunlp/WantWords","thisandagain/sentiment","https://github.com/thisandagain/sentiment","thisandagain","JavaScript","2676","nlp","5","887.86","False","0.1111","0","1","0.7878","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AFINN-based sentiment analysis for Node.js."
"thunlp/WantWords","https://github.com/thunlp/WantWords","robotroutine/scriptum","https://github.com/robotroutine/scriptum","robotroutine","JavaScript","381","nlp","6","876.38","False","0.125","0","1","0.365","1","1","0.6667","topic:natural-language-processing language:JavaScript stars:>=50 | topic:nlp language:JavaScript stars:>=50","No-Frills Functional Programming Lib Augmenting Javascript/Node.js"
"thunlp/WantWords","https://github.com/thunlp/WantWords","YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","YeYzheng","JavaScript","1270","nlp","7","872.06","False","0.125","0","1","0.626","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","基于医药知识图谱的智能问答系统"
"thunlp/WantWords","https://github.com/thunlp/WantWords","primaryobjects/lda","https://github.com/primaryobjects/lda","primaryobjects","JavaScript","294","nlp","8","866.55","False","0.125","0","1","0.3089","1","1","0.6667","topic:natural-language-processing language:JavaScript stars:>=50 | topic:nlp language:JavaScript stars:>=50","LDA topic modeling for node.js"
"thunlp/WantWords","https://github.com/thunlp/WantWords","gerardobort/node-corenlp","https://github.com/gerardobort/node-corenlp","gerardobort","JavaScript","67","nlp","9","857.14","False","0.2857","0","1","0","0.6","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","CoreNLP @ NodeJS"
"thunlp/WantWords","https://github.com/thunlp/WantWords","kengz/aiva","https://github.com/kengz/aiva","kengz","JavaScript","845","nlp","10","844.09","False","0.1111","0","1","0.5377","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers."
"thunlp/WantWords","https://github.com/thunlp/WantWords","Yomguithereal/talisman","https://github.com/Yomguithereal/talisman","Yomguithereal","JavaScript","727","nlp","11","828.38","False","0.1","0","1","0.505","1","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","Straightforward fuzzy matching, information retrieval and NLP building blocks for JavaScript."
"thunlp/WantWords","https://github.com/thunlp/WantWords","paschmann/rasa-ui","https://github.com/paschmann/rasa-ui","paschmann","JavaScript","965","nlp","12","824.13","False","0.0833","0","1","0.5665","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Rasa UI is a frontend for the Rasa Framework"
"thunlp/WantWords","https://github.com/thunlp/WantWords","shaoxiongji/knowledge-graphs","https://github.com/shaoxiongji/knowledge-graphs","shaoxiongji","JavaScript","1787","nlp","13","817.53","False","0.05","0","1","0.7002","1","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","A collection of research on knowledge graphs"
"thunlp/WantWords","https://github.com/thunlp/WantWords","winkjs/wink-bm25-text-search","https://github.com/winkjs/wink-bm25-text-search","winkjs","JavaScript","72","nlp","14","814.62","False","0.1818","0","1","0.0056","1","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","Fast Full Text Search based on BM25"
"thunlp/WantWords","https://github.com/thunlp/WantWords","fishjar/kiss-translator","https://github.com/fishjar/kiss-translator","fishjar","JavaScript","9847","nlp","15","812.64","False","0","0","1","0.9294","1","1","0.3333","open-source language:JavaScript stars:>=50","A simple, open source bilingual translation extension & Greasemonkey script (一个简约、开源的 双语对照翻译扩展 & 油猴脚本)"
"thunlp/WantWords","https://github.com/thunlp/WantWords","polyrabbit/WeCron","https://github.com/polyrabbit/WeCron","polyrabbit","JavaScript","690","nlp","16","805.63","False","0.0769","0","1","0.4937","1","1","0.3333","topic:nlp language:JavaScript stars:>=50",":heavy_check_mark: 微信上的定时提醒 - Cron on WeChat"
"thunlp/WantWords","https://github.com/thunlp/WantWords","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","nlp","17","804.81","False","0.2857","0","0","0.8438","1","1","0.3333","topic:nlp stars:>=100","NLTK Source"
"thunlp/WantWords","https://github.com/thunlp/WantWords","LingDong-/cope","https://github.com/LingDong-/cope","LingDong-","JavaScript","475","nlp","18","804.05","False","0.0909","0","1","0.4128","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A modern IDE for writing classical Chinese poetry 格律诗编辑程序"
"thunlp/WantWords","https://github.com/thunlp/WantWords","DukeEnglish/cs224n_learning_note","https://github.com/DukeEnglish/cs224n_learning_note","DukeEnglish","JavaScript","53","nlp","19","800","False","0.25","0","1","0","0.4","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","Stanford cs224n. 斯坦福2019最新cs224n学习资料 个人学习笔记和解读以及作业解答。 http://web.stanford.edu/class/cs224n/"
"thunlp/WantWords","https://github.com/thunlp/WantWords","neuml/txtai.js","https://github.com/neuml/txtai.js","neuml","JavaScript","157","nlp","20","792.83","False","0.125","0","1","0.1733","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","JavaScript client for txtai"
"thunlp/WantWords","https://github.com/thunlp/WantWords","developersdigest/function-chain","https://github.com/developersdigest/function-chain","developersdigest","JavaScript","55","nlp","21","778.57","False","0.1429","0","1","0","1","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","The FunctionChain is a tool that simplifies and organizes the process of invoking OpenAI functions in your Node.js applications. With this toolkit, you can easily scaffold out and isolate all the OpenAI function calls you need, making your code more modular, maintainable, and scalable."
"thunlp/WantWords","https://github.com/thunlp/WantWords","Mihaiii/semantic-autocomplete","https://github.com/Mihaiii/semantic-autocomplete","Mihaiii","JavaScript","229","nlp","22","769.6","False","0.0833","0","1","0.2548","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A blazing-fast semantic search React component. Match by meaning, not just by letters. Search as you type without waiting (no debounce needed). Rank by cosine similarity."
"thunlp/WantWords","https://github.com/thunlp/WantWords","vunb/vntk","https://github.com/vunb/vntk","vunb","JavaScript","219","nlp","23","767.91","False","0.0833","0","1","0.2452","1","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","Vietnamese NLP Toolkit for Node"
"thunlp/WantWords","https://github.com/thunlp/WantWords","axa-group/nlp.js","https://github.com/axa-group/nlp.js","axa-group","JavaScript","6563","llm","24","766.95","False","0.1333","0","1","0.9826","1","0","0.6667","topic:natural-language-processing language:JavaScript stars:>=50 | topic:nlp language:JavaScript stars:>=50","An NLP library for building bots, with entity extraction, sentiment analysis, automatic language identify, and so more"
"thunlp/WantWords","https://github.com/thunlp/WantWords","ryanhanwu/How-To-Ask-Questions-The-Smart-Way","https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way","ryanhanwu","JavaScript","35030","nlp","25","764.42","False","0","0","1","0.6538","1","1","0.3333","w language:JavaScript stars:>=50","本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。"
"thunlp/WantWords","https://github.com/thunlp/WantWords","ishantchauhan710/WriterAI","https://github.com/ishantchauhan710/WriterAI","ishantchauhan710","JavaScript","154","nlp","26","761.42","False","0.0909","0","1","0.1691","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","WriterAI is an AI based content writing tool that helps users easily write high quality emails, blogs, letters, thesis and other stuff. One can also share their project with others and work as a team."
"thunlp/WantWords","https://github.com/thunlp/WantWords","mike182uk/timestring","https://github.com/mike182uk/timestring","mike182uk","JavaScript","82","nlp","27","755.86","False","0.1667","0","1","0.0335","0.6","1","0.3333","topic:natural-language-processing language:JavaScript stars:>=50","Parse a human readable time string into a time based value"
"thunlp/WantWords","https://github.com/thunlp/WantWords","stanford-oval/genie-server","https://github.com/stanford-oval/genie-server","stanford-oval","JavaScript","271","nlp","28","754.54","False","0.1429","0","1","0.2913","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","The home server version of Almond"
"thunlp/WantWords","https://github.com/thunlp/WantWords","Algolisted-Org/AlgoListed","https://github.com/Algolisted-Org/AlgoListed","Algolisted-Org","JavaScript","169","nlp","29","747.4","False","0.0714","0","1","0.1892","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Algolisted is an AI-powered platform dedicated to assisting computer science students in preparing for placements and internships. Our services include tracking and analytics across various platforms and topics."
"thunlp/WantWords","https://github.com/thunlp/WantWords","OpenNewsLabs/guri-vr","https://github.com/OpenNewsLabs/guri-vr","OpenNewsLabs","JavaScript","195","nlp","30","742.09","False","0.1429","0","1","0.2201","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","https://gurivr.com"
