"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"KudoAI/duckduckgpt","https://github.com/KudoAI/duckduckgpt","KudoAI","JavaScript","270","False","False","3/1/2023 3:35:55 PM","4/30/2026 8:42:55 AM","🐤 AI chat & search summaries in DuckDuckGo, powered by the latest LLMs","ai;artificial-intelligence;bot;chatbot;chatgpt;duckduckgo;gpt;gpt-5;greasemonkey;javascript;kudoai;machine-learning;nlp;openai;search;userscripts;web","topic:nlp language:JavaScript stars:>=50"
"nextapps-de/flexsearch","https://github.com/nextapps-de/flexsearch","nextapps-de","JavaScript","13686","False","False","2/25/2018 12:40:24 PM","5/3/2026 5:42:01 PM","Next-generation full-text search library for Browser and Node.js","elasticsearch;full-text-search;fulltext-search;fuzzy;fuzzy-search;javascript;javascript-library;nodejs;open-source;search;search-algorithm;search-engine;search-in-text;searching;searching-algorithms;web;web-worker","open-source language:JavaScript stars:>=50"
"FormidableLabs/webpack-dashboard","https://github.com/FormidableLabs/webpack-dashboard","FormidableLabs","JavaScript","14031","False","False","8/14/2016 5:44:33 PM","4/30/2026 10:02:47 PM","A CLI dashboard for webpack dev server","cli;cli-dashboard;dashboard;devtools;dx;socket-communication;webpack;webpack-dashboard","w language:JavaScript stars:>=50"
"winkjs/wink-bm25-text-search","https://github.com/winkjs/wink-bm25-text-search","winkjs","JavaScript","72","False","False","5/25/2017 2:43:49 PM","4/19/2026 7:30:53 AM","Fast Full Text Search based on BM25","bm25;bm25f;full-text-search;in-memory-search;natural-language-processing;nlp;semantic-search;tf-idf;tfidf","topic:natural-language-processing language:JavaScript stars:>=50"
"OpenNewsLabs/guri-vr","https://github.com/OpenNewsLabs/guri-vr","OpenNewsLabs","JavaScript","195","False","False","7/8/2016 3:03:50 PM","8/27/2025 12:09:45 PM","https://gurivr.com","nlp;virtual-reality;vr;webvr","topic:nlp language:JavaScript stars:>=50"
"wekan/wekan","https://github.com/wekan/wekan","wekan","JavaScript","20917","False","False","1/21/2014 1:26:28 AM","5/3/2026 4:52:57 PM","The Open Source kanban, built with Meteor. GitHub issues/PRs are only for FLOSS Developers, not for support, support is at https://wekan.fi/commercial-support/ . New English strings for new features at imports/i18n/data/en.i18n.json . Non-English translations at https://app.transifex.com/wekan/wekan only.","docker-image;foss;javascript;kanban;meteor;real-time;sandstorm;snapcraft;wekan","open-source language:JavaScript stars:>=50 | w language:JavaScript stars:>=50"
"memvid/memvid","https://github.com/memvid/memvid","memvid","Rust","15339","False","False","5/27/2025 4:01:08 PM","5/3/2026 3:27:07 PM","Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.","ai;context;embedded;faiss;knowledge-base;knowledge-graph;llm;machine-learning;memory;memvid;mv2;nlp;offline-first;opencv;python;rag;retrieval-augmented-generation;semantic-search;vector-database;video-processing","topic:nlp stars:>=100"
"ryanhanwu/How-To-Ask-Questions-The-Smart-Way","https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way","ryanhanwu","JavaScript","35030","False","False","3/28/2015 4:52:40 PM","5/3/2026 3:40:45 PM","本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。","rtfm;stfw;translation","w language:JavaScript stars:>=50"
"shaoxiongji/knowledge-graphs","https://github.com/shaoxiongji/knowledge-graphs","shaoxiongji","JavaScript","1787","False","False","1/2/2019 3:39:25 AM","4/29/2026 2:35:48 AM","A collection of research on knowledge graphs","commonsense;cross-modal;dialogue-systems;information-retrieval;knowledge-graph;knowledge-graph-completion;meta-relational-learning;natural-language-processing;ner;paper;question-answering;reasoning;recommendation-systems;relation-extraction;representation-learning;survey;temporal-knowledge-graph","topic:natural-language-processing language:JavaScript stars:>=50"
"microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22114","False","False","7/23/2019 4:15:28 AM","5/3/2026 2:16:58 AM","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","topic:nlp stars:>=100"
"automatisch/automatisch","https://github.com/automatisch/automatisch","automatisch","JavaScript","13822","False","False","9/30/2021 8:28:16 PM","5/3/2026 3:10:37 PM","The open source Zapier alternative. Build workflow automation without spending time and money.","automation;automatisch;low-code;no-code;open-source;self-hosted;workflow","open-source language:JavaScript stars:>=50"
"shorwood/gptsh","https://github.com/shorwood/gptsh","shorwood","JavaScript","125","False","False","12/27/2020 4:16:56 AM","4/1/2026 5:11:41 PM","GPT.sh is a CLI tool built with NodeJs and powered by Open AI's GPT-3. It's main purpose is to translate natural language questions and requests into shell commands.","ai;bash;cli;cmdxyz;cross-platform;gitpod;gpt3;natural-language-processing;nlsh;nodejs;openai;powershell","topic:natural-language-processing language:JavaScript stars:>=50"
"nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","False","False","9/7/2009 10:53:58 AM","5/3/2026 11:03:07 AM","NLTK Source","machine-learning;natural-language-processing;nlp;nltk;python","topic:nlp stars:>=100"
"feathericons/feather","https://github.com/feathericons/feather","feathericons","JavaScript","25888","False","False","5/28/2014 7:49:55 PM","5/2/2026 11:23:54 AM","Simply beautiful open-source icons","icons;javascript;svg","open-source language:JavaScript stars:>=50"
"polyrabbit/WeCron","https://github.com/polyrabbit/WeCron","polyrabbit","JavaScript","690","False","False","11/30/2015 6:00:32 AM","4/28/2026 9:10:45 PM",":heavy_check_mark: 微信上的定时提醒 - Cron on WeChat","angular;cron;crontab;ionic;nlp;postgresql;python;timer;wechat;weixin","topic:nlp language:JavaScript stars:>=50"
"marcelscruz/public-apis","https://github.com/marcelscruz/public-apis","marcelscruz","JavaScript","8877","False","False","5/11/2022 6:31:22 AM","5/3/2026 5:45:42 PM","A collaborative list of public APIs for developers","apis;awesome;awesome-list;hacktoberfest;lists;open-source;public-api;public-apis;resources","open-source language:JavaScript stars:>=50"
"jackdh/RasaTalk","https://github.com/jackdh/RasaTalk","jackdh","JavaScript","303","False","False","6/25/2018 9:20:20 PM","3/31/2026 11:25:00 PM","A chatbot framework for Rasa NLU","bot;botkit;bots;chatbot;chatbot-framework;conversational-ai;nlp;nodejs;rasa;rasa-nlu;react","topic:nlp language:JavaScript stars:>=50"
"Unstructured-IO/unstructured","https://github.com/Unstructured-IO/unstructured","Unstructured-IO","HTML","14617","False","False","9/26/2022 9:53:41 PM","5/3/2026 12:53:12 PM","Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.","data-pipelines;deep-learning;document-image-analysis;document-image-processing;document-parser;document-parsing;docx;donut;information-retrieval;langchain;llm;machine-learning;ml;natural-language-processing;nlp;ocr;pdf;pdf-to-json;pdf-to-text;preprocessing","topic:nlp stars:>=100"
"huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21483","False","False","3/26/2020 9:23:22 AM","5/3/2026 11:48:10 AM","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools","ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow","topic:nlp stars:>=100"
"deepset-ai/haystack","https://github.com/deepset-ai/haystack","deepset-ai","MDX","25064","False","False","11/14/2019 9:05:28 AM","5/3/2026 3:01:45 PM","Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.","agent;agents;ai;gemini;generative-ai;gpt-4;information-retrieval;large-language-models;llm;machine-learning;nlp;orchestration;python;pytorch;question-answering;rag;retrieval-augmented-generation;semantic-search;summarization;transformers","topic:nlp stars:>=100"
"websockets/ws","https://github.com/websockets/ws","websockets","JavaScript","22743","False","False","11/9/2011 10:32:45 PM","5/2/2026 9:59:10 AM","Simple to use, blazing fast and thoroughly tested WebSocket client and server for Node.js","javascript;node;nodejs;real-time;rfc-6455;websocket;websocket-client;websocket-compression;websocket-server","w language:JavaScript stars:>=50"
"BoostIO/BoostNote-Legacy","https://github.com/BoostIO/BoostNote-Legacy","BoostIO","JavaScript","16939","False","False","3/6/2016 5:06:07 PM","4/30/2026 4:52:52 PM","This repository is outdated and new Boost Note app is available! We've launched a new Boost Note app which supports real-time collaborative writing. https://github.com/BoostIO/BoostNote-App","electron;linux;macos;open-source;react;stylus;windows","open-source language:JavaScript stars:>=50"
"nitotm/efficient-language-detector-js","https://github.com/nitotm/efficient-language-detector-js","nitotm","JavaScript","97","False","False","5/27/2023 5:30:09 PM","4/27/2026 12:17:29 AM","Fast and accurate natural language detection. Detector written in Javascript. Nito-ELD, ELD. ","javascript;language;language-detection;language-detector;language-identification;natural-language;natural-language-processing;nlp;nodejs","topic:natural-language-processing language:JavaScript stars:>=50"
"microsoft/Windows-universal-samples","https://github.com/microsoft/Windows-universal-samples","microsoft","JavaScript","9690","False","False","3/6/2015 10:13:13 PM","5/3/2026 1:47:00 PM","API samples for the Universal Windows Platform.","","w language:JavaScript stars:>=50"
"ToolJet/ToolJet","https://github.com/ToolJet/ToolJet","ToolJet","JavaScript","37857","False","False","3/30/2021 8:51:34 AM","5/3/2026 3:53:14 PM","ToolJet is the open-source foundation of ToolJet AI - the enterprise app generation platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀","ai-app-builder;docker;hacktoberfest;internal-applications;internal-project;internal-tool;internal-tools;javascript;kubernetes;low-code;low-code-development-platform;low-code-framework;no-code;nodejs;reactjs;self-hosted;typescript;web-development-tools;workflow-automation","open-source language:JavaScript stars:>=50"
"necolas/react-native-web","https://github.com/necolas/react-native-web","necolas","JavaScript","22119","False","False","6/9/2015 7:25:38 PM","5/3/2026 9:51:15 AM","Cross-platform React UI packages","cross-platform;css-in-js;gui-framework;react;react-components;react-dom;react-native;react-native-web;react-ui","w language:JavaScript stars:>=50"
"santifer/career-ops","https://github.com/santifer/career-ops","santifer","JavaScript","42103","False","False","4/4/2026 6:21:18 PM","5/3/2026 5:51:53 PM","AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, batch processing.","ai-agent;anthropic;automation;career;claude;claude-code;cli;golang;interview-prep;job-search;open-source;resume","open-source language:JavaScript stars:>=50"
"microsoft/AI-For-Beginners","https://github.com/microsoft/AI-For-Beginners","microsoft","Jupyter Notebook","47148","False","False","3/3/2021 4:27:36 PM","5/3/2026 5:46:05 PM","12 Weeks, 24 Lessons, AI for All!","ai;artificial-intelligence;cnn;computer-vision;deep-learning;gan;machine-learning;microsoft-for-beginners;nlp;rnn","topic:nlp stars:>=100"
