"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","axa-group/nlp.js","https://github.com/axa-group/nlp.js","axa-group","JavaScript","6562","llm","1","926.24","True","0.1786","0","1","0.6601","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","An NLP library for building bots, with entity extraction, sentiment analysis, automatic language identify, and so more"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","AI-Yash/st-chat","https://github.com/AI-Yash/st-chat","AI-Yash","JavaScript","1096","llm","2","902.21","True","0.0952","0","1","0.9514","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","Streamlit Component, for a Chatbot UI"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","samtecspg/articulate","https://github.com/samtecspg/articulate","samtecspg","JavaScript","592","llm","3","874.94","False","0.0909","0","1","0.8179","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","A platform for building conversational interfaces with intelligent agents (chatbots)"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","dmitrizzle/chat-bubble","https://github.com/dmitrizzle/chat-bubble","dmitrizzle","JavaScript","600","llm","4","862.86","False","0.0769","0","1","0.8208","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","Simple chatbot UI for the Web with JSON scripting 👋🤖🤙"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","inulute/simplexity-ai-app","https://github.com/inulute/simplexity-ai-app","inulute","JavaScript","622","llm","5","862.54","False","0.037","0.0526","1","0.8286","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","Community-driven P-lexity AI desktop app powered by Electron, bringing powerful AI language intelligence straight to your desktop."
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","danielcardeenas/sulla","https://github.com/danielcardeenas/sulla","danielcardeenas","JavaScript","1304","llm","6","859.1","False","0.04","0","1","0.9891","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","👩🏻‍🔬 Javascript Whatsapp api library for chatbots"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","KudoAI","JavaScript","2030","llm","7","858.74","False","0.0541","0","1","0.9148","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","🤖 A powerful, open source JavaScript library for ChatGPT"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","LucasBassetti/react-simple-chatbot","https://github.com/LucasBassetti/react-simple-chatbot","LucasBassetti","JavaScript","1757","llm","8","854.71","False","0.0435","0","1","0.9462","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50",":speech_balloon: Easy way to create conversation chats"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","tmijs/tmi.js","https://github.com/tmijs/tmi.js","tmijs","JavaScript","1591","llm","9","852.68","False","0.037","0","1","0.9677","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","💬 Javascript library for the Twitch Messaging Interface. (Twitch.tv)"
"winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","XInTheDark/raycast-g4f","https://github.com/XInTheDark/raycast-g4f","XInTheDark","JavaScript","1069","llm","10","845.55","False","0.0333","0","1","0.946","1","1","0.3333","topic:chatbot language:JavaScript stars:>=50","Raycast extension to use GPT, Claude, Llama, and more... all for FREE! + Full support for custom APIs."
