"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"wooorm/franc","https://github.com/wooorm/franc","ejci/favico.js","https://github.com/ejci/favico.js","ejci","JavaScript","8692","computer-vision","1","799.06","False","0","0","1","0.8518","1","1","0.3333","f language:JavaScript stars:>=50","Make use of your favicon with badges, images or videos"
"wooorm/franc","https://github.com/wooorm/franc","AgentMaker/WebAI.js","https://github.com/AgentMaker/WebAI.js","AgentMaker","JavaScript","58","computer-vision","2","739.78","False","0.1429","0","1","0.064","0.6","1","0.3333","topic:classification language:JavaScript stars:>=50","A simple Web AI model deployment tool using JavaScript based on OpenCV.js and ONNXRuntime"
"wooorm/franc","https://github.com/wooorm/franc","sumn2u/annotate-lab","https://github.com/sumn2u/annotate-lab","sumn2u","JavaScript","125","computer-vision","3","732.9","False","0.0476","0","1","0.2288","1","1","0.3333","topic:classification language:JavaScript stars:>=50","Annotate-lab is an open-source image annotation tool for efficient dataset creation. With an intuitive interface and flexible export options, it streamlines your machine learning workflow. 🖼️✏️📑"
"wooorm/franc","https://github.com/wooorm/franc","duskload/react-device-detect","https://github.com/duskload/react-device-detect","duskload","JavaScript","2925","llm","4","713.13","False","0.1429","0","1","0.9118","1","0","0.3333","topic:detect language:JavaScript stars:>=50","Detect device, and render view according to detected device type."
"wooorm/franc","https://github.com/wooorm/franc","richtr/guessLanguage.js","https://github.com/richtr/guessLanguage.js","richtr","JavaScript","212","computer-vision","5","709.99","False","0","0","1","0.3428","1","1","0.3333","natural language:JavaScript stars:>=50","A natural language detection library based on trigram statistical analysis for Node.js and the Web."
"wooorm/franc","https://github.com/wooorm/franc","retextjs/retext","https://github.com/retextjs/retext","retextjs","JavaScript","2432","nlp","6","706.12","False","0.1429","0","1","0.8717","1","0","0.3333","natural language:JavaScript stars:>=50","natural language processor powered by plugins part of the @unifiedjs collective"
"wooorm/franc","https://github.com/wooorm/franc","sindresorhus/file-type","https://github.com/sindresorhus/file-type","sindresorhus","JavaScript","4276","","7","704.87","False","0.1176","0","1","0.9942","1","0","0.3333","topic:detect language:JavaScript stars:>=50","Detect the file type of a file, stream, or data"
"wooorm/franc","https://github.com/wooorm/franc","sindresorhus/is-online","https://github.com/sindresorhus/is-online","sindresorhus","JavaScript","1361","","8","650.24","False","0.1053","0","1","0.7457","1","0","0.3333","topic:detect language:JavaScript stars:>=50","Check if the internet connection is up"
"wooorm/franc","https://github.com/wooorm/franc","adrai/flowchart.js","https://github.com/adrai/flowchart.js","adrai","JavaScript","8692","","9","643.3","False","0.0769","0","1","0.8518","1","0","0.3333","f language:JavaScript stars:>=50","Draws simple SVG flow chart diagrams from textual representation of the diagram"
"wooorm/franc","https://github.com/wooorm/franc","fantasyland/fantasy-land","https://github.com/fantasyland/fantasy-land","fantasyland","JavaScript","10234","","10","637.09","False","0.0769","0","1","0.8163","1","0","0.3333","f language:JavaScript stars:>=50","Specification for interoperability of common algebraic structures in JavaScript"
"wooorm/franc","https://github.com/wooorm/franc","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","11","636.55","False","0.0833","0","1","0.7803","1","0","0.3333","natural language:JavaScript stars:>=50","modest natural-language processing"
"wooorm/franc","https://github.com/wooorm/franc","nodists/nodist","https://github.com/nodists/nodist","nodists","JavaScript","1715","","12","633.51","False","0.0769","0","1","0.7959","1","0","0.3333","natural language:JavaScript stars:>=50","Natural node.js and npm version manager for windows."
"wooorm/franc","https://github.com/wooorm/franc","jprichardson/node-fs-extra","https://github.com/jprichardson/node-fs-extra","jprichardson","JavaScript","9615","","13","626.48","False","0.0625","0","1","0.8299","1","0","0.3333","f language:JavaScript stars:>=50","Node.js: extra methods for the fs object like copy(), remove(), mkdirs()"
"wooorm/franc","https://github.com/wooorm/franc","uzairfarooq/arrive","https://github.com/uzairfarooq/arrive","uzairfarooq","JavaScript","900","","14","621.61","False","0.0909","0","1","0.656","1","0","0.3333","topic:detect language:JavaScript stars:>=50","Watch for DOM elements creation and removal"
"wooorm/franc","https://github.com/wooorm/franc","hakanyalcinkaya/kodluyoruz-frontend-101-egitimi","https://github.com/hakanyalcinkaya/kodluyoruz-frontend-101-egitimi","hakanyalcinkaya","JavaScript","10960","editor","15","621.5","False","0.0625","0","1","0.8015","1","0","0.3333","f language:JavaScript stars:>=50","Kodluyoruz için Hazırladığım Video Eğitim Seti Repo'sudur. Tüm Eğitimlerime: https://linktr.ee/hakanyalcinkaya adresinden ulaşabilirsiniz."
