"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"nextapps-de/flexsearch","https://github.com/nextapps-de/flexsearch","nextapps-de","JavaScript","13686","False","False","2/25/2018 12:40:24 PM","5/3/2026 5:42:01 PM","Next-generation full-text search library for Browser and Node.js","elasticsearch;full-text-search;fulltext-search;fuzzy;fuzzy-search;javascript;javascript-library;nodejs;open-source;search;search-algorithm;search-engine;search-in-text;searching;searching-algorithms;web;web-worker","f language:JavaScript stars:>=50"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision stars:>=100"
"Ratna-Babu/Ai-Website-Builder","https://github.com/Ratna-Babu/Ai-Website-Builder","Ratna-Babu","JavaScript","156","False","False","3/12/2025 9:18:48 AM","5/3/2026 1:14:00 AM","Instantly create beautiful, responsive websites with AI. This AI-powered website builder transforms natural language prompts into fully functional React components using Next.js, Tailwind CSS, and Gemini AI. Features real-time collaboration with Convex backend, theme customization, and export-ready code.","ai;ai-powered;ai-powered-websites;ai-project;ai-website;ai-website-builder;code-generation;convex;gemini;gemini-api;good-first-issue;natural-language-to-code;nextjs;prompt-to-code;react;tailwindcss;web-application;web-application-builder;website-development","natural language:JavaScript stars:>=50"
"sunG91/OpenAUI","https://github.com/sunG91/OpenAUI","sunG91","JavaScript","140","False","False","3/13/2026 10:20:43 AM","4/21/2026 11:38:47 AM","Open AUI (Open AI User Interface) is an open-source multi‑modal AI operation framework. It is designed to let users interact with AI via natural language, and let the AI directly operate the user's computer (terminal, browser, apps, etc.), achieving a ""say it, then it happens"" experience.","","natural language:JavaScript stars:>=50"
"abhiz123/todoist-mcp-server","https://github.com/abhiz123/todoist-mcp-server","abhiz123","JavaScript","391","False","False","12/3/2024 6:38:40 PM","4/26/2026 12:19:02 PM","MCP server for Todoist integration enabling natural language task management with Claude","","natural language:JavaScript stars:>=50"
"mattdesl/glsl-film-grain","https://github.com/mattdesl/glsl-film-grain","mattdesl","JavaScript","199","False","False","1/26/2015 1:40:38 PM","4/29/2026 7:37:51 AM","natural looking film grain using noise functions","","natural language:JavaScript stars:>=50"
"flutterchina/flutter-in-action","https://github.com/flutterchina/flutter-in-action","flutterchina","JavaScript","8622","False","False","11/29/2018 8:43:18 AM","4/29/2026 5:18:48 PM","《Flutter实战》书稿。第二版书稿已上传，请移步新Repo。","flutter;flutter-book","f language:JavaScript stars:>=50"
"foreversd/forever","https://github.com/foreversd/forever","foreversd","JavaScript","13847","False","False","9/27/2010 3:47:23 PM","5/2/2026 9:59:07 AM","A simple CLI tool for ensuring that a given script runs continuously (i.e. forever)","","f language:JavaScript stars:>=50"
"JakeChampion/fetch","https://github.com/JakeChampion/fetch","JakeChampion","JavaScript","25876","False","False","10/13/2014 12:26:19 AM","5/3/2026 1:46:51 PM","A window.fetch JavaScript polyfill.","fetch;javascript;polyfill;promise","f language:JavaScript stars:>=50"
"simogeo/geostats","https://github.com/simogeo/geostats","simogeo","JavaScript","208","False","False","6/17/2011 8:13:10 AM","2/21/2026 4:04:57 AM","A tiny and standalone javascript library for classification and basic statistics :","classification;geo;geography;geostats;gis;javascript;library","topic:classification language:JavaScript stars:>=50"
