"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","fergiemcdowall","JavaScript","1424","nlp","1","949.23","True","0.1429","0","1","0.9752","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A persistent, network resilient, full text search library for the browser and Node.js"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Algolisted-Org/AlgoListed","https://github.com/Algolisted-Org/AlgoListed","Algolisted-Org","JavaScript","169","nlp","2","927.12","True","0.1429","0","1","0.5632","1","1","0.6667","topic:nlp language:JavaScript stars:>=50 | topic:python3 language:JavaScript stars:>=50","Algolisted is an AI-powered platform dedicated to assisting computer science students in preparing for placements and internships. Our services include tracking and analytics across various platforms and topics."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","3","917.99","True","0.1429","0","1","0.511","1","1","0.6667","topic:nlp language:JavaScript stars:>=50 | topic:nlp stars:>=100","modest natural-language processing"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","kengz/aiva","https://github.com/kengz/aiva","kengz","JavaScript","845","nlp","4","899.53","False","0.1","0","1","0.9116","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","thisandagain/sentiment","https://github.com/thisandagain/sentiment","thisandagain","JavaScript","2676","nlp","5","886.69","False","0.1","0","1","0.8382","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AFINN-based sentiment analysis for Node.js."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","paschmann/rasa-ui","https://github.com/paschmann/rasa-ui","paschmann","JavaScript","965","nlp","6","883.8","False","0.0769","0","1","0.9404","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Rasa UI is a frontend for the Rasa Framework"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","thunlp/WantWords","https://github.com/thunlp/WantWords","thunlp","JavaScript","7112","nlp","7","872.06","False","0.125","0","1","0.626","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","An open-source online reverse dictionary."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","polyrabbit/WeCron","https://github.com/polyrabbit/WeCron","polyrabbit","JavaScript","690","nlp","8","866.13","False","0.0714","0","1","0.8677","1","1","0.3333","topic:nlp language:JavaScript stars:>=50",":heavy_check_mark: 微信上的定时提醒 - Cron on WeChat"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","LingDong-/cope","https://github.com/LingDong-/cope","LingDong-","JavaScript","475","nlp","9","862.68","False","0.0833","0","1","0.7867","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A modern IDE for writing classical Chinese poetry 格律诗编辑程序"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","neuml/txtai.js","https://github.com/neuml/txtai.js","neuml","JavaScript","157","nlp","10","845.77","False","0.1111","0","1","0.5473","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","JavaScript client for txtai"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","ines/spacy-js","https://github.com/ines/spacy-js","ines","JavaScript","201","nlp","11","845.11","False","0.1","0","1","0.6006","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","🎀 JavaScript API for spaCy with Python REST API"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","robotroutine/scriptum","https://github.com/robotroutine/scriptum","robotroutine","JavaScript","381","nlp","12","829.32","False","0.0556","0","1","0.739","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","No-Frills Functional Programming Lib Augmenting Javascript/Node.js"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Mihaiii/semantic-autocomplete","https://github.com/Mihaiii/semantic-autocomplete","Mihaiii","JavaScript","229","nlp","13","829.27","False","0.0769","0","1","0.6288","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A blazing-fast semantic search React component. Match by meaning, not just by letters. Search as you type without waiting (no debounce needed). Rank by cosine similarity."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","ishantchauhan710/WriterAI","https://github.com/ishantchauhan710/WriterAI","ishantchauhan710","JavaScript","154","nlp","14","820.04","False","0.0833","0","1","0.5431","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","WriterAI is an AI based content writing tool that helps users easily write high quality emails, blogs, letters, thesis and other stuff. One can also share their project with others and work as a team."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","primaryobjects/lda","https://github.com/primaryobjects/lda","primaryobjects","JavaScript","294","nlp","15","819.5","False","0.0556","0","1","0.6828","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","LDA topic modeling for node.js"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","stanford-oval/genie-server","https://github.com/stanford-oval/genie-server","stanford-oval","JavaScript","271","nlp","16","803.91","False","0.125","0","1","0.6652","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","The home server version of Almond"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","OpenNewsLabs/guri-vr","https://github.com/OpenNewsLabs/guri-vr","OpenNewsLabs","JavaScript","195","nlp","17","791.46","False","0.125","0","1","0.5941","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","https://gurivr.com"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","pen-ho/medical_knowledge_graph_app-master","https://github.com/pen-ho/medical_knowledge_graph_app-master","pen-ho","JavaScript","346","llm","18","763.17","False","0.125","0","1","0.7181","1","0","1","topic:kgqa language:JavaScript stars:>=50 | topic:nlp language:JavaScript stars:>=50 | kgqa language:JavaScript stars:>=50","医药知识图谱自动问答系统实现，包括构建知识图谱、基于知识图谱的流水线问答以及前端实现。实体识别（基于词典+BERT_CRF）、实体链接（Sentence-BERT做匹配）、意图识别（基于提问词+领域词词典）。"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","tcc0lin/Review_Reverse","https://github.com/tcc0lin/Review_Reverse","tcc0lin","JavaScript","1438","","19","695.28","False","0.1111","0","1","0.973","1","0","0.3333","topic:python3 language:JavaScript stars:>=50",""
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","bytebuff/JSpider","https://github.com/bytebuff/JSpider","bytebuff","JavaScript","1089","editor","20","694.16","False","0.1111","0","1","0.9666","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","JSpider会每周更新至少一个网站的JS解密方式，欢迎 Star，交流微信：13298307816"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","ShuaiLeiLu/JD_Scripts","https://github.com/ShuaiLeiLu/JD_Scripts","ShuaiLeiLu","JavaScript","267","","21","690.85","False","0.1667","0","1","0.662","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","京东脚本  代挂  扫码登录  "
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","githublitao/api_automation_test","https://github.com/githublitao/api_automation_test","githublitao","JavaScript","1663","","22","689.76","False","0.1111","0","1","0.9415","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","接口自动化测试平台（老平台移步master_old分支）"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","gys619/Thread","https://github.com/gys619/Thread","gys619","JavaScript","1222","","23","688.54","False","0.1","0","1","0.9916","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","default"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","samtecspg/articulate","https://github.com/samtecspg/articulate","samtecspg","JavaScript","592","llm","24","683.53","False","0.125","0","1","0.8345","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","A platform for building conversational interfaces with intelligent agents (chatbots)"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","seasonstar/bibi","https://github.com/seasonstar/bibi","seasonstar","JavaScript","1015","","25","681.49","False","0.1","0","1","0.9514","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","An Cross-Border E-Commerce Fullstack Solution for Flask 跨境电商独立站全栈解决方案"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","iyanuashiri/meethub","https://github.com/iyanuashiri/meethub","iyanuashiri","JavaScript","461","","26","661.54","False","0.1111","0","1","0.7802","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","This is a Python/Django based event management system."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","linonetwo/segmentit","https://github.com/linonetwo/segmentit","linonetwo","JavaScript","313","computer-vision","27","659.37","False","0.125","0","1","0.6964","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","任何 JS 环境可用的中文分词包，fork from leizongmin/node-segment"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Atri-Labs/atrilabs-engine","https://github.com/Atri-Labs/atrilabs-engine","Atri-Labs","JavaScript","4079","","28","655.68","False","0.1111","0","1","0.7467","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","🧘‍♂️ Open-source no-code & code web app builder"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","dmitrizzle/chat-bubble","https://github.com/dmitrizzle/chat-bubble","dmitrizzle","JavaScript","600","llm","29","646.54","False","0.0833","0","1","0.8374","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Simple chatbot UI for the Web with JSON scripting 👋🤖🤙"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","aisingapore/TagUI","https://github.com/aisingapore/TagUI","aisingapore","JavaScript","6282","computer-vision","30","639.27","False","0.1111","0","1","0.653","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Free RPA tool by AI Singapore"
