"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"thisandagain/troll","https://github.com/thisandagain/troll","thisandagain","JavaScript","330","False","False","10/2/2012 6:40:40 PM","1/24/2026 9:35:06 PM","Language sentiment analysis and neural networks... for trolls.","javascript;moderation;neural-network;nlp;sentiment;sentiment-analysis","topic:nlp language:JavaScript stars:>=50"
"polyrabbit/WeCron","https://github.com/polyrabbit/WeCron","polyrabbit","JavaScript","690","False","False","11/30/2015 6:00:32 AM","4/28/2026 9:10:45 PM",":heavy_check_mark: 微信上的定时提醒 - Cron on WeChat","angular;cron;crontab;ionic;nlp;postgresql;python;timer;wechat;weixin","topic:nlp language:JavaScript stars:>=50"
"bigscience-workshop/petals","https://github.com/bigscience-workshop/petals","bigscience-workshop","Python","10112","False","False","6/12/2022 12:10:27 AM","5/3/2026 5:15:38 PM","🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","bloom;chatbot;deep-learning;distributed-systems;falcon;gpt;guanaco;language-models;large-language-models;llama;machine-learning;mixtral;neural-networks;nlp;pipeline-parallelism;pretrained-models;pytorch;tensor-parallelism;transformer;volunteer-computing","topic:nlp stars:>=100"
"AI4Finance-Foundation/FinGPT","https://github.com/AI4Finance-Foundation/FinGPT","AI4Finance-Foundation","Jupyter Notebook","19921","False","False","2/11/2023 8:21:34 PM","5/3/2026 5:04:16 PM","FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.","chatgpt;finance;fingpt;fintech;large-language-models;machine-learning;nlp;prompt-engineering;pytorch;reinforcement-learning;robo-advisor;sentiment-analysis;technical-analysis","topic:nlp stars:>=100"
"jokenox/Goopt","https://github.com/jokenox/Goopt","jokenox","JavaScript","519","False","False","12/10/2021 11:24:10 AM","4/9/2026 10:35:43 AM","🔍 Search Engine for a Procedural Simulation of the Web with GPT-3.","gpt-3;gpt3;javascript;natural-language-processing;nlp;procedural;procedural-content;procedural-content-generation;procedural-generation;procedural-web;react;reactjs;simulation;simulator;tailwindcss;web;web3","topic:nlp language:JavaScript stars:>=50"
"explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","False","False","7/3/2014 3:15:40 PM","5/3/2026 11:00:34 AM","💫 Industrial-strength Natural Language Processing (NLP) in Python","ai;artificial-intelligence;cython;data-science;deep-learning;entity-linking;machine-learning;named-entity-recognition;natural-language-processing;neural-network;neural-networks;nlp;nlp-library;python;spacy;text-classification;tokenization","topic:nlp stars:>=100"
"githublitao/api_automation_test","https://github.com/githublitao/api_automation_test","githublitao","JavaScript","1663","False","False","1/10/2018 10:35:27 AM","4/30/2026 6:23:21 AM","接口自动化测试平台（老平台移步master_old分支）","apitest;django;python3;requests;vue","topic:python3 language:JavaScript stars:>=50"
"adamlui/chatgpt-infinity","https://github.com/adamlui/chatgpt-infinity","adamlui","JavaScript","350","False","False","4/28/2023 8:00:23 AM","5/1/2026 2:08:12 PM","∞ Generate endless answers from all-knowing ChatGPT (on any topic!)","ai;artificial-intelligence;chatbot;chatgpt;chrome-extension;experimental;firefox-addon;gpt-5;greasemonkey;machine-learning;nlp;openai;trivia;userscripts","topic:nlp language:JavaScript stars:>=50"
"dojutsu-user/Django-React-Blog","https://github.com/dojutsu-user/Django-React-Blog","dojutsu-user","JavaScript","91","False","False","7/14/2018 7:13:05 AM","12/29/2025 2:42:01 PM","A Simple Blog Made Using Django As The Backend (Using Django Rest Framework) And ReactJS As The Frontend.","django;django-blog;django-react-redux;django-rest-framework;javascript;python3;react-router;reactjs;redux","topic:python3 language:JavaScript stars:>=50"
"machineinteractive/skies-adsb","https://github.com/machineinteractive/skies-adsb","machineinteractive","JavaScript","258","False","False","10/16/2021 1:29:20 PM","4/27/2026 5:41:29 PM","skies-adsb transforms your browser into a real-time 3D air traffic display. Using unfiltered ADS-B data from an RTL-SDR receiver, explore your local air traffic, surrounding airspace, and geography with custom 3D maps you can tailor to your needs.","3d;adsb;adsb-b;creative-coding;creativecoding;geospatial-visualization;gis;python3;raspberrypi;rtl-sdr;rtlsdr;simulation;threejs;webgl","topic:python3 language:JavaScript stars:>=50"
"TIGMINT/TIGMINT","https://github.com/TIGMINT/TIGMINT","TIGMINT","JavaScript","256","False","False","9/5/2020 6:30:02 AM","4/15/2026 6:24:21 AM","TIGMINT: OSINT (Open Source Intelligence) GUI software framework","account-finder;analysis;contribution;framework;hacktoberfest;information-gathering;infosec;instagram;intelligence;meta-analysis;open-source;open-source-intelligence;osint;python3;socmint;tigmint;twitter;twitter-analyser","topic:python3 language:JavaScript stars:>=50"
"jj008/Digital_Voting","https://github.com/jj008/Digital_Voting","jj008","JavaScript","72","False","False","7/3/2020 5:22:09 AM","1/23/2026 6:59:46 PM","It is an online voting system with face recognition and two factor authentication, developed in django framework.  Digital voting has admin login which will be handled by election commission and voter login which will be handled by voter. Voters can login through their voter ID number and password after a successful registration. The system will allows voters to view a list of candidates in their area, voters can get to know the candidates background (like income, works, etc.) and choose wisely. Once the election is started voter have to login into the account, select a candidate and have to give face id with webcam or front camera, if the face matches with the face given at the time of registration then voter will be promoted for two factor authentication, if two factor authentication is successful then the vote will be submitted and one voter can vote for a candidate only once per election.","bootstrap;css;django;face-detection;face-recognition;html;html-css;html5;javascript;online-election-system;online-voting-system;opencv;python;python3;two-factor-authentication;voting;voting-application;web-app;web-application;webapplication","topic:python3 language:JavaScript stars:>=50"
"KarchinLab/open-cravat","https://github.com/KarchinLab/open-cravat","KarchinLab","JavaScript","151","False","False","7/3/2018 5:31:00 PM","4/21/2026 11:11:24 AM","A modular annotation tool for genomic variants","annotation-tool;bioinformatics;bioinformatics-pipeline;bioinformatics-tool;genomic-data-analysis;genomics;javascript;python;python3;variant-analysis;variant-annotation;variant-annotations","topic:python3 language:JavaScript stars:>=50"
"tcc0lin/Review_Reverse","https://github.com/tcc0lin/Review_Reverse","tcc0lin","JavaScript","1438","False","False","11/22/2019 10:05:40 AM","4/16/2026 10:20:49 AM","","cookie;javascript;puppeteer;python3;web-sign","topic:python3 language:JavaScript stars:>=50"
"holasoymalva/guia-de-algoritmos-y-estructuras-de-datos","https://github.com/holasoymalva/guia-de-algoritmos-y-estructuras-de-datos","holasoymalva","JavaScript","73","False","False","10/16/2020 6:20:22 PM","4/26/2026 11:11:38 AM","Guia practica de algoritmos y estructura de datos","algorithms;algoritmos;ciencias-de-computacion;computer-science;data-structures;estructura-de-datos;estructuras-de-datos;guia;guias;guias-practicas;guias-preparacion;javascript;node;nodejs;python;python3","topic:python3 language:JavaScript stars:>=50"
"KudoAI/bravegpt","https://github.com/KudoAI/bravegpt","KudoAI","JavaScript","209","False","False","3/26/2023 10:20:07 PM","5/1/2026 3:40:22 AM","🦁 AI chat & search summaries in Brave Search, powered by the latest LLMs","ai;artificial-intelligence;brave;brave-search;chat;chatbot;chatgpt;gpt;gpt-5;greasemonkey;javascript;kudoai;machine-learning;nlp;openai;search;userscripts;web;websearch","topic:nlp language:JavaScript stars:>=50"
"openvinotoolkit/openvino","https://github.com/openvinotoolkit/openvino","openvinotoolkit","C++","10169","False","False","10/15/2018 10:54:40 AM","5/3/2026 7:12:08 AM","OpenVINO™ is an open source toolkit for optimizing and deploying AI inference","ai;computer-vision;deep-learning;deploy-ai;diffusion-models;generative-ai;good-first-issue;inference;llm-inference;natural-language-processing;nlp;openvino;optimize-ai;performance-boost;recommendation-system;speech-recognition;stable-diffusion;transformers;yolo","topic:nlp stars:>=100"
"wonmor/ElectronVisualized","https://github.com/wonmor/ElectronVisualized","wonmor","JavaScript","75","False","False","3/24/2022 5:25:29 PM","4/5/2026 1:55:04 PM","Public Archive: Beautiful and Elegant Quantum Mechanics Visualization.","chemistry;computational-chemistry;computational-physics;electron;flask;flask-api;math;mathematical-modelling;mathematics;physics;physics-analysis;physics-engine;physics-simulation;python;python3;quantum-mechanics;react;reactjs;visualization","topic:python3 language:JavaScript stars:>=50"
"adamlui/chatgpt-auto-refresh","https://github.com/adamlui/chatgpt-auto-refresh","adamlui","JavaScript","208","False","False","3/28/2023 11:10:13 PM","4/30/2026 7:36:02 AM","↻ Keeps ChatGPT sessions fresh, eliminating chat time limits + network errors + Cloudflare checks","ai;artificial-intelligence;chat;chatbot;chatgpt;chatgpt3;cloudflare;gpt;gpt-3;gpt-4;greasemonkey;javascript;machine-learning;ml;nlp;openai;reloader;userscript;userscripts","topic:nlp language:JavaScript stars:>=50"
"Anodynous/stenogotchi","https://github.com/Anodynous/stenogotchi","Anodynous","JavaScript","186","False","False","1/12/2021 4:28:06 PM","4/9/2026 12:27:00 PM","Portable stenography using Plover and bluetooth keyboard emulation on a Raspberry Pi Zero W","bluetooth;dietpi;keyboard-emulation;pi;plover;plover-plugins;python3;raspberry;raspberry-pi;raspberry-pi-zero-w;steno;stenography","topic:python3 language:JavaScript stars:>=50"
