"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","fergiemcdowall","JavaScript","1424","nlp","1","949.23","True","0.1429","0","1","0.9752","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A persistent, network resilient, full text search library for the browser and Node.js"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Algolisted-Org/AlgoListed","https://github.com/Algolisted-Org/AlgoListed","Algolisted-Org","JavaScript","169","nlp","2","927.12","True","0.1429","0","1","0.5632","1","1","0.6667","topic:nlp language:JavaScript stars:>=50 | topic:python3 language:JavaScript stars:>=50","Algolisted is an AI-powered platform dedicated to assisting computer science students in preparing for placements and internships. Our services include tracking and analytics across various platforms and topics."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12083","nlp","3","917.99","True","0.1429","0","1","0.511","1","1","0.6667","topic:nlp language:JavaScript stars:>=50 | topic:nlp stars:>=100","modest natural-language processing"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","kengz/aiva","https://github.com/kengz/aiva","kengz","JavaScript","845","nlp","4","899.53","False","0.1","0","1","0.9116","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","thisandagain/sentiment","https://github.com/thisandagain/sentiment","thisandagain","JavaScript","2676","nlp","5","886.69","False","0.1","0","1","0.8382","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","AFINN-based sentiment analysis for Node.js."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","paschmann/rasa-ui","https://github.com/paschmann/rasa-ui","paschmann","JavaScript","965","nlp","6","883.8","False","0.0769","0","1","0.9404","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","Rasa UI is a frontend for the Rasa Framework"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","thunlp/WantWords","https://github.com/thunlp/WantWords","thunlp","JavaScript","7112","nlp","7","872.06","False","0.125","0","1","0.626","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","An open-source online reverse dictionary."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","polyrabbit/WeCron","https://github.com/polyrabbit/WeCron","polyrabbit","JavaScript","690","nlp","8","866.13","False","0.0714","0","1","0.8677","1","1","0.3333","topic:nlp language:JavaScript stars:>=50",":heavy_check_mark: 微信上的定时提醒 - Cron on WeChat"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","LingDong-/cope","https://github.com/LingDong-/cope","LingDong-","JavaScript","475","nlp","9","862.68","False","0.0833","0","1","0.7867","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A modern IDE for writing classical Chinese poetry 格律诗编辑程序"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","neuml/txtai.js","https://github.com/neuml/txtai.js","neuml","JavaScript","157","nlp","10","845.77","False","0.1111","0","1","0.5473","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","JavaScript client for txtai"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","ines/spacy-js","https://github.com/ines/spacy-js","ines","JavaScript","201","nlp","11","845.11","False","0.1","0","1","0.6006","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","🎀 JavaScript API for spaCy with Python REST API"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","robotroutine/scriptum","https://github.com/robotroutine/scriptum","robotroutine","JavaScript","381","nlp","12","829.32","False","0.0556","0","1","0.739","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","No-Frills Functional Programming Lib Augmenting Javascript/Node.js"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Mihaiii/semantic-autocomplete","https://github.com/Mihaiii/semantic-autocomplete","Mihaiii","JavaScript","229","nlp","13","829.27","False","0.0769","0","1","0.6288","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","A blazing-fast semantic search React component. Match by meaning, not just by letters. Search as you type without waiting (no debounce needed). Rank by cosine similarity."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","ishantchauhan710/WriterAI","https://github.com/ishantchauhan710/WriterAI","ishantchauhan710","JavaScript","154","nlp","14","820.04","False","0.0833","0","1","0.5431","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","WriterAI is an AI based content writing tool that helps users easily write high quality emails, blogs, letters, thesis and other stuff. One can also share their project with others and work as a team."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","primaryobjects/lda","https://github.com/primaryobjects/lda","primaryobjects","JavaScript","294","nlp","15","819.5","False","0.0556","0","1","0.6828","1","1","0.3333","topic:nlp language:JavaScript stars:>=50","LDA topic modeling for node.js"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","stanford-oval/genie-server","https://github.com/stanford-oval/genie-server","stanford-oval","JavaScript","271","nlp","16","803.91","False","0.125","0","1","0.6652","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","The home server version of Almond"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","OpenNewsLabs/guri-vr","https://github.com/OpenNewsLabs/guri-vr","OpenNewsLabs","JavaScript","195","nlp","17","791.46","False","0.125","0","1","0.5941","0.4","1","0.3333","topic:nlp language:JavaScript stars:>=50","https://gurivr.com"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","pen-ho/medical_knowledge_graph_app-master","https://github.com/pen-ho/medical_knowledge_graph_app-master","pen-ho","JavaScript","346","llm","18","763.17","False","0.125","0","1","0.7181","1","0","1","topic:kgqa language:JavaScript stars:>=50 | topic:nlp language:JavaScript stars:>=50 | kgqa language:JavaScript stars:>=50","医药知识图谱自动问答系统实现，包括构建知识图谱、基于知识图谱的流水线问答以及前端实现。实体识别（基于词典+BERT_CRF）、实体链接（Sentence-BERT做匹配）、意图识别（基于提问词+领域词词典）。"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","tcc0lin/Review_Reverse","https://github.com/tcc0lin/Review_Reverse","tcc0lin","JavaScript","1438","","19","695.28","False","0.1111","0","1","0.973","1","0","0.3333","topic:python3 language:JavaScript stars:>=50",""
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","bytebuff/JSpider","https://github.com/bytebuff/JSpider","bytebuff","JavaScript","1089","editor","20","694.16","False","0.1111","0","1","0.9666","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","JSpider会每周更新至少一个网站的JS解密方式，欢迎 Star，交流微信：13298307816"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","ShuaiLeiLu/JD_Scripts","https://github.com/ShuaiLeiLu/JD_Scripts","ShuaiLeiLu","JavaScript","267","","21","690.85","False","0.1667","0","1","0.662","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","京东脚本  代挂  扫码登录  "
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","githublitao/api_automation_test","https://github.com/githublitao/api_automation_test","githublitao","JavaScript","1663","","22","689.76","False","0.1111","0","1","0.9415","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","接口自动化测试平台（老平台移步master_old分支）"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","gys619/Thread","https://github.com/gys619/Thread","gys619","JavaScript","1222","","23","688.54","False","0.1","0","1","0.9916","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","default"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","samtecspg/articulate","https://github.com/samtecspg/articulate","samtecspg","JavaScript","592","llm","24","683.53","False","0.125","0","1","0.8345","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","A platform for building conversational interfaces with intelligent agents (chatbots)"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","seasonstar/bibi","https://github.com/seasonstar/bibi","seasonstar","JavaScript","1015","","25","681.49","False","0.1","0","1","0.9514","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","An Cross-Border E-Commerce Fullstack Solution for Flask 跨境电商独立站全栈解决方案"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","iyanuashiri/meethub","https://github.com/iyanuashiri/meethub","iyanuashiri","JavaScript","461","","26","661.54","False","0.1111","0","1","0.7802","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","This is a Python/Django based event management system."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","linonetwo/segmentit","https://github.com/linonetwo/segmentit","linonetwo","JavaScript","313","computer-vision","27","659.37","False","0.125","0","1","0.6964","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","任何 JS 环境可用的中文分词包，fork from leizongmin/node-segment"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Atri-Labs/atrilabs-engine","https://github.com/Atri-Labs/atrilabs-engine","Atri-Labs","JavaScript","4079","","28","655.68","False","0.1111","0","1","0.7467","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","🧘‍♂️ Open-source no-code & code web app builder"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","dmitrizzle/chat-bubble","https://github.com/dmitrizzle/chat-bubble","dmitrizzle","JavaScript","600","llm","29","646.54","False","0.0833","0","1","0.8374","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Simple chatbot UI for the Web with JSON scripting 👋🤖🤙"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","aisingapore/TagUI","https://github.com/aisingapore/TagUI","aisingapore","JavaScript","6282","computer-vision","30","639.27","False","0.1111","0","1","0.653","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Free RPA tool by AI Singapore"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","johanmodin/clifs","https://github.com/johanmodin/clifs","johanmodin","JavaScript","486","computer-vision","0","638.55","False","0.0833","0","1","0.7917","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Contrastive Language-Image Forensic Search allows free text searching through videos using OpenAI's machine learning model CLIP "
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","winkjs/wink-nlp","https://github.com/winkjs/wink-nlp","winkjs","JavaScript","1371","llm","0","634.59","False","0.0417","0","1","0.9834","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Developer friendly Natural Language Processing ✨"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","rjsears/GardenPi","https://github.com/rjsears/GardenPi","rjsears","JavaScript","302","","0","627.33","False","0.0909","0","1","0.6886","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","Multizone Hydroponic / Aquaponic / Irrigation & Fish Tank Water management and monitoring platform"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","exa-studio/ApiVault","https://github.com/exa-studio/ApiVault","exa-studio","JavaScript","618","reinforcement","0","625.6","False","0.0588","0","1","0.8438","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","Your gateway to a world of public APIs."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","isaacbernat/netflix-to-srt","https://github.com/isaacbernat/netflix-to-srt","isaacbernat","JavaScript","862","","0","624.42","False","0.0435","0","1","0.9159","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","Rip, extract and convert subtitles to .srt closed captions from .xml/dfxp/ttml and .vtt/WebVTT (e.g. Netflix, YouTube)"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","KudoAI/chatgpt.js","https://github.com/KudoAI/chatgpt.js","KudoAI","JavaScript","2030","llm","0","621.32","False","0.0435","0","1","0.8982","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","🤖 A powerful, open source JavaScript library for ChatGPT"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","lybbn/django-vue-lyadmin","https://github.com/lybbn/django-vue-lyadmin","lybbn","JavaScript","69","","0","618.4","False","0.1429","0","1","0.3705","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","django vue3 python3 terminal ssh monitor crontab and other modules开箱即用后台管理系统，RABC权限控制、内置服务监控面板、终端服务webssh、微服务框架、支付第三方登录等"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","scofield7419/sequence-labeling-BiLSTM-CRF","https://github.com/scofield7419/sequence-labeling-BiLSTM-CRF","scofield7419","JavaScript","703","deep-learning","0","617.55","False","0.1","0","1","0.8717","0.6","0","0.3333","topic:nlp language:JavaScript stars:>=50","The BiLSTM-CRF model implementation in Tensorflow, for sequence labeling tasks."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","wooorm/franc","https://github.com/wooorm/franc","wooorm","JavaScript","4392","computer-vision","0","617.16","False","0.0714","0","1","0.7307","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Natural language detection"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","google/coding-with-chrome","https://github.com/google/coding-with-chrome","google","JavaScript","529","editor","0","616.76","False","0.0833","0","1","0.8101","0.8","0","0.3333","topic:python3 language:JavaScript stars:>=50","An Open Source Educational IDE."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","madlabsinc/teachcode","https://github.com/madlabsinc/teachcode","madlabsinc","JavaScript","413","reinforcement","0","613.62","False","0.0625","0","1","0.7564","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","A tool to develop and improve a student’s programming skills by introducing the earliest lessons of coding."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","jokenox/Goopt","https://github.com/jokenox/Goopt","jokenox","JavaScript","519","llm","0","608.89","False","0.0476","0","1","0.8059","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","🔍 Search Engine for a Procedural Simulation of the Web with GPT-3."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","adamlui/ai-web-extensions","https://github.com/adamlui/ai-web-extensions","adamlui","JavaScript","541","llm","0","605.11","False","0.0417","0","1","0.8149","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","🤖 AI browser extensions & userscripts to augment your web experience"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","AnyISalIn/zhihu_fun","https://github.com/AnyISalIn/zhihu_fun","AnyISalIn","JavaScript","186","","0","602.17","False","0.1111","0","1","0.5838","0.8","0","0.3333","topic:python3 language:JavaScript stars:>=50","基于 Selenium 的知乎关键词爬虫"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","adamlui/chatgpt-infinity","https://github.com/adamlui/chatgpt-infinity","adamlui","JavaScript","350","llm","0","601.1","False","0.0556","0","1","0.7206","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","∞ Generate endless answers from all-knowing ChatGPT (on any topic!)"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","axa-group/Parsr","https://github.com/axa-group/Parsr","axa-group","JavaScript","6174","computer-vision","0","599.93","False","0.0667","0","1","0.6568","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Transforms PDF, Documents and Images into Enriched Structured Data"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Williano/django-bona-blog","https://github.com/Williano/django-bona-blog","Williano","JavaScript","179","","0","590.72","False","0.1","0","1","0.5756","0.8","0","0.3333","topic:python3 language:JavaScript stars:>=50","A Django blog app with features of a standard blogging platform. "
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","axa-group/nlp.js","https://github.com/axa-group/nlp.js","axa-group","JavaScript","6563","llm","0","590.55","False","0.0588","0","1","0.6435","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","An NLP library for building bots, with entity extraction, sentiment analysis, automatic language identify, and so more"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","machineinteractive/skies-adsb","https://github.com/machineinteractive/skies-adsb","machineinteractive","JavaScript","258","","0","589.55","False","0.0556","0","1","0.6546","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","skies-adsb transforms your browser into a real-time 3D air traffic display. Using unfiltered ADS-B data from an RTL-SDR receiver, explore your local air traffic, surrounding airspace, and geography with custom 3D maps you can tailor to your needs."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","thisandagain/troll","https://github.com/thisandagain/troll","thisandagain","JavaScript","330","deep-learning","0","588.87","False","0.1","0","1","0.7078","0.6","0","0.3333","topic:nlp language:JavaScript stars:>=50","Language sentiment analysis and neural networks... for trolls."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","dair-ai/AI-Papers-of-the-Week","https://github.com/dair-ai/AI-Papers-of-the-Week","dair-ai","","12377","nlp","0","588.51","False","0.1111","0","0","0.5057","1","1","0.3333","topic:nlp stars:>=100","🔥Highlighting the top ML papers every week."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","dataqa/nlp-labelling","https://github.com/dataqa/nlp-labelling","dataqa","JavaScript","260","computer-vision","0","587.21","False","0.0526","0","1","0.6562","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","Labelling platform for text using weak supervision."
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","KudoAI/duckduckgpt","https://github.com/KudoAI/duckduckgpt","KudoAI","JavaScript","270","llm","0","584.13","False","0.0476","0","1","0.6644","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","🐤 AI chat & search summaries in DuckDuckGo, powered by the latest LLMs"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","Anodynous/stenogotchi","https://github.com/Anodynous/stenogotchi","Anodynous","JavaScript","186","","0","583.42","False","0.0625","0","1","0.5838","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","Portable stenography using Plover and bluetooth keyboard emulation on a Raspberry Pi Zero W"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14603","nlp","0","582.22","False","0.1111","0","0","0.4698","1","1","0.3333","topic:nlp stars:>=100","NLTK Source"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","jackdh/RasaTalk","https://github.com/jackdh/RasaTalk","jackdh","JavaScript","303","llm","0","580.64","False","0.0667","0","1","0.6894","0.8","0","0.3333","topic:nlp language:JavaScript stars:>=50","A chatbot framework for Rasa NLU"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","TIGMINT/TIGMINT","https://github.com/TIGMINT/TIGMINT","TIGMINT","JavaScript","256","data-science","0","580.17","False","0.0455","0","1","0.6529","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","TIGMINT: OSINT (Open Source Intelligence) GUI software framework"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","victorqribeiro/hntitlenator","https://github.com/victorqribeiro/hntitlenator","victorqribeiro","JavaScript","181","deep-learning","0","576.14","False","0.1111","0","1","0.578","0.6","0","0.3333","topic:nlp language:JavaScript stars:>=50","Test your HN title against a neural network"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","KarchinLab/open-cravat","https://github.com/KarchinLab/open-cravat","KarchinLab","JavaScript","151","mlops","0","575.55","False","0.0625","0","1","0.5388","1","0","0.3333","topic:python3 language:JavaScript stars:>=50","A modular annotation tool for genomic variants"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","linmp/flash-card","https://github.com/linmp/flash-card","linmp","JavaScript","118","","0","575","False","0.1","0","1","0.4857","0.8","0","0.3333","topic:python3 language:JavaScript stars:>=50","An Open Source Study App that developed with Flask and MiniProgram.记忆手卡小程序开源 【FLask + 微信小程序】(记忆卡片)(学习类App)|(入门项目)(flask项目)(有接口文档)"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","luxuantao/car_knowledge_graph","https://github.com/luxuantao/car_knowledge_graph","luxuantao","JavaScript","87","","0","573.53","False","0.1111","0","1","0.4202","0.8","0","0.3333","topic:python3 language:JavaScript stars:>=50","汽车知识图谱"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","KudoAI/bravegpt","https://github.com/KudoAI/bravegpt","KudoAI","JavaScript","209","llm","0","570.71","False","0.0435","0","1","0.609","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","🦁 AI chat & search summaries in Brave Search, powered by the latest LLMs"
"YeYzheng/KGQA-Based-On-medicine","https://github.com/YeYzheng/KGQA-Based-On-medicine","adamlui/chatgpt-widescreen","https://github.com/adamlui/chatgpt-widescreen","adamlui","JavaScript","199","llm","0","570.64","False","0.0455","0","1","0.5984","1","0","0.3333","topic:nlp language:JavaScript stars:>=50","🖥️ Award-winning extension to enhance ChatGPT with wide/full/tall-screen + spamblock modes. Also works on poe.com!"
