"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"adbar/trafilatura","https://github.com/adbar/trafilatura","opendatalab/MinerU-HTML","https://github.com/opendatalab/MinerU-HTML","opendatalab","Python","239","llm","1","1039.92","True","0.3182","0","1","0.306","1","1","0.6667","topic:article-extractor language:Python stars:>=50 | topic:corpus-tools language:Python stars:>=50","MinerU-HTML: An SLM-powered HTML main content extractor that outputs clean HTML bodies. Perfect for Deep Research Agents, RAG applications, and training data generation."
"adbar/trafilatura","https://github.com/adbar/trafilatura","datawhalechina/hello-agents","https://github.com/datawhalechina/hello-agents","datawhalechina","Python","42276","llm","2","831.74","False","0.0909","0","1","0.571","1","1","0.3333","topic:llm stars:>=100","📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程"
"adbar/trafilatura","https://github.com/adbar/trafilatura","2noise/ChatTTS","https://github.com/2noise/ChatTTS","2noise","Python","39192","llm","3","827.8","False","0.0278","0","1","0.5875","1","1","0.6667","t language:Python stars:>=50 | topic:llm stars:>=100","A generative speech model for daily dialogue."
"adbar/trafilatura","https://github.com/adbar/trafilatura","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33758","llm","4","825.14","False","0.0741","0","1","0.6199","1","1","0.3333","topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"adbar/trafilatura","https://github.com/adbar/trafilatura","HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34683","llm","5","824.12","False","0.0741","0","1","0.614","1","1","0.3333","topic:llm stars:>=100","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
"adbar/trafilatura","https://github.com/adbar/trafilatura","TheR1D/shell_gpt","https://github.com/TheR1D/shell_gpt","TheR1D","Python","12034","llm","6","823.39","False","0.0286","0","1","0.8438","1","1","0.3333","command-line language:Python stars:>=50","A command-line productivity tool powered by AI large language models like GPT-5, will help you accomplish your tasks faster and more efficiently."
"adbar/trafilatura","https://github.com/adbar/trafilatura","TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","TauricResearch","Python","63711","llm","7","821.84","False","0.0417","0","1","0.4819","1","1","0.6667","t language:Python stars:>=50 | topic:llm stars:>=100","TradingAgents: Multi-Agents LLM Financial Trading Framework"
"adbar/trafilatura","https://github.com/adbar/trafilatura","s3tools/s3cmd","https://github.com/s3tools/s3cmd","s3tools","Python","4880","llm","8","818.03","False","0","0","1","0.9602","1","1","0.3333","command-line language:Python stars:>=50","Official s3cmd repo -- Command line tool for managing S3 compatible storage services (including Amazon S3 and CloudFront)."
"adbar/trafilatura","https://github.com/adbar/trafilatura","google/langextract","https://github.com/google/langextract","google","Python","36357","llm","9","817.73","False","0.069","0","1","0.6038","1","1","0.3333","topic:llm stars:>=100","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization."
"adbar/trafilatura","https://github.com/adbar/trafilatura","sansan0/TrendRadar","https://github.com/sansan0/TrendRadar","sansan0","Python","56133","llm","10","814.87","False","0.0286","0","1","0.5094","1","1","0.6667","t language:Python stars:>=50 | topic:llm stars:>=100","⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。"
