"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","False","False","12/27/2018 11:58:12 PM","5/2/2026 9:20:14 AM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:deeplearning language:Python stars:>=50"
"kekmodel/FixMatch-pytorch","https://github.com/kekmodel/FixMatch-pytorch","kekmodel","Python","797","False","False","1/30/2020 1:28:11 AM","5/1/2026 8:45:11 AM","Unofficial PyTorch implementation of ""FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence""","deeplearning;fixmatch;pytorch;randaugment;semi-supervised-learning","topic:deeplearning language:Python stars:>=50"
"chonyy/apriori_python","https://github.com/chonyy/apriori_python","chonyy","Python","68","False","False","10/25/2020 3:02:13 PM","4/30/2026 7:25:06 PM","🔨 Python implementation of Apriori algorithm, new and simple!","algorithms;apriori;apriori-algorithm;data-mining;frequent-pattern-mining;python","topic:apriori language:Python stars:>=50"
"Comfy-Org/ComfyUI","https://github.com/Comfy-Org/ComfyUI","Comfy-Org","Python","111126","False","False","1/17/2023 3:15:56 AM","5/3/2026 8:14:33 AM","The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","ai;comfy;comfyui;python;pytorch;stable-diffusion","a language:Python stars:>=50"
"Aider-AI/aider","https://github.com/Aider-AI/aider","Aider-AI","Python","44264","False","False","5/9/2023 6:57:49 PM","5/3/2026 8:14:07 AM","aider is AI pair programming in your terminal","anthropic;chatgpt;claude-3;cli;command-line;gemini;gpt-3;gpt-35-turbo;gpt-4;gpt-4o;llama;openai;sonnet","a language:Python stars:>=50"
"itdxer/neupy","https://github.com/itdxer/neupy","itdxer","Python","736","False","False","8/24/2015 7:45:11 PM","4/18/2026 3:49:26 PM","NeuPy is a Tensorflow based python library for prototyping and building neural networks","artificial-neural-networks;boltzmann-machine;deep-learning;deep-neural-networks;deeplearning;hopfield;lvq;neupy;neural-network;pnn;rbm;sofm;som;tensorflow","topic:deeplearning language:Python stars:>=50"
"TorchEnsemble-Community/Ensemble-Pytorch","https://github.com/TorchEnsemble-Community/Ensemble-Pytorch","TorchEnsemble-Community","Python","1040","False","False","9/11/2019 11:44:58 AM","4/30/2026 6:41:29 PM","A unified ensemble framework for PyTorch to improve the performance and robustness of your deep learning model.","bagging;deep-learning;deeplearning;ensemble;ensemble-learning;gradient-boosting;neural-networks;pytorch;pytorch-tutorial;voting-classifier","topic:deeplearning language:Python stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38297","False","False","11/28/2022 2:08:44 PM","5/3/2026 8:12:42 AM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:deep-learning stars:>=100"
"mli/paper-reading","https://github.com/mli/paper-reading","mli","","32949","False","False","10/22/2021 6:34:51 AM","5/3/2026 7:21:07 AM","深度学习经典、新论文逐段精读","deep-learning;paper;reading-list","topic:deep-learning stars:>=100"
"ayoolaolafenwa/PixelLib","https://github.com/ayoolaolafenwa/PixelLib","ayoolaolafenwa","Python","1072","False","False","4/12/2020 12:07:34 PM","4/9/2026 10:34:58 AM","Visit PixelLib's official documentation  https://pixellib.readthedocs.io/en/latest/","artificial-intelligence;computer-vision;convolutional-neural-networks;deep-learning;deeplab;deeplearning;image-segmentation;instance-segmentation;machine-learning;maskr-cnn;object-detection;pointrend;pytorch;segmentation;semantic-segmentation;tensorflow;video-segmentation","topic:deeplearning language:Python stars:>=50"
"jingyaogong/minimind","https://github.com/jingyaogong/minimind","jingyaogong","Python","48750","False","False","7/27/2024 4:34:12 AM","5/3/2026 8:02:02 AM","🚀 「大模型」2小时完全从0训练64M的小参数LLM！🌏 Train a 64M-parameter LLM from scratch in just 2h!","artificial-intelligence;large-language-model","a language:Python stars:>=50"
