"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"apachecn/ailearning","https://github.com/apachecn/ailearning","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44428","deep-learning","1","906.4","True","0.037","0","1","0.9889","1","1","0.6667","a language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"apachecn/ailearning","https://github.com/apachecn/ailearning","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59708","deep-learning","2","897.83","False","0.04","0","1","0.9247","1","1","0.6667","a language:Python stars:>=50 | topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"apachecn/ailearning","https://github.com/apachecn/ailearning","coqui-ai/TTS","https://github.com/coqui-ai/TTS","coqui-ai","Python","45208","deep-learning","3","896.09","False","0.0263","0","1","0.9852","1","1","0.6667","a language:Python stars:>=50 | topic:deep-learning stars:>=100","🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production"
"apachecn/ailearning","https://github.com/apachecn/ailearning","deepfakes/faceswap","https://github.com/deepfakes/faceswap","deepfakes","Python","55203","deep-learning","4","892.08","False","0.0303","0","1","0.9418","1","1","0.6667","topic:deeplearning language:Python stars:>=50 | topic:deep-learning stars:>=100","Deepfakes Software For All"
"apachecn/ailearning","https://github.com/apachecn/ailearning","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42238","deep-learning","5","874.98","False","0","0","1","0.9999","1","1","0.6667","a language:Python stars:>=50 | topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"apachecn/ailearning","https://github.com/apachecn/ailearning","hpcaitech/ColossalAI","https://github.com/hpcaitech/ColossalAI","hpcaitech","Python","41374","deep-learning","6","874.23","False","0","0","1","0.9956","1","1","0.6667","a language:Python stars:>=50 | topic:deep-learning stars:>=100","Making large AI models cheaper, faster and more accessible"
"apachecn/ailearning","https://github.com/apachecn/ailearning","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33539","deep-learning","7","867.68","False","0.0571","0","1","0.95","1","1","0.3333","topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"apachecn/ailearning","https://github.com/apachecn/ailearning","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29389","deep-learning","8","865.78","False","0.0606","0","1","0.9213","1","1","0.3333","topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"apachecn/ailearning","https://github.com/apachecn/ailearning","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42486","deep-learning","9","852.03","False","0.0303","0","1","0.9986","1","1","0.3333","topic:deep-learning stars:>=100","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
"apachecn/ailearning","https://github.com/apachecn/ailearning","microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41867","deep-learning","10","849","False","0.027","0","1","0.9982","1","1","0.3333","topic:deep-learning stars:>=100","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
"apachecn/ailearning","https://github.com/apachecn/ailearning","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31102","deep-learning","11","848","False","0.0385","0","1","0.9336","1","1","0.3333","topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"apachecn/ailearning","https://github.com/apachecn/ailearning","Jack-Cherish/PythonPark","https://github.com/Jack-Cherish/PythonPark","Jack-Cherish","Python","11410","deep-learning","12","847.28","False","0.08","0","1","0.7159","1","1","0.3333","topic:deeplearning language:Python stars:>=50","Python 开源项目之「自学编程之路」，保姆级教程：AI实验室、宝藏视频、数据结构、学习指南、机器学习实战、深度学习实战、网络爬虫、大厂面经、程序人生、资源分享。"
"apachecn/ailearning","https://github.com/apachecn/ailearning","OpenBMB/VoxCPM","https://github.com/OpenBMB/VoxCPM","OpenBMB","Python","17070","deep-learning","13","846.84","False","0.0625","0","1","0.8034","1","1","0.3333","topic:deeplearning language:Python stars:>=50","VoxCPM2: Tokenizer-Free TTS for Multilingual Speech Generation, Creative Voice Design, and True-to-Life Cloning"
"apachecn/ailearning","https://github.com/apachecn/ailearning","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38297","deep-learning","14","844.98","False","0.0263","0","1","0.9788","1","1","0.3333","topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"apachecn/ailearning","https://github.com/apachecn/ailearning","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64059","deep-learning","15","842.49","False","0.037","0","1","0.9095","1","1","0.3333","topic:deep-learning stars:>=100","Deep Learning for humans"
"apachecn/ailearning","https://github.com/apachecn/ailearning","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56692","deep-learning","16","836.88","False","0.0256","0","1","0.936","1","1","0.3333","topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"apachecn/ailearning","https://github.com/apachecn/ailearning","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77593","deep-learning","17","835.21","False","0.037","0","1","0.8679","1","1","0.3333","topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"apachecn/ailearning","https://github.com/apachecn/ailearning","pytorch/pytorch","https://github.com/pytorch/pytorch","pytorch","Python","99593","deep-learning","18","825.72","False","0.037","0","1","0.8137","1","1","0.3333","topic:deep-learning stars:>=100","Tensors and Dynamic neural networks in Python with strong GPU acceleration"
"apachecn/ailearning","https://github.com/apachecn/ailearning","Comfy-Org/ComfyUI","https://github.com/Comfy-Org/ComfyUI","Comfy-Org","Python","111126","deep-learning","19","824.23","False","0.04","0","1","0.7899","1","1","0.3333","a language:Python stars:>=50","The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
"apachecn/ailearning","https://github.com/apachecn/ailearning","NVIDIA-NeMo/NeMo","https://github.com/NVIDIA-NeMo/NeMo","NVIDIA-NeMo","Python","17163","deep-learning","20","821.83","False","0.0345","0","1","0.8045","1","1","0.3333","topic:deeplearning language:Python stars:>=50","A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)"
"apachecn/ailearning","https://github.com/apachecn/ailearning","TencentARC/GFPGAN","https://github.com/TencentARC/GFPGAN","TencentARC","Python","37443","deep-learning","21","820.44","False","0","0","1","0.9739","1","1","0.3333","topic:deep-learning stars:>=100","GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration."
"apachecn/ailearning","https://github.com/apachecn/ailearning","babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","deep-learning","22","819.88","False","0","0","1","0.9708","1","1","0.3333","topic:deep-learning stars:>=100","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"apachecn/ailearning","https://github.com/apachecn/ailearning","huggingface/diffusers","https://github.com/huggingface/diffusers","huggingface","Python","33524","deep-learning","23","816.24","False","0","0","1","0.9499","1","1","0.3333","topic:deep-learning stars:>=100","🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch."
"apachecn/ailearning","https://github.com/apachecn/ailearning","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31410","deep-learning","24","813.76","False","0","0","1","0.9358","1","1","0.3333","topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"apachecn/ailearning","https://github.com/apachecn/ailearning","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57329","deep-learning","25","813.38","False","0","0","1","0.9336","1","1","0.3333","topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite"
"apachecn/ailearning","https://github.com/apachecn/ailearning","horovod/horovod","https://github.com/horovod/horovod","horovod","Python","14690","deep-learning","26","813.01","False","0.0312","0","1","0.7708","1","1","0.3333","topic:deeplearning language:Python stars:>=50","Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet."
"apachecn/ailearning","https://github.com/apachecn/ailearning","hoya012/deep_learning_object_detection","https://github.com/hoya012/deep_learning_object_detection","hoya012","Python","11403","deep-learning","27","812.76","False","0.0417","0","1","0.7158","1","1","0.3333","topic:deeplearning language:Python stars:>=50","A paper list of object detection using deep learning."
"apachecn/ailearning","https://github.com/apachecn/ailearning","abdulfatir/twitter-sentiment-analysis","https://github.com/abdulfatir/twitter-sentiment-analysis","abdulfatir","Python","1643","deep-learning","28","809.66","False","0.12","0","1","0.2952","1","1","0.3333","topic:deeplearning language:Python stars:>=50","Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
"apachecn/ailearning","https://github.com/apachecn/ailearning","ClimbsRocks/auto_ml","https://github.com/ClimbsRocks/auto_ml","ClimbsRocks","Python","1654","deep-learning","29","774.88","False","0.0811","0","1","0.2966","1","1","0.3333","topic:deeplearning language:Python stars:>=50","[UNMAINTAINED] Automated machine learning for analytics & production"
"apachecn/ailearning","https://github.com/apachecn/ailearning","AUTOMATIC1111/stable-diffusion-webui","https://github.com/AUTOMATIC1111/stable-diffusion-webui","AUTOMATIC1111","Python","162698","deep-learning","30","773.74","False","0","0","1","0.7071","1","1","0.3333","topic:deep-learning stars:>=100","Stable Diffusion web UI"
"apachecn/ailearning","https://github.com/apachecn/ailearning","zlxy9892/ml_code","https://github.com/zlxy9892/ml_code","zlxy9892","Python","95","deep-learning","0","758.82","False","0.1765","0","1","0","0.6","1","0.3333","topic:apriori language:Python stars:>=50","A repository for recording the machine learning code"
"apachecn/ailearning","https://github.com/apachecn/ailearning","pygod-team/pygod","https://github.com/pygod-team/pygod","pygod-team","Python","1493","deep-learning","0","756.09","False","0.0645","0","1","0.2744","1","1","0.3333","topic:deeplearning language:Python stars:>=50","A Python Library for Graph Outlier Detection (Anomaly Detection)"
"apachecn/ailearning","https://github.com/apachecn/ailearning","kaonashi-tyc/zi2zi","https://github.com/kaonashi-tyc/zi2zi","kaonashi-tyc","Python","2732","deep-learning","0","753.11","False","0.0357","0","1","0.4056","1","1","0.3333","topic:deeplearning language:Python stars:>=50","Learning Chinese Character style with conditional GAN"
