"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","thammegowda/nllb-serve","https://github.com/thammegowda/nllb-serve","thammegowda","Python","259","llm","1","1106.19","True","0.4444","0","1","0.3211","1","1","0.3333","topic:machine-translation language:Python stars:>=50","Meta's ""No Language Left Behind"" models served as web app and REST API"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","cli99/llm-analysis","https://github.com/cli99/llm-analysis","cli99","Python","486","llm","2","955.04","True","0.25","0","1","0.4574","1","1","0.3333","topic:language-models language:Python stars:>=50","Latency and Memory Analysis of Transformer Models for Training and Inference"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","webis-de/small-text","https://github.com/webis-de/small-text","webis-de","Python","640","llm","3","952.25","True","0.2353","0","1","0.517","1","1","0.3333","topic:language-models language:Python stars:>=50","Active Learning for Text Classification in Python"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","sign-language-translator/sign-language-translator","https://github.com/sign-language-translator/sign-language-translator","sign-language-translator","Python","349","llm","4","951.38","True","0.2174","0.0588","1","0.3857","1","1","0.3333","topic:language-models language:Python stars:>=50","Python library & framework to build custom translators for the hearing-impaired and translate between Sign Language & Text using Artificial Intelligence."
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","EricFillion/happy-transformer","https://github.com/EricFillion/happy-transformer","EricFillion","Python","546","llm","5","946.22","True","0.2353","0","1","0.4826","1","1","0.3333","topic:language-models language:Python stars:>=50","Happy Transformer makes it easy to fine-tune and perform inference with  NLP Transformer models.  "
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","kennethleungty/Llama-2-Open-Source-LLM-CPU-Inference","https://github.com/kennethleungty/Llama-2-Open-Source-LLM-CPU-Inference","kennethleungty","Python","976","llm","6","944.73","True","0.1667","0.0588","1","0.6086","1","1","0.3333","topic:language-models language:Python stars:>=50","Running Llama 2 and other Open-Source LLMs on CPU Inference Locally for Document Q&A"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","tensorflow/lingvo","https://github.com/tensorflow/lingvo","tensorflow","Python","2864","llm","7","920.11","True","0.1364","0","1","0.8422","1","1","0.3333","topic:machine-translation language:Python stars:>=50","Lingvo"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","allenai/RL4LMs","https://github.com/allenai/RL4LMs","allenai","Python","2387","llm","8","910.46","True","0.1333","0","1","0.8026","1","1","0.3333","topic:machine-translation language:Python stars:>=50","A modular RL library to fine-tune language models to human preferences"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","zyddnys/manga-image-translator","https://github.com/zyddnys/manga-image-translator","zyddnys","Python","9826","llm","9","893.12","False","0.0455","0.0714","1","0.8902","1","1","0.3333","topic:machine-translation language:Python stars:>=50","Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/ (no longer working)"
"argosopentech/argos-translate","https://github.com/argosopentech/argos-translate","donnemartin/dev-setup","https://github.com/donnemartin/dev-setup","donnemartin","Python","6262","llm","10","892.13","False","0.0769","0","1","0.988","1","1","0.3333","topic:linux language:Python stars:>=50","macOS development environment setup:  Easy-to-understand instructions with automated setup scripts for developer tools like Vim, Sublime Text, Bash, iTerm, Python data analysis, Spark, Hadoop MapReduce, AWS, Heroku, JavaScript web development, Android development, common data stores, and dev-based OS X defaults."
