"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"brightmart/text_classification","https://github.com/brightmart/text_classification","gaussic/text-classification-cnn-rnn","https://github.com/gaussic/text-classification-cnn-rnn","gaussic","Python","4299","deep-learning","1","1068.84","True","0.1765","0.1667","1","0.8667","1","1","0.3333","topic:classification language:Python stars:>=50","CNN-RNN中文文本分类，基于TensorFlow"
"brightmart/text_classification","https://github.com/brightmart/text_classification","WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26228","deep-learning","2","976.97","True","0.0526","0.2308","1","0.7406","1","1","0.3333","topic:classification language:Python stars:>=50","deep learning for image processing including classification and object-detection etc."
"brightmart/text_classification","https://github.com/brightmart/text_classification","kk7nc/Text_Classification","https://github.com/kk7nc/Text_Classification","kk7nc","Python","1830","deep-learning","3","957.3","True","0.0645","0.2","1","0.6814","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","Text Classification Algorithms: A Survey"
"brightmart/text_classification","https://github.com/brightmart/text_classification","richliao/textClassifier","https://github.com/richliao/textClassifier","richliao","Python","1080","deep-learning","4","954.21","True","0.2","0","1","0.5669","0.8","1","0.6667","topic:attention-mechanism language:Python stars:>=50 | topic:convolutional-neural-networks language:Python stars:>=50","Text classifier for Hierarchical Attention Networks for Document Classification "
"brightmart/text_classification","https://github.com/brightmart/text_classification","charlesq34/pointnet","https://github.com/charlesq34/pointnet","charlesq34","Python","5405","deep-learning","5","916.26","True","0.1176","0","1","0.9164","1","1","0.3333","topic:classification language:Python stars:>=50","PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation"
"brightmart/text_classification","https://github.com/brightmart/text_classification","vlawhern/arl-eegmodels","https://github.com/vlawhern/arl-eegmodels","vlawhern","Python","1515","deep-learning","6","906.87","True","0.0952","0.0909","1","0.6404","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","This is the Army Research Laboratory (ARL) EEGModels Project: A Collection of Convolutional Neural Network (CNN) models for EEG signal classification, using Keras and Tensorflow"
"brightmart/text_classification","https://github.com/brightmart/text_classification","azavea/raster-vision","https://github.com/azavea/raster-vision","azavea","Python","2218","deep-learning","7","906.06","True","0.0476","0.1333","1","0.7231","1","1","0.3333","topic:classification language:Python stars:>=50","An open source library and framework for deep learning on satellite and aerial imagery."
"brightmart/text_classification","https://github.com/brightmart/text_classification","harvitronix/five-video-classification-methods","https://github.com/harvitronix/five-video-classification-methods","harvitronix","Python","1184","deep-learning","8","903.44","True","0.125","0.0588","1","0.5869","1","1","0.3333","topic:classification language:Python stars:>=50","Code that accompanies my blog post outlining five video classification methods in Keras and TensorFlow"
"brightmart/text_classification","https://github.com/brightmart/text_classification","PetarV-/GAT","https://github.com/PetarV-/GAT","PetarV-","Python","3526","deep-learning","9","900.03","True","0.1176","0","1","0.8237","1","1","0.3333","topic:attention-mechanism language:Python stars:>=50","Graph Attention Networks (https://arxiv.org/abs/1710.10903)"
"brightmart/text_classification","https://github.com/brightmart/text_classification","mbadry1/Top-Deep-Learning","https://github.com/mbadry1/Top-Deep-Learning","mbadry1","Python","1767","deep-learning","10","895.48","False","0.0455","0.1333","1","0.6737","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50"," Top 200 deep learning Github repositories sorted by the number of stars."
