"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"jsvine/pdfplumber","https://github.com/jsvine/pdfplumber","jsvine","Python","10207","False","False","8/24/2015 3:14:48 AM","5/3/2026 8:19:23 AM","Plumb a PDF for detailed information about each char, rectangle, line, et cetera — and easily extract text and tables.","pdf;pdf-parsing;table-extraction","text language:Python stars:>=50"
"ozan-oktay/Attention-Gated-Networks","https://github.com/ozan-oktay/Attention-Gated-Networks","ozan-oktay","Python","2055","False","False","4/2/2018 9:50:07 PM","5/1/2026 6:31:18 PM","Use of Attention Gates in a Convolutional Neural Network / Medical Image Classification and Segmentation","attention-gates;attention-model;convolutional-neural-networks;image-classification;image-segmentation","topic:convolutional-neural-networks language:Python stars:>=50"
"borisdayma/dalle-mini","https://github.com/borisdayma/dalle-mini","borisdayma","Python","14770","False","False","7/3/2021 6:04:37 PM","5/2/2026 3:41:19 PM","DALL·E Mini - Generate images from a text prompt","","text language:Python stars:>=50"
"ashawkey/stable-dreamfusion","https://github.com/ashawkey/stable-dreamfusion","ashawkey","Python","8831","False","False","10/6/2022 6:18:39 AM","5/2/2026 2:37:41 PM","Text-to-3D & Image-to-3D & Mesh Exportation with NeRF + Diffusion.","dreamfusion;gui;image-to-3d;nerf;stable-diffusion;text-to-3d","text language:Python stars:>=50"
"SuperBruceJia/EEG-DL","https://github.com/SuperBruceJia/EEG-DL","SuperBruceJia","Python","1153","False","False","4/30/2020 5:12:40 AM","4/29/2026 7:17:14 PM","A Deep Learning library for EEG Tasks (Signals) Classification, based on TensorFlow.","attention-mechanism;cnn;deep-learning;densenet;eeg-classification;eeg-data;eeg-signals-processing;fully-convolutional-networks;gcn;graph-convolutional-neural-networks;gru;lstm;motor-imagery-classification;one-shot-learning;residual-learning;resnet;rnn;tensorflow;transformer;transformers","topic:attention-mechanism language:Python stars:>=50"
"dgtlmoon/changedetection.io","https://github.com/dgtlmoon/changedetection.io","dgtlmoon","Python","31322","False","False","1/27/2021 4:03:30 PM","5/3/2026 3:08:28 AM","Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monitoring—all for free or enjoy our SaaS plan!","back-in-stock;change-alert;change-detection;change-monitoring;monitoring;notifications;restock-monitor;rss;self-hosted;url-monitor;web-scraping;website-change-detection;website-change-detector;website-change-monitor;website-change-notification;website-change-tracker;website-defacement-monitoring;website-monitor;website-monitoring;website-watcher","all language:Python stars:>=50"
"skypilot-org/skypilot","https://github.com/skypilot-org/skypilot","skypilot-org","Python","9924","False","False","8/11/2021 11:32:15 PM","5/3/2026 3:12:12 AM","Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, Slurm, 20+ clouds, on-prem).","cloud-computing;cloud-management;cost-optimization;deep-learning;distributed-training;gpu;hyperparameter-tuning;job-queue;job-scheduler;llm-serving;llm-training;machine-learning;ml-infrastructure;ml-platform;mlops;multicloud;slurm;spot-instances;tpu","all language:Python stars:>=50"
"myshell-ai/MeloTTS","https://github.com/myshell-ai/MeloTTS","myshell-ai","Python","7389","False","False","2/19/2024 4:49:14 PM","5/3/2026 5:30:41 AM","High-quality multi-lingual text-to-speech library by MyShell.ai. Support English, Spanish, French, Chinese, Japanese and Korean.","chinese;english;french;japanese;korean;multilingual;spanish;text-to-speech;tts","text language:Python stars:>=50"
"OptimalScale/LMFlow","https://github.com/OptimalScale/LMFlow","OptimalScale","Python","8486","False","False","3/27/2023 1:56:29 PM","5/2/2026 1:34:33 PM","An Extensible Toolkit for Finetuning and Inference of Large Foundation Models. Large Models for All.","chatgpt;deep-learning;instruction-following;language-model;pretrained-models;pytorch;transformer","all language:Python stars:>=50"
"NVIDIA-NeMo/NeMo","https://github.com/NVIDIA-NeMo/NeMo","NVIDIA-NeMo","Python","17163","False","False","8/5/2019 8:16:42 PM","5/3/2026 7:37:55 AM","A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","asr;deeplearning;generative-ai;machine-translation;neural-networks;speaker-diariazation;speaker-recognition;speech-synthesis;speech-translation;tts","text language:Python stars:>=50"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","jadore801120","Python","9713","False","False","6/14/2017 10:15:20 AM","5/3/2026 7:08:59 AM","A PyTorch implementation of the Transformer model in ""Attention is All You Need"".","attention;attention-is-all-you-need;deep-learning;natural-language-processing;nlp;pytorch","all language:Python stars:>=50"
"Canjie-Luo/MORAN_v2","https://github.com/Canjie-Luo/MORAN_v2","Canjie-Luo","Python","650","False","False","1/9/2019 2:43:29 AM","4/16/2026 7:29:56 PM","MORAN: A Multi-Object Rectified Attention Network for Scene Text Recognition","attention-mechanism;image-deformation;image-rectification;scene-text;scene-text-recognition","topic:attention-mechanism language:Python stars:>=50"
"bjoernkarmann/project_alias","https://github.com/bjoernkarmann/project_alias","bjoernkarmann","Python","1700","False","False","5/15/2018 9:16:07 PM","4/13/2026 2:07:44 PM","Alias is a teachable “parasite” that is designed to give users more control over their smart assistants, both when it comes to customisation and privacy. Through a simple app the user can train Alias to react on a custom wake-word/sound, and once trained, Alias can take control over your home assistant by activating it for you.","alias;classification;hack;machine-learning;microphone;raspberry-pi;smarthome;sound-synthesis;speech-recognition;wakeword","topic:classification language:Python stars:>=50"
"LargeWorldModel/LWM","https://github.com/LargeWorldModel/LWM","LargeWorldModel","Python","7408","False","False","2/8/2024 4:16:42 AM","5/2/2026 10:01:41 AM","Large World Model -- Modeling Text and Video with Millions Context","","text language:Python stars:>=50"
"mbadry1/Top-Deep-Learning","https://github.com/mbadry1/Top-Deep-Learning","mbadry1","Python","1767","False","False","3/16/2018 12:57:51 AM","4/20/2026 12:48:48 AM"," Top 200 deep learning Github repositories sorted by the number of stars.","artificial-intelligence;artificial-neural-networks;convolutional-neural-networks;deep-learning;deep-neural-networks;deep-reinforcement-learning;machine-learning;recurrent-neural-networks;stargazers-count;top-repositories","topic:convolutional-neural-networks language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38046","False","False","6/24/2015 2:49:52 AM","5/3/2026 1:33:18 AM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"vietnh1009/ASCII-generator","https://github.com/vietnh1009/ASCII-generator","vietnh1009","Python","8238","False","False","1/31/2019 6:13:58 PM","5/2/2026 10:11:40 AM","ASCII generator (image to text, image to image, video to video)","ascii;ascii-art;ascii-generator;character-ascii;cv2;opencv;pil;python;python3","text language:Python stars:>=50"
"yinguobing/head-pose-estimation","https://github.com/yinguobing/head-pose-estimation","yinguobing","Python","1348","False","False","12/27/2017 7:23:35 AM","5/2/2026 12:39:03 PM","Realtime human head pose estimation with ONNXRuntime and OpenCV.","convolutional-neural-networks;deep-learning;facial-landmarks-detection;onnxruntime;opencv;tensorflow","topic:convolutional-neural-networks language:Python stars:>=50"
"ZuzooVn/machine-learning-for-software-engineers","https://github.com/ZuzooVn/machine-learning-for-software-engineers","ZuzooVn","","28760","False","False","10/9/2016 9:20:25 PM","5/3/2026 4:19:14 AM","A complete daily plan for studying to become a machine learning engineer.","artificial-intelligence;deep-learning;machine-learning;machine-learning-algorithms;software-engineer","topic:deep-learning stars:>=100"
"open-mmlab/mmrazor","https://github.com/open-mmlab/mmrazor","open-mmlab","Python","1670","False","False","12/22/2021 4:29:24 PM","5/2/2026 5:42:17 AM","OpenMMLab Model Compression Toolbox and Benchmark.","autoslim;classification;darts;detection;knowledge-distillation;nas;pruning;pytorch;quantization;segmentation;spos","topic:classification language:Python stars:>=50"
"lucidrains/lambda-networks","https://github.com/lucidrains/lambda-networks","lucidrains","Python","1526","False","False","10/8/2020 7:01:15 PM","4/28/2026 8:23:38 AM","Implementation of LambdaNetworks, a new approach to image recognition that reaches SOTA with less compute","artificial-intelligence;attention;attention-mechanism;computer-vision;deep-learning","topic:attention-mechanism language:Python stars:>=50"
