"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","snipsco/snips-nlu","https://github.com/snipsco/snips-nlu","snipsco","Python","3966","llm","1","1020.79","True","0.2414","0","1","0.8774","1","1","0.3333","topic:bot language:Python stars:>=50","Snips Python library to extract meaning from text"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21482","llm","2","1012.26","True","0.2","0","1","0.7558","1","1","0.6667","topic:artificial-intelligence language:Python stars:>=50 | d language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","tensorlayer/TensorLayer","https://github.com/tensorlayer/TensorLayer","tensorlayer","Python","7390","llm","3","935.31","True","0.125","0","1","0.9875","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Deep Learning and Reinforcement Learning Library for Scientists and Engineers "
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","Lightning-AI/litgpt","https://github.com/Lightning-AI/litgpt","Lightning-AI","Python","13337","llm","4","912.88","True","0.125","0","1","0.8593","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale."
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","sfyc23/EverydayWechat","https://github.com/sfyc23/EverydayWechat","sfyc23","Python","10295","llm","5","910.21","True","0.1111","0","1","0.9155","1","1","0.3333","topic:bot language:Python stars:>=50","微信助手：1.每日定时给好友（女友）发送定制消息。2.机器人自动回复好友。3.群助手功能（例如：查询垃圾分类、天气、日历、电影实时票房、快递物流、PM2.5等）"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","gunthercox/ChatterBot","https://github.com/gunthercox/ChatterBot","gunthercox","Python","14489","llm","6","909.73","True","0.125","0","1","0.8413","1","1","0.3333","topic:bot language:Python stars:>=50","ChatterBot is a machine learning, conversational dialog engine for creating chat bots"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","kyegomez/swarms","https://github.com/kyegomez/swarms","kyegomez","Python","6601","llm","7","900.04","True","0.0857","0","1","0.988","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework. Website: https://swarms.ai"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33756","llm","8","897.23","False","0.0357","0","1","0.6577","1","1","1","topic:ai language:Python stars:>=50 | d language:Python stars:>=50 | topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","lucidrains/PaLM-rlhf-pytorch","https://github.com/lucidrains/PaLM-rlhf-pytorch","lucidrains","Python","7868","llm","9","895.43","False","0.0833","0","1","0.9739","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","nebuly-ai/optimate","https://github.com/nebuly-ai/optimate","nebuly-ai","Python","8349","llm","10","893.17","False","0.0833","0","1","0.961","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","A collection of libraries to optimise AI model performances"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","SciPhi-AI/R2R","https://github.com/SciPhi-AI/R2R","SciPhi-AI","Python","7795","llm","11","890.01","False","0.0769","0","1","0.9759","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","SoTA production-ready AI retrieval system. Agentic Retrieval-Augmented Generation (RAG) with a RESTful API."
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","RayVentura/ShortGPT","https://github.com/RayVentura/ShortGPT","RayVentura","Python","7306","llm","12","887.53","False","0.0714","0","1","0.99","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","🚀🎬 ShortGPT - Experimental AI framework for youtube shorts / tiktok channel automation"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50809","llm","13","885.55","False","0.04","0","1","0.5689","1","1","1","topic:ai language:Python stars:>=50 | open language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","nonebot/nonebot2","https://github.com/nonebot/nonebot2","nonebot","Python","7492","llm","14","878.54","False","0.0625","0","1","0.9845","1","1","0.3333","topic:bot language:Python stars:>=50","跨平台 Python 异步聊天机器人框架 / Asynchronous multi-platform chatbot framework written in Python"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","Cog-Creators/Red-DiscordBot","https://github.com/Cog-Creators/Red-DiscordBot","Cog-Creators","Python","5522","llm","15","878.19","False","0.069","0","1","0.9493","1","1","0.3333","topic:bot language:Python stars:>=50","A multi-function Discord bot"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","LAION-AI/Open-Assistant","https://github.com/LAION-AI/Open-Assistant","LAION-AI","Python","37408","llm","16","877.85","False","0.0741","0","1","0.6353","1","1","0.6667","topic:ai language:Python stars:>=50 | open language:Python stars:>=50","OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so."
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25693","llm","17","875.46","False","0.0556","0","1","0.7169","1","1","0.6667","topic:ai language:Python stars:>=50 | open language:Python stars:>=50","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data."
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","Alibaba-NLP/DeepResearch","https://github.com/Alibaba-NLP/DeepResearch","Alibaba-NLP","Python","18782","llm","18","869.51","False","0.0357","0","1","0.785","1","1","0.6667","topic:artificial-intelligence language:Python stars:>=50 | d language:Python stars:>=50","Tongyi Deep Research, the Leading Open-source Deep Research Agent"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72535","llm","19","868.17","False","0.0357","0","1","0.4916","1","1","1","topic:artificial-intelligence language:Python stars:>=50 | open language:Python stars:>=50 | topic:llm stars:>=100","🙌 OpenHands: AI-Driven Development"
