"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"pypy/pypy","https://github.com/pypy/pypy","pypy","Python","1718","False","False","12/29/2023 10:03:49 AM","5/2/2026 6:19:33 PM","PyPy is a very fast and compliant implementation of the Python language.","","very language:Python stars:>=50"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","False","False","12/27/2018 11:58:12 PM","5/2/2026 9:20:14 AM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:natural-language-processing language:Python stars:>=50"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","f language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38046","False","False","6/24/2015 2:49:52 AM","5/3/2026 1:33:18 AM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"CLUEbenchmark/CLUENER2020","https://github.com/CLUEbenchmark/CLUENER2020","CLUEbenchmark","Python","1526","False","False","1/5/2020 11:44:46 AM","4/30/2026 6:26:02 PM","CLUENER2020 中文细粒度命名实体识别 Fine Grained Named Entity Recognition","albert;bert;chinese;chinese-ner;chinesener;dataset;fine-grained-ner;named-entity-recognition;ner;roberta;seq2seq;sequence-labeling;sequence-to-sequence","topic:named-entity-recognition language:Python stars:>=50"
"GokuMohandas/Made-With-ML","https://github.com/GokuMohandas/Made-With-ML","GokuMohandas","Jupyter Notebook","47479","False","False","11/5/2018 3:44:27 AM","5/3/2026 8:23:18 AM","Learn how to develop, deploy and iterate on production-grade ML applications.","data-engineering;data-quality;data-science;deep-learning;distributed-ml;distributed-training;llms;machine-learning;mlops;natural-language-processing;python;pytorch;ray","topic:deep-learning stars:>=100"
"doccano/doccano","https://github.com/doccano/doccano","doccano","Python","10640","False","False","5/9/2018 6:10:05 AM","5/2/2026 11:35:43 AM","Open source annotation tool for machine learning practitioners.","annotation-tool;data-labeling;dataset;datasets;machine-learning;natural-language-processing;nuxt;nuxtjs;python;text-annotation;vue;vuejs","topic:natural-language-processing language:Python stars:>=50"
"fabric/fabric","https://github.com/fabric/fabric","fabric","Python","15420","False","False","5/1/2009 1:14:24 AM","5/2/2026 9:56:31 PM","Simple, Pythonic remote execution and deployment.","","f language:Python stars:>=50"
"baichuan-inc/Baichuan-7B","https://github.com/baichuan-inc/Baichuan-7B","baichuan-inc","Python","5664","False","False","6/14/2023 10:57:51 AM","4/28/2026 5:51:28 AM","A large-scale 7B pretraining language model developed by BaiChuan-Inc.","artificial-intelligence;ceval;chatgpt;chinese;gpt-4;huggingface;large-language-models;llama;mmlu;natural-language-processing","topic:natural-language-processing language:Python stars:>=50"
"philipperemy/name-dataset","https://github.com/philipperemy/name-dataset","philipperemy","Python","993","False","False","10/9/2018 9:45:21 AM","4/28/2026 4:39:41 AM","The Python library for names.","dataset;name;named-entity-recognition;python","topic:named-entity-recognition language:Python stars:>=50"
"urchade/GLiNER","https://github.com/urchade/GLiNER","urchade","Python","3132","False","False","11/14/2023 6:11:11 PM","5/3/2026 4:50:11 AM","Generalist and Lightweight Model for Named Entity Recognition (Extract any entity types from texts)","information-extraction;large-language-models;named-entity-recognition;natural-language-processing;prompt-tuning","topic:named-entity-recognition language:Python stars:>=50"
"dongrixinyu/JioNLP","https://github.com/dongrixinyu/JioNLP","dongrixinyu","Python","3833","False","False","3/13/2020 9:07:46 AM","5/3/2026 12:53:06 AM","中文 NLP 预处理、解析工具包，准确、高效、易用 A Chinese NLP Preprocessing & Parsing Package www.jionlp.com","apache2;chinese;natural-language-processing;ner;nlp;nlp-parse;preprocessing;python;time-parse;time-parsing","topic:natural-language-processing language:Python stars:>=50"
"hankcs/pyhanlp","https://github.com/hankcs/pyhanlp","hankcs","Python","3211","False","False","3/19/2018 5:34:36 AM","4/22/2026 2:48:11 AM","中文分词","chinese-word-segmentation;dependency-parser;hanlp;named-entity-recognition;natural-language-processing;part-of-speech-tagger","topic:named-entity-recognition language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50"
"sacmehta/delight","https://github.com/sacmehta/delight","sacmehta","Python","469","False","False","8/3/2020 7:57:47 PM","2/5/2026 6:56:13 AM","DeLighT: Very Deep and Light-Weight Transformers","","very language:Python stars:>=50"
"smilelight/lightKG","https://github.com/smilelight/lightKG","smilelight","Python","613","False","False","1/25/2019 6:26:40 AM","4/22/2026 1:00:53 AM","基于Pytorch和torchtext的知识图谱深度学习框架。","kg;knowledge-graph;named-entity-recognition;ner;semantic-role-labeling;srl;trane","topic:named-entity-recognition language:Python stars:>=50"
"VinAIResearch/BERTweet","https://github.com/VinAIResearch/BERTweet","VinAIResearch","Python","607","False","False","5/6/2020 5:17:10 PM","4/21/2026 1:04:33 PM","BERTweet: A pre-trained language model for English Tweets (EMNLP-2020)","bert;bertweet;bertweet-covid19;covid;covid-19;covid19;english;english-tweets;fairseq;irony-detection;language-model;named-entity-recognition;ner;part-of-speech-tagging;python3;roberta;sentiment-analysis;text-classification;transformers","topic:named-entity-recognition language:Python stars:>=50"
"kamalkraj/BERT-NER","https://github.com/kamalkraj/BERT-NER","kamalkraj","Python","1250","False","False","2/24/2019 10:40:46 AM","4/12/2026 8:49:10 PM","Pytorch-Named-Entity-Recognition-with-BERT","bert;bert-ner;conll-2003;cpp11;curl;inference;named-entity-recognition;postman;pretrained-models;pytorch","topic:named-entity-recognition language:Python stars:>=50"
"hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36289","False","False","10/9/2014 6:36:16 AM","5/3/2026 7:17:47 AM","中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理","dependency-parser;hanlp;named-entity-recognition;natural-language-processing;nlp;pos-tagging;semantic-parsing;text-classification","topic:named-entity-recognition language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50"
"JohnSnowLabs/nlu","https://github.com/JohnSnowLabs/nlu","JohnSnowLabs","Python","963","False","False","8/22/2020 4:16:18 PM","4/5/2026 4:11:20 PM","1 line for thousands of State of The Art NLP models in hundreds of languages  The fastest and most accurate way to solve text problems.","bert-embedding;dependency-parsing;entity-resolution;language-detection;lemmatizer;named-entity-recognition;natural-language-understanding;nlu;pandas;sentence-embeddings;sentiment-analysis;sentiment-classifier;seq2seq;spell-checker;streamlit;t5;text-classification;text-summarization;text-translation;transformers","topic:named-entity-recognition language:Python stars:>=50"
"beringresearch/ivis","https://github.com/beringresearch/ivis","beringresearch","Python","343","False","False","8/13/2018 8:31:01 AM","2/26/2026 8:25:56 AM","Dimensionality reduction in very large datasets using Siamese Networks","data-visualization;dimensionality-reduction;machine-learning;neural-network;siamese-neural-network","very language:Python stars:>=50"
"WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26228","False","False","11/14/2019 3:02:27 PM","5/2/2026 7:58:19 AM","deep learning for image processing including classification and object-detection etc.","bilibili;classification;deep-learning;object-detection;pytorch;segmentation;tensorflow2","f language:Python stars:>=50"
