"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"CLUEbenchmark/CLUENER2020","https://github.com/CLUEbenchmark/CLUENER2020","CLUEbenchmark","Python","1526","False","False","1/5/2020 11:44:46 AM","4/30/2026 6:26:02 PM","CLUENER2020 中文细粒度命名实体识别 Fine Grained Named Entity Recognition","albert;bert;chinese;chinese-ner;chinesener;dataset;fine-grained-ner;named-entity-recognition;ner;roberta;seq2seq;sequence-labeling;sequence-to-sequence","topic:named-entity-recognition language:Python stars:>=50"
"HKUDS/OpenHarness","https://github.com/HKUDS/OpenHarness","HKUDS","Python","11774","False","False","4/1/2026 3:37:13 PM","5/3/2026 8:20:37 AM","""OpenHarness: Open Agent Harness with a Built-in Personal Agent--Ohmo!""","","h language:Python stars:>=50"
"philipperemy/name-dataset","https://github.com/philipperemy/name-dataset","philipperemy","Python","993","False","False","10/9/2018 9:45:21 AM","4/28/2026 4:39:41 AM","The Python library for names.","dataset;name;named-entity-recognition;python","topic:named-entity-recognition language:Python stars:>=50"
"httpie/http-prompt","https://github.com/httpie/http-prompt","httpie","Python","9115","False","False","4/6/2016 7:24:35 AM","5/3/2026 7:21:32 AM","An interactive command-line HTTP and API testing client built on top of HTTPie featuring autocomplete, syntax highlighting, and more. https://twitter.com/httpie","api;api-cli;api-testing;autocomplete;cli;developer-tools;development;http;http-client;httpie;json;python;rest-api;shell;syntax-highlighting;terminal;web-development","h language:Python stars:>=50"
"memvid/memvid","https://github.com/memvid/memvid","memvid","Rust","15335","False","False","5/27/2025 4:01:08 PM","5/3/2026 8:19:22 AM","Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.","ai;context;embedded;faiss;knowledge-base;knowledge-graph;llm;machine-learning;memory;memvid;mv2;nlp;offline-first;opencv;python;rag;retrieval-augmented-generation;semantic-search;vector-database;video-processing","topic:nlp stars:>=100"
"gleitz/howdoi","https://github.com/gleitz/howdoi","gleitz","Python","10833","False","False","11/22/2012 8:49:24 AM","4/29/2026 6:12:05 PM","instant coding answers via the command line","","h language:Python stars:>=50"
"StevenBlack/hosts","https://github.com/StevenBlack/hosts","StevenBlack","Python","30297","False","False","4/12/2012 8:22:50 PM","5/3/2026 7:16:06 AM","🔒 Consolidating and extending hosts files from several well-curated sources. Optionally pick extensions for porn, social media, and other categories.","ad-blocker;anti-virus;curated-sources;gambling-filter;hosts;malware;porn-filter;pornblocker;privacy;protection;python;ransomware;security;social-media-filter;trojans;unified-hosts","h language:Python stars:>=50"
"VinAIResearch/BERTweet","https://github.com/VinAIResearch/BERTweet","VinAIResearch","Python","607","False","False","5/6/2020 5:17:10 PM","4/21/2026 1:04:33 PM","BERTweet: A pre-trained language model for English Tweets (EMNLP-2020)","bert;bertweet;bertweet-covid19;covid;covid-19;covid19;english;english-tweets;fairseq;irony-detection;language-model;named-entity-recognition;ner;part-of-speech-tagging;python3;roberta;sentiment-analysis;text-classification;transformers","topic:named-entity-recognition language:Python stars:>=50"
"kamalkraj/BERT-NER","https://github.com/kamalkraj/BERT-NER","kamalkraj","Python","1250","False","False","2/24/2019 10:40:46 AM","4/12/2026 8:49:10 PM","Pytorch-Named-Entity-Recognition-with-BERT","bert;bert-ner;conll-2003;cpp11;curl;inference;named-entity-recognition;postman;pretrained-models;pytorch","topic:named-entity-recognition language:Python stars:>=50"
"JohnSnowLabs/nlu","https://github.com/JohnSnowLabs/nlu","JohnSnowLabs","Python","963","False","False","8/22/2020 4:16:18 PM","4/5/2026 4:11:20 PM","1 line for thousands of State of The Art NLP models in hundreds of languages  The fastest and most accurate way to solve text problems.","bert-embedding;dependency-parsing;entity-resolution;language-detection;lemmatizer;named-entity-recognition;natural-language-understanding;nlu;pandas;sentence-embeddings;sentiment-analysis;sentiment-classifier;seq2seq;spell-checker;streamlit;t5;text-classification;text-summarization;text-translation;transformers","topic:named-entity-recognition language:Python stars:>=50"
"microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22114","False","False","7/23/2019 4:15:28 AM","5/3/2026 2:16:58 AM","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","topic:nlp stars:>=100"
"juand-r/entity-recognition-datasets","https://github.com/juand-r/entity-recognition-datasets","juand-r","Python","1571","False","False","9/1/2018 9:47:11 PM","4/29/2026 8:04:18 PM","A collection of corpora for named entity recognition (NER) and entity recognition tasks. These annotated datasets cover a variety of languages, domains and entity types.","annotations;corpora;datasets;entity-extraction;entity-recognition;named-entity-recognition;natural-language-processing;ner;nlp;nlp-resources","topic:named-entity-recognition language:Python stars:>=50"
"HypothesisWorks/hypothesis","https://github.com/HypothesisWorks/hypothesis","HypothesisWorks","Python","8608","False","False","3/10/2013 1:51:19 PM","5/3/2026 7:53:00 AM","The property-based testing library for Python","fuzzing;property-based-testing;python;testing","h language:Python stars:>=50"
"mherrmann/helium","https://github.com/mherrmann/helium","mherrmann","Python","8268","False","False","11/26/2019 4:12:28 PM","5/1/2026 10:22:33 PM","Lighter web automation with Python","chrome;firefox;helium;python;python3;selenium;selenium-python;web-automation;web-scraping;webdriver","h language:Python stars:>=50"
"healthchecks/healthchecks","https://github.com/healthchecks/healthchecks","healthchecks","Python","10001","False","False","6/25/2015 6:38:33 PM","5/2/2026 8:18:14 PM","Open-source cron job and background task monitoring service, written in Python & Django","cron;cron-jobs;devops;django;monitoring;ops","h language:Python stars:>=50"
"deepset-ai/haystack","https://github.com/deepset-ai/haystack","deepset-ai","MDX","25062","False","False","11/14/2019 9:05:28 AM","5/3/2026 8:13:37 AM","Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.","agent;agents;ai;gemini;generative-ai;gpt-4;information-retrieval;large-language-models;llm;machine-learning;nlp;orchestration;python;pytorch;question-answering;rag;retrieval-augmented-generation;semantic-search;summarization;transformers","topic:nlp stars:>=100"
"guillaumegenthial/tf_ner","https://github.com/guillaumegenthial/tf_ner","guillaumegenthial","Python","926","False","False","9/16/2018 11:58:35 PM","4/10/2026 2:32:17 AM","Simple and Efficient Tensorflow implementations of NER models with tf.estimator and tf.data","bi-lstm-crf;character-embeddings;conll-2003;exponential-moving-average;glove;lstm-crf;named-entity-recognition;ner;state-of-the-art;tensorflow;tf-data;tf-estimator","topic:named-entity-recognition language:Python stars:>=50"
"mouredev/hello-sql","https://github.com/mouredev/hello-sql","mouredev","Python","9346","False","False","10/5/2023 10:51:20 AM","5/3/2026 2:49:06 AM","Curso para aprender los fundamentos del lenguaje SQL y bases de datos relacionales desde cero y para principiantes.","basesdedatos;curso;database;mysql;postgresql;sql;tutorial","h language:Python stars:>=50"
