"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","unslothai/unsloth","https://github.com/unslothai/unsloth","unslothai","Python","63478","llm","1","1153.08","True","0.2581","0","1","0.9761","1","1","1","topic:agent language:Python stars:>=50 | topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","Web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally."
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","vllm-project/vllm","https://github.com/vllm-project/vllm","vllm-project","Python","78900","llm","2","1029.73","True","0.1765","0","1","0.9766","1","1","0.6667","topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","A high-throughput and memory-efficient inference and serving engine for LLMs"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","zhayujie/CowAgent","https://github.com/zhayujie/CowAgent","zhayujie","Python","43978","llm","3","1006.88","True","0.1111","0","1","0.8965","1","1","1","topic:ai language:Python stars:>=50 | topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33753","llm","4","1000.67","True","0.1154","0","1","0.839","1","1","1","topic:agent language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34361","llm","5","997.5","True","0.1111","0","1","0.8429","1","1","1","topic:agent language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:llm stars:>=100","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","FoundationAgents/MetaGPT","https://github.com/FoundationAgents/MetaGPT","FoundationAgents","Python","67644","llm","6","995.97","True","0.1364","0","1","0.99","1","1","0.6667","topic:agent language:Python stars:>=50 | topic:llm stars:>=100","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","ymcui/Chinese-LLaMA-Alpaca","https://github.com/ymcui/Chinese-LLaMA-Alpaca","ymcui","Python","18946","llm","7","990.88","True","0.24","0","1","0.7136","1","1","0.3333","l language:Python stars:>=50","中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","AstrBotDevs/AstrBot","https://github.com/AstrBotDevs/AstrBot","AstrBotDevs","Python","31211","llm","8","989.01","True","0.1613","0","1","0.822","1","1","0.6667","topic:agent language:Python stars:>=50 | topic:ai language:Python stars:>=50","AI Agent Assistant that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72534","llm","9","977.95","True","0.1154","0","1","0.9949","1","1","0.6667","topic:agent language:Python stars:>=50 | topic:llm stars:>=100","🙌 OpenHands: AI-Driven Development"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160194","llm","10","976.35","True","0.1471","0","1","0.8228","1","1","0.6667","topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34682","llm","11","951.7","True","0.1154","0","1","0.8449","1","1","0.6667","l language:Python stars:>=50 | topic:llm stars:>=100","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
