"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 7:32:26 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"sunmh207/AI-Codereview-Gitlab","https://github.com/sunmh207/AI-Codereview-Gitlab","sunmh207","Python","1654","False","False","11/14/2024 8:48:26 AM","5/2/2026 12:13:30 PM","基于大模型(DeepSeek,OpenAI等)的 GitLab 自动代码审查工具；支持钉钉/企业微信/飞书推送消息和生成日报；支持Docker部署；可视化 Dashboard。","ai;codereview;deepseek;gitlab;gpt;llm","topic:deepseek language:Python stars:>=50"
"Taiko2k/Tauon","https://github.com/Taiko2k/Tauon","Taiko2k","Python","2616","False","False","2/17/2016 2:11:56 AM","5/3/2026 8:04:07 AM","The music player of today! :city_sunrise:","audio;desktop-app;flac;flatpak;linux;linux-app;linux-desktop;mp3;music;music-library;music-player;player;windows","topic:audio language:Python stars:>=50"
"astral-sh/ty","https://github.com/astral-sh/ty","astral-sh","Python","18485","False","False","5/2/2025 4:37:51 PM","5/3/2026 1:33:07 AM","An extremely fast Python type checker and language server, written in Rust.","","t language:Python stars:>=50"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34682","False","False","10/2/2024 11:57:54 AM","5/3/2026 8:12:48 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"EleutherAI/gpt-neox","https://github.com/EleutherAI/gpt-neox","EleutherAI","Python","7426","False","False","12/22/2020 2:37:54 PM","4/28/2026 8:06:31 PM","An implementation of model parallel autoregressive transformers on GPUs, based on the Megatron and DeepSpeed libraries","deepspeed-library;gpt-3;language-model;transformers","transformers language:Python stars:>=50"
"FunAudioLLM/Fun-ASR","https://github.com/FunAudioLLM/Fun-ASR","FunAudioLLM","Python","1105","False","False","12/15/2025 1:46:48 AM","5/3/2026 2:16:04 AM","Fun-ASR is an end-to-end speech recognition large model launched by Tongyi Lab. ","audio;audio-language-model;audio-understanding;fun-asr;multimodal-large-language-models;pytorch;speaker-diarization;speech-recognition","topic:audio language:Python stars:>=50"
"hkchengrex/MMAudio","https://github.com/hkchengrex/MMAudio","hkchengrex","Python","2162","False","False","12/7/2024 7:47:39 AM","5/3/2026 1:34:44 AM","[CVPR 2025] MMAudio: Taming Multimodal Joint Training for High-Quality Video-to-Audio Synthesis","audio;audio-synthesis;computer-vision;deep-learning;text-to-audio;video-to-audio","topic:audio language:Python stars:>=50"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","jadore801120","Python","9713","False","False","6/14/2017 10:15:20 AM","5/3/2026 7:08:59 AM","A PyTorch implementation of the Transformer model in ""Attention is All You Need"".","attention;attention-is-all-you-need;deep-learning;natural-language-processing;nlp;pytorch","transformers language:Python stars:>=50"
"lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","False","False","12/11/2020 4:35:13 PM","5/3/2026 5:44:25 AM","pix2tex: Using a ViT to convert images of equations into LaTeX code.","dataset;deep-learning;im2latex;im2markup;im2text;image-processing;image2text;latex;latex-ocr;machine-learning;math-ocr;ocr;python;pytorch;transformer;vision-transformer;vit","topic:deep-learning language:Python stars:>=50 | t language:Python stars:>=50"
"diodiogod/TTS-Audio-Suite","https://github.com/diodiogod/TTS-Audio-Suite","diodiogod","Python","899","False","False","8/6/2025 7:33:01 PM","5/2/2026 7:42:59 PM","A ComfyUI custom node integration for local multi-engine multi-language Text-to-Speech and Voice Conversion. Supports: RVC, Echo-TTS, Qwen3-TTS, Cozy Voice 3, Step Audio EditX, IndexTTS-2, Chatterbox (classic and multilingual), F5-TTS, Higgs Audio 2 and VibeVoice with unlimited text length, SRT timing, Character support, and many audio tools","ai-audio;audio;audio-editing;audio-generation;audio-processing;chatterbox;comfyui;cozy-voice-3;echo-tts;f5;f5-tts;higgs-audio;indextts-2;qwen3-tts;rvc;text-to-speech;tts;vibevoice;voice-cloning;voice-conversion","topic:audio language:Python stars:>=50"
"Flame-Code-VLM/Flame-Code-VLM","https://github.com/Flame-Code-VLM/Flame-Code-VLM","Flame-Code-VLM","Python","559","False","False","2/10/2025 2:27:32 AM","4/29/2026 2:30:46 PM","Flame is an open-source multimodal AI system designed to translate UI design mockups into high-quality React code. It leverages vision-language modeling, automated data synthesis, and structured training workflows to bridge the gap between design and front-end development.","ai;code-generation;data-synthesis;deep-learning;deepseek;design-to-code;front-end;frontend;frontend-development;image-to-code;image-to-text;llm;multimodal;open-source;react;screen-to-code;vision-language-model;vlm;vue","topic:deepseek language:Python stars:>=50"
"sergree/matchering","https://github.com/sergree/matchering","sergree","Python","2507","False","False","9/28/2018 7:21:01 PM","5/3/2026 8:10:43 AM","🎚️ Open Source Audio Matching and Mastering","audio;docker-image;dsp;equalizer;filter;limiter;mastering;matchering;matching;music;numpy;python;python-library;python3;scipy;sound;spectrum;vst","topic:audio language:Python stars:>=50"
"chenfei-wu/TaskMatrix","https://github.com/chenfei-wu/TaskMatrix","chenfei-wu","Python","34133","False","False","3/2/2023 9:04:28 AM","5/3/2026 7:19:22 AM","","","t language:Python stars:>=50"
"tgbot-collection/YYeTsBot","https://github.com/tgbot-collection/YYeTsBot","tgbot-collection","Python","16053","False","False","8/15/2019 7:50:56 AM","5/3/2026 3:13:23 AM","🎬 人人影视 机器人和网站，包含人人影视全部资源以及众多网友的网盘分享","bot;movies;telegram-bot;tv-shows;yyets;zimuxia","t language:Python stars:>=50"
"649453932/Chinese-Text-Classification-Pytorch","https://github.com/649453932/Chinese-Text-Classification-Pytorch","649453932","Python","5733","False","False","7/11/2019 1:38:08 AM","4/28/2026 9:53:39 PM","中文文本分类，TextCNN，TextRNN，FastText，TextRCNN，BiLSTM_Attention，DPCNN，Transformer，基于pytorch，开箱即用。","","transformers language:Python stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172275","False","False","1/18/2026 12:51:51 AM","5/3/2026 8:19:48 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"swisskyrepo/PayloadsAllTheThings","https://github.com/swisskyrepo/PayloadsAllTheThings","swisskyrepo","Python","77425","False","False","10/18/2016 7:29:07 AM","5/3/2026 7:03:45 AM","A list of useful payloads and bypass for Web Application Security and Pentest/CTF","bounty;bugbounty;bypass;cheatsheet;enumeration;hacking;hacktoberfest;methodology;payload;payloads;penetration-testing;pentest;privilege-escalation;redteam;security;vulnerability;web-application","t language:Python stars:>=50"
