"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","phohenecker/pytorch-transformer","https://github.com/phohenecker/pytorch-transformer","phohenecker","Python","60","llm","1","1635.71","True","0.4286","1","1","0","0.6","1","0.3333","topic:attention-is-all-you-need language:Python stars:>=50","A PyTorch implementation of the Transformer model from ""Attention Is All You Need""."
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","leviswind/pytorch-transformer","https://github.com/leviswind/pytorch-transformer","leviswind","Python","240","llm","2","1453.28","True","0.25","0.875","1","0.1973","0.8","1","0.3333","topic:attention-is-all-you-need language:Python stars:>=50","pytorch implementation of Attention is all you need"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","lsdefine/attention-is-all-you-need-keras","https://github.com/lsdefine/attention-is-all-you-need-keras","lsdefine","Python","716","llm","3","1315.96","True","0.2222","0.6","1","0.4341","1","1","0.3333","topic:attention-is-all-you-need language:Python stars:>=50","A Keras+TensorFlow Implementation of the Transformer: Attention Is All You Need"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","kaituoxu/Speech-Transformer","https://github.com/kaituoxu/Speech-Transformer","kaituoxu","Python","809","llm","4","1164.88","True","0.3","0.2143","1","0.4605","0.8","1","0.6667","topic:attention language:Python stars:>=50 | topic:attention-is-all-you-need language:Python stars:>=50","A PyTorch implementation of Speech Transformer, an End-to-End ASR with Transformer network on Mandarin Chinese."
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","lucidrains/performer-pytorch","https://github.com/lucidrains/performer-pytorch","lucidrains","Python","1177","llm","5","1122.1","True","0.2222","0.2727","1","0.5419","1","1","0.3333","topic:attention language:Python stars:>=50","An implementation of Performer, a linear attention-based transformer, in Pytorch"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","microsoft/JARVIS","https://github.com/microsoft/JARVIS","microsoft","Python","24686","llm","6","1096.7","True","0.2857","0","1","0.7975","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50","JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","AnubhavGupta3377/Text-Classification-Models-Pytorch","https://github.com/AnubhavGupta3377/Text-Classification-Models-Pytorch","AnubhavGupta3377","Python","491","llm","7","1071.91","True","0.3077","0.1667","1","0.3523","0.8","1","0.3333","topic:attention language:Python stars:>=50","Implementation of State-of-the-art Text Classification Models in Pytorch"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","hyunwoongko/transformer","https://github.com/hyunwoongko/transformer","hyunwoongko","Python","4545","llm","8","1071.15","True","0.25","0","1","0.8351","1","1","0.6667","topic:attention language:Python stars:>=50 | attention language:Python stars:>=50","Transformer: PyTorch Implementation of ""Attention Is All You Need"""
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","jeya-maria-jose/Medical-Transformer","https://github.com/jeya-maria-jose/Medical-Transformer","jeya-maria-jose","Python","859","llm","9","1059.58","True","0.2727","0.125","1","0.4736","1","1","0.3333","topic:attention language:Python stars:>=50","Official Pytorch Code for ""Medical Transformer: Gated Axial-Attention for Medical Image Segmentation"" - MICCAI 2021"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","lucidrains/musiclm-pytorch","https://github.com/lucidrains/musiclm-pytorch","lucidrains","Python","3292","llm","10","1047.23","True","0.1","0.2667","1","0.7651","1","1","0.3333","attention language:Python stars:>=50","Implementation of MusicLM, Google's new SOTA model for music generation using attention networks, in Pytorch"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","lucidrains/transfusion-pytorch","https://github.com/lucidrains/transfusion-pytorch","lucidrains","Python","1356","llm","11","1044.91","True","0.2","0.1765","1","0.5726","1","1","0.3333","topic:attention language:Python stars:>=50","Pytorch implementation of Transfusion, ""Predict the Next Token and Diffuse Images with One Multi-Modal Model"", from MetaAI"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21482","llm","12","1044.84","True","0.2222","0","1","0.8277","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","jessevig/bertviz","https://github.com/jessevig/bertviz","jessevig","Python","8039","llm","13","1010.67","True","0.2143","0","1","0.9589","1","1","0.3333","attention language:Python stars:>=50","BertViz: Visualize Attention in Transformer Models"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","google-research/scenic","https://github.com/google-research/scenic","google-research","Python","3798","llm","14","1002.96","True","0.1818","0","1","0.7961","1","1","0.6667","topic:attention language:Python stars:>=50 | attention language:Python stars:>=50","Scenic: A Jax Library for Computer Vision Research and Beyond"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","fla-org/flash-linear-attention","https://github.com/fla-org/flash-linear-attention","fla-org","Python","5029","llm","15","992.85","True","0.1111","0.1429","1","0.8571","1","1","0.3333","attention language:Python stars:>=50","🚀 Efficient implementations for emerging model architectures"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160194","llm","16","989.92","True","0.1905","0","1","0.3914","1","1","1","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50 | topic:llm stars:>=100","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","flashinfer-ai/flashinfer","https://github.com/flashinfer-ai/flashinfer","flashinfer-ai","Python","5547","llm","17","982.29","True","0.1429","0","1","0.8784","1","1","0.6667","topic:attention language:Python stars:>=50 | attention language:Python stars:>=50","FlashInfer: Kernel Library for LLM Serving"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","feifeibear/long-context-attention","https://github.com/feifeibear/long-context-attention","feifeibear","Python","666","llm","18","975.44","True","0.2","0.1111","1","0.4184","1","1","0.3333","topic:attention-is-all-you-need language:Python stars:>=50","USP: Unified (a.k.a. Hybrid, 2D) Sequence Parallel Attention for Long Context Transformers Model Training and Inference"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","The-AI-Summer/self-attention-cv","https://github.com/The-AI-Summer/self-attention-cv","The-AI-Summer","Python","1216","llm","19","965.78","True","0.1538","0.125","1","0.5489","1","1","0.3333","topic:attention language:Python stars:>=50","Implementation of various self-attention mechanisms focused on computer vision. Ongoing repository. "
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","kyegomez/OpenMythos","https://github.com/kyegomez/OpenMythos","kyegomez","Python","11490","llm","20","950.43","True","0.0909","0","1","0.9635","1","1","0.6667","topic:attention language:Python stars:>=50 | attention language:Python stars:>=50","A theoretical reconstruction of the Claude Mythos architecture, built from first principles using the available research literature."
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42407","llm","21","944","True","0.0833","0","1","0.68","1","1","1","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50 | topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
