"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"jessevig/bertviz","https://github.com/jessevig/bertviz","codertimo/BERT-pytorch","https://github.com/codertimo/BERT-pytorch","codertimo","Python","6533","llm","1","1117.12","True","0.3333","0","1","0.955","1","1","0.3333","topic:bert language:Python stars:>=50","Google AI 2018 BERT pytorch implementation"
"jessevig/bertviz","https://github.com/jessevig/bertviz","adapter-hub/adapters","https://github.com/adapter-hub/adapters","adapter-hub","Python","2812","llm","2","1085.09","True","0.3333","0","1","0.772","1","1","0.3333","topic:bert language:Python stars:>=50","A Unified Library for Parameter-Efficient and Modular Transfer Learning "
"jessevig/bertviz","https://github.com/jessevig/bertviz","jsksxs360/How-to-use-Transformers","https://github.com/jsksxs360/How-to-use-Transformers","jsksxs360","Python","1869","llm","3","1069.58","True","0.3333","0","1","0.6833","1","1","0.3333","topic:bert language:Python stars:>=50","Transformers 库快速入门教程"
"jessevig/bertviz","https://github.com/jessevig/bertviz","affjljoo3581/GPT2","https://github.com/affjljoo3581/GPT2","affjljoo3581","Python","358","llm","4","1053.01","True","0.3846","0","1","0.3249","1","1","0.3333","topic:gpt2 language:Python stars:>=50","PyTorch Implementation of OpenAI GPT-2"
"jessevig/bertviz","https://github.com/jessevig/bertviz","SKTBrain/KoBERT","https://github.com/SKTBrain/KoBERT","SKTBrain","Python","1408","llm","5","1035.74","True","0.3077","0","1","0.6218","1","1","0.3333","topic:bert language:Python stars:>=50","Korean BERT pre-trained cased (KoBERT)"
"jessevig/bertviz","https://github.com/jessevig/bertviz","MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","MaartenGr","Python","7578","llm","6","1034.52","True","0.2353","0","1","0.9872","1","1","0.3333","topic:bert language:Python stars:>=50","Leveraging BERT and c-TF-IDF to create easily interpretable topics. "
"jessevig/bertviz","https://github.com/jessevig/bertviz","brightmart/roberta_zh","https://github.com/brightmart/roberta_zh","brightmart","Python","2786","llm","7","1027.6","True","0.2143","0","1","0.7699","1","1","0.6667","topic:bert language:Python stars:>=50 | topic:gpt2 language:Python stars:>=50","RoBERTa中文预训练模型: RoBERTa for Chinese "
"jessevig/bertviz","https://github.com/jessevig/bertviz","alibaba/EasyNLP","https://github.com/alibaba/EasyNLP","alibaba","Python","2180","llm","8","1000.42","True","0.25","0","1","0.7167","1","1","0.3333","topic:bert language:Python stars:>=50","EasyNLP: A Comprehensive and Easy-to-use NLP Toolkit"
"jessevig/bertviz","https://github.com/jessevig/bertviz","graykode/gpt-2-Pytorch","https://github.com/graykode/gpt-2-Pytorch","graykode","Python","1013","llm","9","986.32","True","0.2667","0","1","0.5504","1","1","0.3333","topic:gpt2 language:Python stars:>=50","Simple Text-Generator with OpenAI gpt-2 Pytorch Implementation"
"jessevig/bertviz","https://github.com/jessevig/bertviz","CLUEbenchmark/CLUE","https://github.com/CLUEbenchmark/CLUE","CLUEbenchmark","Python","4254","llm","10","964.46","True","0.1818","0","1","0.8618","1","1","0.3333","topic:bert language:Python stars:>=50","中文语言理解测评基准 Chinese Language Understanding Evaluation Benchmark: datasets, baselines, pre-trained models, corpus and leaderboard  "
