"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","jessevig/bertviz","https://github.com/jessevig/bertviz","jessevig","Python","8039","llm","1","1034.52","True","0.2353","0","1","0.9872","1","1","0.3333","topic:bert language:Python stars:>=50","BertViz: Visualize Attention in Transformer Models"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","nyu-mll/jiant","https://github.com/nyu-mll/jiant","nyu-mll","Python","1676","llm","2","975.37","True","0.2308","0","1","0.6725","1","1","0.3333","topic:bert language:Python stars:>=50","jiant is an nlp toolkit"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","SKTBrain/KoBERT","https://github.com/SKTBrain/KoBERT","SKTBrain","Python","1408","llm","3","968.76","True","0.2308","0","1","0.6346","1","1","0.3333","topic:bert language:Python stars:>=50","Korean BERT pre-trained cased (KoBERT)"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","codertimo/BERT-pytorch","https://github.com/codertimo/BERT-pytorch","codertimo","Python","6533","llm","4","957.82","True","0.1538","0","1","0.9678","1","1","0.3333","topic:bert language:Python stars:>=50","Google AI 2018 BERT pytorch implementation"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","alibaba/EasyNLP","https://github.com/alibaba/EasyNLP","alibaba","Python","2180","llm","5","957.67","True","0.2","0","1","0.7295","1","1","0.3333","topic:bert language:Python stars:>=50","EasyNLP: A Comprehensive and Easy-to-use NLP Toolkit"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","adapter-hub/adapters","https://github.com/adapter-hub/adapters","adapter-hub","Python","2812","llm","6","956.09","True","0.1875","0","1","0.7848","1","1","0.3333","topic:bert language:Python stars:>=50","A Unified Library for Parameter-Efficient and Modular Transfer Learning "
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","appvision-ai/fast-bert","https://github.com/appvision-ai/fast-bert","appvision-ai","Python","1921","llm","7","922.86","True","0.1667","0","1","0.7021","1","1","0.3333","topic:bert language:Python stars:>=50","Super easy library for BERT based NLP models"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","ddangelov/Top2Vec","https://github.com/ddangelov/Top2Vec","ddangelov","Python","3106","llm","8","919.69","True","0.1429","0","1","0.8064","1","1","0.3333","topic:bert language:Python stars:>=50","Top2Vec learns jointly embedded topic, document and word vectors."
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","AnswerDotAI/ModernBERT","https://github.com/AnswerDotAI/ModernBERT","AnswerDotAI","Python","1668","llm","9","917.5","True","0.1667","0","1","0.6714","1","1","0.3333","topic:bert language:Python stars:>=50","Bringing BERT into modernity via both architecture changes and scaling"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","BrikerMan/Kashgari","https://github.com/BrikerMan/Kashgari","BrikerMan","Python","2384","llm","10","916.06","True","0.15","0","1","0.7489","1","1","0.3333","topic:bert language:Python stars:>=50","Kashgari is a production-level NLP Transfer learning framework built on top of tf.keras for text-labeling and text-classification, includes Word2Vec, BERT, and GPT2 Language Embedding."
