"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"microsoft/presidio","https://github.com/microsoft/presidio","dataiku/kiji-proxy","https://github.com/dataiku/kiji-proxy","dataiku","Python","221","llm","1","889.15","False","0.1667","0","1","0.2237","1","1","0.6667","topic:data-anonymization language:Python stars:>=50 | topic:data-masking language:Python stars:>=50","Privacy proxy for your OpenAI requests"
"microsoft/presidio","https://github.com/microsoft/presidio","CatchTheTornado/text-extract-api","https://github.com/CatchTheTornado/text-extract-api","CatchTheTornado","Python","3098","llm","2","856","False","0.0741","0","1","0.7962","1","1","0.3333","topic:anonymization language:Python stars:>=50","Document (PDF, Word, PPTX ...) extraction and parse API using state of the art modern OCRs + Ollama supported models. Anonymize documents. Remove PII. Convert any document or picture to structured JSON or Markdown"
"microsoft/presidio","https://github.com/microsoft/presidio","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50809","llm","3","840.38","False","0.04","0","1","0.5965","1","1","0.6667","open-source language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"microsoft/presidio","https://github.com/microsoft/presidio","google/langextract","https://github.com/google/langextract","google","Python","36357","llm","4","829.17","False","0.069","0","1","0.6691","1","1","0.3333","topic:llm stars:>=100","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization."
"microsoft/presidio","https://github.com/microsoft/presidio","TransformerOptimus/SuperAGI","https://github.com/TransformerOptimus/SuperAGI","TransformerOptimus","Python","17499","llm","5","821.36","False","0.0294","0","1","0.8279","1","1","0.3333","open-source language:Python stars:>=50","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
"microsoft/presidio","https://github.com/microsoft/presidio","lucidrains/vit-pytorch","https://github.com/lucidrains/vit-pytorch","lucidrains","Python","25139","llm","6","818.62","False","0.0417","0","1","0.7493","1","1","0.3333","p language:Python stars:>=50","Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch"
"microsoft/presidio","https://github.com/microsoft/presidio","hummingbot/hummingbot","https://github.com/hummingbot/hummingbot","hummingbot","Python","18446","llm","7","818.6","False","0.0286","0","1","0.8165","1","1","0.3333","open-source language:Python stars:>=50","Open source software that helps you create and deploy high-frequency crypto trading bots"
"microsoft/presidio","https://github.com/microsoft/presidio","openai/openai-agents-python","https://github.com/openai/openai-agents-python","openai","Python","25798","llm","8","816.14","False","0.04","0","1","0.7436","1","1","0.3333","p language:Python stars:>=50","A lightweight, powerful framework for multi-agent workflows"
"microsoft/presidio","https://github.com/microsoft/presidio","python-telegram-bot/python-telegram-bot","https://github.com/python-telegram-bot/python-telegram-bot","python-telegram-bot","Python","29076","llm","9","813.09","False","0.0417","0","1","0.7177","1","1","0.3333","p language:Python stars:>=50","We have made you a wrapper you can't refuse"
"microsoft/presidio","https://github.com/microsoft/presidio","onyx-dot-app/onyx","https://github.com/onyx-dot-app/onyx","onyx-dot-app","Python","28877","llm","10","803.13","False","0.0303","0","1","0.7192","1","1","0.3333","open-source language:Python stars:>=50","Open Source AI Platform - AI Chat with advanced features that works with every LLM"
