"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"microsoft/unilm","https://github.com/microsoft/unilm","google/langextract","https://github.com/google/langextract","google","Python","36356","llm","1","868.18","False","0.069","0","1","0.892","1","1","0.3333","topic:llm stars:>=100","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization."
"microsoft/unilm","https://github.com/microsoft/unilm","unslothai/unsloth","https://github.com/unslothai/unsloth","unslothai","Python","63478","llm","2","858.61","False","0.0263","0","1","0.771","1","1","0.6667","u language:Python stars:>=50 | topic:llm stars:>=100","Web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally."
"microsoft/unilm","https://github.com/microsoft/unilm","browser-use/browser-use","https://github.com/browser-use/browser-use","browser-use","Python","91768","llm","3","855.54","False","0.0385","0","1","0.691","1","1","0.6667","u language:Python stars:>=50 | topic:llm stars:>=100","🌐 Make websites accessible for AI agents. Automate tasks online with ease."
"microsoft/unilm","https://github.com/microsoft/unilm","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33751","llm","4","841.08","False","0.0357","0","1","0.9082","1","1","0.3333","topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"microsoft/unilm","https://github.com/microsoft/unilm","HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34682","llm","5","840.04","False","0.0357","0","1","0.9023","1","1","0.3333","topic:llm stars:>=100","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
"microsoft/unilm","https://github.com/microsoft/unilm","datawhalechina/hello-agents","https://github.com/datawhalechina/hello-agents","datawhalechina","Python","42270","llm","6","839.51","False","0.0435","0","1","0.8593","1","1","0.3333","topic:llm stars:>=100","📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程"
"microsoft/unilm","https://github.com/microsoft/unilm","ModelTC/LightLLM","https://github.com/ModelTC/LightLLM","ModelTC","Python","4037","llm","7","832.38","False","0.08","0","1","0.6307","1","1","0.3333","large-scale language:Python stars:>=50","LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance."
"microsoft/unilm","https://github.com/microsoft/unilm","khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34361","llm","8","831.33","False","0.0256","0","1","0.9043","1","1","0.3333","topic:llm stars:>=100","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
"microsoft/unilm","https://github.com/microsoft/unilm","HKUDS/nanobot","https://github.com/HKUDS/nanobot","HKUDS","Python","41543","llm","9","830.07","False","0.0323","0","1","0.8631","1","1","0.3333","topic:llm stars:>=100","""🐈 nanobot: The Ultra-Lightweight Personal AI Agent"""
"microsoft/unilm","https://github.com/microsoft/unilm","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50808","llm","10","829.39","False","0.04","0","1","0.8194","1","1","0.3333","topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"microsoft/unilm","https://github.com/microsoft/unilm","2noise/ChatTTS","https://github.com/2noise/ChatTTS","2noise","Python","39192","llm","11","828.25","False","0.0278","0","1","0.8757","1","1","0.3333","topic:llm stars:>=100","A generative speech model for daily dialogue."
