"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 7:32:26 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"confluentinc/cp-all-in-one","https://github.com/confluentinc/cp-all-in-one","confluentinc","Python","1143","False","False","4/2/2020 5:23:46 PM","5/2/2026 9:35:21 AM","docker-compose.yml files for cp-all-in-one , cp-all-in-one-community, cp-all-in-one-cloud, Apache Kafka Confluent Platform","apache-kafka;confluent;confluent-platform;docker-compose;kafka;kraft;quickstart","all-in-one language:Python stars:>=50"
"astral-sh/ty","https://github.com/astral-sh/ty","astral-sh","Python","18485","False","False","5/2/2025 4:37:51 PM","5/3/2026 1:33:07 AM","An extremely fast Python type checker and language server, written in Rust.","","t language:Python stars:>=50"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34682","False","False","10/2/2024 11:57:54 AM","5/3/2026 8:12:48 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"PaddlePaddle/PaddleX","https://github.com/PaddlePaddle/PaddleX","PaddlePaddle","Python","6127","False","False","3/11/2020 7:58:44 AM","5/3/2026 8:14:59 AM","All-in-One Development Tool based on PaddlePaddle","ai-pipelines;classification;deployment;formula-recognition;layout-detection;object-detection;ocr;pdf2markdown;pp-chatocr;segmentation;speech-recognition;time-series","all-in-one language:Python stars:>=50"
"jasonxtn/Kraken","https://github.com/jasonxtn/Kraken","jasonxtn","Python","1120","False","False","9/1/2024 1:30:17 AM","5/3/2026 1:55:24 AM","All-in-One Toolkit for BruteForce Attacks","adminpanel-finder;brute-force;bruteforce;cms-bruteforce;cms-cracker;crack;cracking;dirbuster;directory-finder;ftp-bruteforce;joomla-bruteforce;ldap-bruteforce;office365-bruteforce;pentest-tools;rdp-bruteforce;redteam-tools;shell-finder;ssh-bruteforce;wordpress-brute","all-in-one language:Python stars:>=50"
"openai/tiktoken","https://github.com/openai/tiktoken","openai","Python","18083","False","False","12/1/2022 11:22:11 PM","5/3/2026 2:00:50 AM","tiktoken is a fast BPE tokeniser for use with OpenAI's models.","","t language:Python stars:>=50"
"cracker911181/Cracker-Tool","https://github.com/cracker911181/Cracker-Tool","cracker911181","Python","902","False","False","9/8/2021 8:46:03 PM","4/30/2026 12:37:09 AM","All in One CRACKER911181's Tool. This Tool For Hacking and Pentesting. 🎭","cracker;cracker-tool;cracker911181;cracker911181-tool;facebook;hacking;pentest;pentesting;python;python-3;shell;sql-injection;sqli;sqlinjection;temp-mail;termux;termux-hacking;termux-tool;web-tool;webtool","all-in-one language:Python stars:>=50"
"Comfy-Org/ComfyUI","https://github.com/Comfy-Org/ComfyUI","Comfy-Org","Python","111128","False","False","1/17/2023 3:15:56 AM","5/3/2026 8:27:49 AM","The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","ai;comfy;comfyui;python;pytorch;stable-diffusion","topic:ai language:Python stars:>=50"
"TheresAFewConors/Sooty","https://github.com/TheresAFewConors/Sooty","TheresAFewConors","Python","1473","False","False","6/6/2019 10:23:11 AM","5/1/2026 7:32:40 AM","The SOC Analysts all-in-one CLI tool to automate and speed up workflow.","analysis;analysts;automation;cybersecurity;dns;hash;phishing;proofpoint-decoder;python;reputation-check;security;security-automation;soc;soc-analysts;urlscan;workflow","all-in-one language:Python stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:53:36 AM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"simular-ai/Agent-S","https://github.com/simular-ai/Agent-S","simular-ai","Python","11031","False","False","10/9/2024 3:43:12 PM","5/3/2026 7:47:22 AM","Agent S: an open agentic framework that uses computers like a human","agent-computer-interface;ai-agents;computer-automation;computer-use;computer-use-agent;cua;grounding;gui-agents;in-context-reinforcement-learning;memory;mllm;planning;retrieval-augmented-generation","topic:ai-agents language:Python stars:>=50"
"HKUDS/RAG-Anything","https://github.com/HKUDS/RAG-Anything","HKUDS","Python","19540","False","False","6/6/2025 6:47:29 AM","5/3/2026 8:20:51 AM","""RAG-Anything: All-in-One RAG Framework""","multi-modal-rag;retrieval-augmented-generation","all-in-one language:Python stars:>=50"
"HKUDS/DeepTutor","https://github.com/HKUDS/DeepTutor","HKUDS","Python","23008","False","False","12/28/2025 3:35:54 PM","5/3/2026 8:28:58 AM","""DeepTutor: Agent-Native Personalized Learning Assistant""","ai-agents;ai-tutor;clawdbot;cli-tool;deepresearch;interactive-learning;large-language-models;multi-agent-systems;rag","topic:ai-agents language:Python stars:>=50 | t language:Python stars:>=50"
