"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"neuml/txtai","https://github.com/neuml/txtai","VectifyAI/PageIndex","https://github.com/VectifyAI/PageIndex","VectifyAI","Python","26064","llm","1","1196.93","True","0.3333","0","1","0.8396","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG"
"neuml/txtai","https://github.com/neuml/txtai","arc53/DocsGPT","https://github.com/arc53/DocsGPT","arc53","Python","17872","llm","2","1121.62","True","0.3448","0","1","0.9216","1","1","0.3333","topic:agents language:Python stars:>=50","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents."
"neuml/txtai","https://github.com/neuml/txtai","mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54637","llm","3","1061.67","True","0.2143","0","1","0.6789","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50 | topic:llm stars:>=100","Universal memory layer for AI Agents"
"neuml/txtai","https://github.com/neuml/txtai","langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","langchain-ai","Python","31078","llm","4","1059","True","0.1875","0","1","0.8014","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","Build resilient language agents as graphs."
"neuml/txtai","https://github.com/neuml/txtai","lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","lastmile-ai","Python","8306","llm","5","1055.26","True","0.2174","0","1","0.9121","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","Build effective agents using Model Context Protocol and simple workflow patterns"
"neuml/txtai","https://github.com/neuml/txtai","rohitg00/ai-engineering-from-scratch","https://github.com/rohitg00/ai-engineering-from-scratch","rohitg00","Python","6209","llm","6","1039.47","True","0.2121","0","1","0.8489","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","Learn it. Build it. Ship it for others."
"neuml/txtai","https://github.com/neuml/txtai","airweave-ai/airweave","https://github.com/airweave-ai/airweave","airweave-ai","Python","6277","llm","7","1023.97","True","0.25","0","1","0.8513","1","1","0.3333","topic:ai-agents language:Python stars:>=50","Open-source context retrieval layer for AI agents"
"neuml/txtai","https://github.com/neuml/txtai","openai/openai-agents-python","https://github.com/openai/openai-agents-python","openai","Python","25798","llm","8","1010.96","True","0.1818","0","1","0.8419","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50","A lightweight, powerful framework for multi-agent workflows"
"neuml/txtai","https://github.com/neuml/txtai","langchain-ai/langchain","https://github.com/langchain-ai/langchain","langchain-ai","Python","135657","llm","9","997.89","True","0.1818","0","1","0.4814","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50 | topic:llm stars:>=100","The agent engineering platform"
"neuml/txtai","https://github.com/neuml/txtai","crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","crewAIInc","Python","50512","llm","10","994.52","True","0.1364","0","1","0.696","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
"neuml/txtai","https://github.com/neuml/txtai","onyx-dot-app/onyx","https://github.com/onyx-dot-app/onyx","onyx-dot-app","Python","28876","llm","11","985.9","True","0.2143","0","1","0.8174","1","1","0.3333","topic:ai language:Python stars:>=50","Open Source AI Platform - AI Chat with advanced features that works with every LLM"
"neuml/txtai","https://github.com/neuml/txtai","letta-ai/letta","https://github.com/letta-ai/letta","letta-ai","Python","22417","llm","12","981.23","True","0.1429","0","1","0.8724","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","Letta is the platform for building stateful agents: AI with advanced memory that can learn and self-improve over time."
"neuml/txtai","https://github.com/neuml/txtai","HKUDS/nanobot","https://github.com/HKUDS/nanobot","HKUDS","Python","41543","llm","13","972.32","True","0.1034","0","1","0.7384","1","1","1","topic:ai language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50 | topic:llm stars:>=100","""🐈 nanobot: The Ultra-Lightweight Personal AI Agent"""
"neuml/txtai","https://github.com/neuml/txtai","google/adk-python","https://github.com/google/adk-python","google","Python","19405","llm","14","970.65","True","0.125","0","1","0.9037","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
"neuml/txtai","https://github.com/neuml/txtai","cocoindex-io/cocoindex","https://github.com/cocoindex-io/cocoindex","cocoindex-io","Python","7583","llm","15","964.98","True","0.1765","0","1","0.8923","1","1","0.3333","topic:ai-agents language:Python stars:>=50","Incremental engine for long horizon agents 🌟 Star if you like it!"
"neuml/txtai","https://github.com/neuml/txtai","plastic-labs/honcho","https://github.com/plastic-labs/honcho","plastic-labs","Python","3168","llm","16","963.9","True","0.2121","0","1","0.7028","1","1","0.3333","topic:ai-agents language:Python stars:>=50"," Memory library for building stateful agents"
"neuml/txtai","https://github.com/neuml/txtai","run-llama/llama_index","https://github.com/run-llama/llama_index","run-llama","Python","49105","llm","17","961.33","True","0.1538","0","1","0.7021","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:llm stars:>=100","LlamaIndex is the leading document agent and OCR platform"
"neuml/txtai","https://github.com/neuml/txtai","Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","Significant-Gravitas","Python","183949","llm","18","956.01","True","0.1481","0","1","0.4153","1","1","1","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:llm stars:>=100","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
"neuml/txtai","https://github.com/neuml/txtai","HKUDS/DeepTutor","https://github.com/HKUDS/DeepTutor","HKUDS","Python","23008","llm","19","955.52","True","0.1154","0","1","0.8667","1","1","0.6667","topic:ai-agents language:Python stars:>=50 | t language:Python stars:>=50","""DeepTutor: Agent-Native Personalized Learning Assistant"""
"neuml/txtai","https://github.com/neuml/txtai","Fosowl/agenticSeek","https://github.com/Fosowl/agenticSeek","Fosowl","Python","26175","llm","20","954.77","True","0.12","0","1","0.8387","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50","Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)"
"neuml/txtai","https://github.com/neuml/txtai","sansan0/TrendRadar","https://github.com/sansan0/TrendRadar","sansan0","Python","56122","llm","21","949.61","True","0.0909","0","1","0.6731","1","1","1","topic:ai language:Python stars:>=50 | t language:Python stars:>=50 | topic:llm stars:>=100","⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。"
"neuml/txtai","https://github.com/neuml/txtai","PrefectHQ/marvin","https://github.com/PrefectHQ/marvin","PrefectHQ","Python","6146","llm","22","942.17","True","0.16","0","1","0.8467","1","1","0.3333","topic:agents language:Python stars:>=50","an ambient intelligence library"
"neuml/txtai","https://github.com/neuml/txtai","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33752","llm","23","940.96","True","0.1154","0","1","0.7835","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"neuml/txtai","https://github.com/neuml/txtai","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50808","llm","24","938.96","True","0.1304","0","1","0.6947","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"neuml/txtai","https://github.com/neuml/txtai","hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","70848","llm","25","937.51","True","0.1429","0","1","0.6225","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)"
"neuml/txtai","https://github.com/neuml/txtai","khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34361","llm","26","936.43","True","0.1111","0","1","0.7796","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
"neuml/txtai","https://github.com/neuml/txtai","HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34682","llm","27","930.08","True","0.16","0","1","0.7776","1","1","0.3333","topic:llm stars:>=100","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
"neuml/txtai","https://github.com/neuml/txtai","e2b-dev/E2B","https://github.com/e2b-dev/E2B","e2b-dev","Python","12027","llm","28","929.56","True","0.1176","0","1","0.9924","1","1","0.3333","topic:ai-agents language:Python stars:>=50","Open-source, secure environment with real-world tools for enterprise-grade agents."
"neuml/txtai","https://github.com/neuml/txtai","2FastLabs/agent-squad","https://github.com/2FastLabs/agent-squad","2FastLabs","Python","7607","llm","29","929.24","True","0.0811","0","1","0.893","1","1","0.6667","topic:agents language:Python stars:>=50 | topic:ai-agents language:Python stars:>=50","Flexible and powerful framework for managing multiple AI agents and handling complex conversations"
