"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","modelscope/modelscope","https://github.com/modelscope/modelscope","modelscope","Python","8888","deep-learning","1","1072.76","True","0.2857","0","1","0.9464","1","1","0.3333","topic:cv language:Python stars:>=50","ModelScope: bring the notion of Model-as-a-Service to life."
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","huggingface/knockknock","https://github.com/huggingface/knockknock","huggingface","Python","2828","deep-learning","2","1072.13","True","0.3125","0","1","0.805","1","1","0.3333","topic:cv language:Python stars:>=50","🚪✊Knock Knock: Get notified when your training ends with only two additional lines of code"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77592","deep-learning","3","1013.28","True","0.2","0","1","0.4759","1","1","1","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","yanshengjia/ml-road","https://github.com/yanshengjia/ml-road","yanshengjia","Python","4746","deep-learning","4","990.55","True","0.2","0","1","0.9174","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Machine Learning and Agentic AI Resources, Practice and Research"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","deep-learning","5","990.1","True","0.1429","0","1","0.6373","1","1","1","topic:deep-learning language:Python stars:>=50 | m language:Python stars:>=50 | topic:deep-learning stars:>=100","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33539","deep-learning","6","971.68","True","0.1739","0","1","0.658","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","aimi-cn/AILearners","https://github.com/aimi-cn/AILearners","aimi-cn","Python","686","deep-learning","7","962.09","True","0.25","0","1","0.4977","1","1","0.3333","topic:cv language:Python stars:>=50","机器学习、深度学习、自然语言处理、计算机视觉、各种算法等AI领域相关技术的路线、教程、干货分享。笔记有：机器学习实战、剑指Offer、cs231n、cs131、吴恩达机器学习、cs224n、python自然语言处理实战"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","Hironsan/BossSensor","https://github.com/Hironsan/BossSensor","Hironsan","Python","6281","deep-learning","8","959.65","True","0.1538","0","1","0.9782","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Hide screen when boss is approaching."
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11191","deep-learning","9","956.86","True","0.1667","0","1","0.8964","1","1","0.3333","topic:computer-vision language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","youyuge34/Anime-InPainting","https://github.com/youyuge34/Anime-InPainting","youyuge34","Python","1126","deep-learning","10","955.9","True","0.2222","0","1","0.6052","1","1","0.3333","topic:cv language:Python stars:>=50","An application tool of edge-connect, which can do anime inpainting and drawing.   动漫人物图片自动修复，去马赛克，填补，去瑕疵"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","hzwer/ECCV2022-RIFE","https://github.com/hzwer/ECCV2022-RIFE","hzwer","Python","5410","deep-learning","11","953.98","True","0.1538","0","1","0.9458","1","1","0.3333","topic:computer-vision language:Python stars:>=50","ECCV2022 - Real-Time Intermediate Flow Estimation for Video Frame Interpolation"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","dmlc/gluon-cv","https://github.com/dmlc/gluon-cv","dmlc","Python","5922","deep-learning","12","953.96","True","0.15","0","1","0.9655","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Gluon CV Toolkit"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","PeterL1n/RobustVideoMatting","https://github.com/PeterL1n/RobustVideoMatting","PeterL1n","Python","9331","deep-learning","13","952.23","True","0.1538","0","1","0.9358","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","wkentaro/labelme","https://github.com/wkentaro/labelme","wkentaro","Python","15812","deep-learning","14","949.61","True","0.1176","0","1","0.8213","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation."
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","xuebinqin/U-2-Net","https://github.com/xuebinqin/U-2-Net","xuebinqin","Python","9723","deep-learning","15","932.2","True","0.1333","0","1","0.9269","1","1","0.3333","topic:computer-vision language:Python stars:>=50","The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection."""
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","NVIDIA/pix2pixHD","https://github.com/NVIDIA/pix2pixHD","NVIDIA","Python","6931","deep-learning","16","930.82","True","0.1176","0","1","0.9996","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Synthesizing and manipulating 2048x1024 images with conditional GANs"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38297","deep-learning","17","926.78","True","0.0741","0","1","0.6292","1","1","1","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","amdegroot/ssd.pytorch","https://github.com/amdegroot/ssd.pytorch","amdegroot","Python","5234","deep-learning","18","926.76","True","0.125","0","1","0.9387","1","1","0.3333","topic:computer-vision language:Python stars:>=50","A PyTorch Implementation of Single Shot MultiBox Detector"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31410","deep-learning","19","923.9","True","0.0625","0","1","0.6723","1","1","1","topic:deep-learning language:Python stars:>=50 | m language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","idealo/imagededup","https://github.com/idealo/imagededup","idealo","Python","5623","deep-learning","20","922.87","True","0.1176","0","1","0.9542","1","1","0.3333","topic:computer-vision language:Python stars:>=50","😎 Finding duplicate images made easy!"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","KevinMusgrave/pytorch-metric-learning","https://github.com/KevinMusgrave/pytorch-metric-learning","KevinMusgrave","Python","6321","deep-learning","21","921.43","True","0.1111","0","1","0.9796","1","1","0.3333","topic:computer-vision language:Python stars:>=50","The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch."
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25105","deep-learning","22","920.9","True","0.1053","0","1","0.7209","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50","Image-to-Image Translation in PyTorch"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","Layout-Parser/layout-parser","https://github.com/Layout-Parser/layout-parser","Layout-Parser","Python","5729","deep-learning","23","917.7","True","0.1111","0","1","0.9583","1","1","0.3333","topic:computer-vision language:Python stars:>=50","A Unified Toolkit for Deep Learning Based Document Image Analysis"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","deep-learning","24","917.5","True","0.1333","0","1","0.8428","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Face recognition using Tensorflow"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models","autogluon/autogluon","https://github.com/autogluon/autogluon","autogluon","Python","10276","deep-learning","25","910.1","True","0.1111","0","1","0.9149","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Fast and Accurate ML in 3 Lines of Code"
