"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31102","deep-learning","1","1247.36","True","0.4167","0","1","0.6992","1","1","1","topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33539","deep-learning","2","1184.5","True","0.35","0","1","0.6828","1","1","1","topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | s language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11191","deep-learning","3","1092.46","True","0.3125","0","1","0.9212","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64059","deep-learning","4","1052.05","True","0.2857","0","1","0.5423","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77592","deep-learning","5","1044.77","True","0.2857","0","1","0.5007","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","google-deepmind","Python","9919","deep-learning","6","1040.79","True","0.25","0","1","0.9474","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","TensorFlow-based neural network library"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44429","deep-learning","7","1038.81","True","0.2","0","1","0.6218","1","1","1","topic:deep-learning language:Python stars:>=50 | s language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20757","deep-learning","8","1027.21","True","0.2105","0","1","0.787","1","1","0.6667","topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50","Open standard for machine learning interoperability"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38297","deep-learning","9","1008.46","True","0.16","0","1","0.654","1","1","1","topic:deep-learning language:Python stars:>=50 | s language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59708","deep-learning","10","1005.27","True","0.2308","0","1","0.5576","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","flwrlabs/flower","https://github.com/flwrlabs/flower","flwrlabs","Python","6873","deep-learning","11","1000.27","True","0.2","0","1","0.973","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Flower: A Friendly Federated AI Framework"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29389","deep-learning","12","995.95","True","0.1905","0","1","0.7115","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42239","deep-learning","13","995.73","True","0.15","0","1","0.6328","1","1","1","topic:deep-learning language:Python stars:>=50 | s language:Python stars:>=50 | topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21667","deep-learning","14","992.62","True","0.1739","0","1","0.7777","1","1","0.6667","topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50","Best Practices on Recommendation Systems"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31410","deep-learning","15","991.99","True","0.1333","0","1","0.6971","1","1","1","topic:deep-learning language:Python stars:>=50 | s language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","lucidrains/DALLE2-pytorch","https://github.com/lucidrains/DALLE2-pytorch","lucidrains","Python","11318","deep-learning","16","974.41","True","0.1818","0","1","0.9187","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","deep-learning","17","969.68","True","0.1739","0","1","0.9323","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Refine high-quality datasets and visual AI models"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","lucidrains/denoising-diffusion-pytorch","https://github.com/lucidrains/denoising-diffusion-pytorch","lucidrains","Python","10537","deep-learning","18","963.49","True","0.1667","0","1","0.9343","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Implementation of Denoising Diffusion Probabilistic Model in Pytorch"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","lucidrains/imagen-pytorch","https://github.com/lucidrains/imagen-pytorch","lucidrains","Python","8407","deep-learning","19","960.54","True","0.1538","0","1","0.9833","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Implementation of Imagen, Google's Text-to-Image Neural Network, in Pytorch"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","pytorch/pytorch","https://github.com/pytorch/pytorch","pytorch","Python","99593","deep-learning","20","958.14","True","0.2","0","1","0.4465","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Tensors and Dynamic neural networks in Python with strong GPU acceleration"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","deep-learning","21","944.44","True","0.1429","0","1","0.6621","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42486","deep-learning","22","939.08","True","0.1429","0","1","0.6315","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56692","deep-learning","23","938.01","True","0.1538","0","1","0.5689","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","TencentARC/GFPGAN","https://github.com/TencentARC/GFPGAN","TencentARC","Python","37443","deep-learning","24","935.31","True","0.1333","0","1","0.6589","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration."
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57329","deep-learning","25","934.13","True","0.15","0","1","0.5664","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","d2l-ai/d2l-vi","https://github.com/d2l-ai/d2l-vi","d2l-ai","Python","657","deep-learning","26","931.11","True","0.2222","0","1","0.4635","1","1","0.3333","stanford language:Python stars:>=50","Một cuốn sách về Học Sâu đề cập đến nhiều framework phổ biến, được sử dụng trên 300 trường Đại học từ 55 đất nước bao gồm MIT, Stanford, Harvard, và Cambridge."
